tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
ACR000ETT14000007,2015-02-06,Provision Of Event Management And Related Services For The Public Accountants Conference 2015. (There is a compulsory briefing on 13 Nov 14 at 10am at ACRA Boardroom. Only representatives who attended this compulsory briefing are eligible to participate in this tender).,Accounting And Corporate Regulatory Authority,0,Awarded to No Suppliers,na
ACR000ETT14000008,2015-04-30,Invitation To Tender For The Provision Of Alternate Business Continuity Plan (BCP) Site For ACRA,Accounting And Corporate Regulatory Authority,0,Awarded to No Suppliers,na
ACR000ETT14000009,2015-01-28,Invitation To Tender For The Provision Of Manpower Services (Facilities Officer) For ACRA,Accounting And Corporate Regulatory Authority,76071.21,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.
ACR000ETT15000004,2015-07-01,Invitation To Tender For The Provision Of Manpower For Software Testing Services For ACRA,Accounting And Corporate Regulatory Authority,84000,Awarded to Suppliers,TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.
ACR000ETT15000005,2015-04-24,"Proposed Interior Fitting Out Works for ACRA's Office Space at 10 Anson Road, #05-19 & #05-01/15 (Part) International Plaza, Singapore 079903",Accounting And Corporate Regulatory Authority,653255,Awarded to Suppliers,MKS GLOBAL PTE. LTD.
ACR000ETT15000006,2015-06-26,Provision Of Smart Card Access Control System With Intrusion Detection System And Central Alarm Monitoring With Response Team For ACRA,Accounting And Corporate Regulatory Authority,87690,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.
ACR000ETT15000009,2015-08-14,Invitation to tender for the provision of services for Registered Filing Agents (RFAs) Compliance Review Programme,Accounting And Corporate Regulatory Authority,392000,Awarded to Suppliers,RHT COMPLIANCE SOLUTIONS PTE. LTD.
ACR000ETT15000010,2015-07-30,Invitation To Tender For The Provision Of Cleaning Services For Accounting And Corporate Regulatory Authority For A Period Of 2 Years With An Option To Renew For 1 Year.,Accounting And Corporate Regulatory Authority,122400,Awarded to Suppliers,CLEANMAGE PTE. LTD.
ACR000ETT15000011,2015-11-23,Invitation to Tender for the provision of consultancy services to review ACRA's business processes and service delivery.,Accounting And Corporate Regulatory Authority,320000,Awarded to Suppliers,SOLUTIONSATWORK PTE. LTD.
ACR000ETT15000013,2016-02-19,Invitation to Tender (ITT) for the Provision of Consultancy Services to Assess the Feasibility of a Re-Domiciliation Regime in Singapore,Accounting And Corporate Regulatory Authority,250000,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP
ACR000ETT16000001,2016-06-01,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,170000,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
ACR000ETT16000001,2016-06-01,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,199000,Awarded to Suppliers,PricewaterhouseCoopers Management Services Pte Ltd
ACR000ETT16000002,2016-09-14,"INVITATION TO TENDER FOR SUPPLY, DESIGN, PRINTING, BULK MAILING & DELIVERY SERVICES FOR PRESSURE SEAL FORMS",Accounting And Corporate Regulatory Authority,5967,Awarded to Suppliers,JK TRUDATA SOLUTIONS PTE. LTD.
ACR000ETT16000003,2016-12-14,INVITATION TO TENDER FOR THE PROVISION OF REVIEW SERVICES ON EXTENSIBLE BUSINESS REPORTING LANGUAGE (XBRL) FINANCIAL STATEMENTS TO THE ACCOUNTING AND CORPORATE REGULATORY AUTHORITY,Accounting And Corporate Regulatory Authority,86400,Awarded to Suppliers,BDO CONSULTANTS PTE. LTD.
ACR000ETT16000005,2017-01-25,INVITATION TO TENDER (ITT) FOR THE PROVISION OF SAAS SOLUTION E-TRAINING MANAGEMENT SYSTEM (eTMS) INCLUDING COURSEWARE,Accounting And Corporate Regulatory Authority,137600,Awarded to Suppliers,WIZLEARN TECHNOLOGIES PTE. LTD.
ACR000ETT17000003,2017-06-02,INVITATION TO TENDER (ITT) FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,192000,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
ACR000ETT17000003,2017-06-02,INVITATION TO TENDER (ITT) FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,396000,Awarded to Suppliers,PRICEWATERHOUSECOOPERS RISK SERVICES PTE. LTD.
ACR000ETT17000004,2017-08-18,"Provision of Recruitment Services for Job Positions in ACRA for a period of 2 years, with the option to renew for another 1 year",Accounting And Corporate Regulatory Authority,200000,Awarded to Suppliers,MCI CAREER SERVICES PTE. LTD.
ACR000ETT17000004,2017-08-18,"Provision of Recruitment Services for Job Positions in ACRA for a period of 2 years, with the option to renew for another 1 year",Accounting And Corporate Regulatory Authority,200000,Awarded to Suppliers,Michael Page International
