tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NST000ETT13000138,2017-09-05,This open tender call for the purchase of Microarray Chips (details as per specification),"Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT13000142,2017-09-05,TENDER FOR THE CONVERSION OF SBIC PANTRY INTO OFFICE AREA,"Agency for Science, Technology and Research",68830,Awarded to Suppliers,MACTECH ENGINEERING & TRADING PTE. LIMITED
NST000ETT13000171,2017-08-07,"Supply, delivery, installation and commissioning of upgrade of Compressed Dry Air (CDA) system","Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT13000185,2016-09-21,"Supply, delivery, installation and commissioning of one unit of Scanning Acoustic Microscopy","Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT13000190,2016-07-13,"Supply, Delivery, Installation and Commissioning of One (1) Unit of 8 inch (200mm) and 12 inch (300mm) Bridgeable Dry Film Vacuum Laminator","Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT13000207,2016-05-24,"Supply, delivery, installation and commissioning of one unit of Physical Vapour Deposition (PVD) Sputtering Tool with sputter etch for MEMS application","Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT13000244,2015-01-07,"Delivery, Installation, Commission and Maintenance of Equipment for Supplying General (Bulk) and Purified Nitrogen to IME & SIMTech with the option to include Delivery, Installation, Commission and Maintenance of Equipment for Supplying Ultra Purified Oxygen to IME for a period up to 5 years (1st Apr2014 to 31st Mar 2019)","Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT13000288,2016-03-23,Suppy and Delivery of 8 inch and 12 inch virgin P-type bare silicon test wafers for a period of one year,"Agency for Science, Technology and Research",80.68,Awarded to Suppliers,"Silicon Valley Microelectronics, Inc."
NST000ETT13000300,2016-07-13,Supply and Delivery of one unit of 40nm FPGA wafer with solder bumps,"Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT14000010,2017-09-05,INVITATION TO TENDER FOR SECURITY SERVICES FOR BRENNER CENTRE,"Agency for Science, Technology and Research",96000,Awarded to Suppliers,PROSEGUR SINGAPORE PTE. LTD.
NST000ETT14000041,2016-05-13,Supply and delivery of total gas management services to IME for a period of one year with an option to extend for another year (1st June 2014 to 31st May 2016),"Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT14000042,2015-04-29,"Supply of labour, equipment and materials to provide janitorial services to IME Premises from 15 April 2014 to 31 March with an option to extend for another year till 31 March 2016","Agency for Science, Technology and Research",195400,Awarded to Suppliers,GDS ENGINEERING PTE LTD
NST000ETT14000042,2015-04-29,"Supply of labour, equipment and materials to provide janitorial services to IME Premises from 15 April 2014 to 31 March with an option to extend for another year till 31 March 2016","Agency for Science, Technology and Research",442800,Awarded to Suppliers,Sun City Maintenance Pte. Ltd.
NST000ETT14000046,2015-02-16,Supply and Delivery of Reticles for a one year period with an option to extend for another year,"Agency for Science, Technology and Research",2364,Awarded to Suppliers,HOYA MASK SINGAPORE
NST000ETT14000046,2015-02-16,Supply and Delivery of Reticles for a one year period with an option to extend for another year,"Agency for Science, Technology and Research",1.38,Awarded to Suppliers,Mitsui & Co. (Asia Pacific) Pte. Ltd.
NST000ETT14000048,2015-04-29,Supply and Delivery Of Security Guard Services to IME Premises from 8 May 2014 to 31 March 2015 with an option to extend for another year till 31 March 2016,"Agency for Science, Technology and Research",209000,Awarded to Suppliers,KC SECURITY & INVESTIGATION SERVICES PTE. LTD.
NST000ETT14000049,2015-02-26,"TENDER FOR SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF IT HARDWARE","Agency for Science, Technology and Research",133654.28,Awarded to Suppliers,XCHANGING SOLUTIONS (SINGAPORE) PTE. LIMITED
NST000ETT14000111,2015-03-18,"Supply, delivery, installation, commissioning and maintenance of Force-controlled Robotic Finishing Workcell","Agency for Science, Technology and Research",149500,Awarded to Suppliers,ABB PTE. LTD.
NST000ETT14000116,2015-02-23,"SUPPLY, DELIVERY, INSTALLATION, TRAINING AND COMMISSIONING OF ONE WAFER BONDING SYSTEM FOR FUSION BONDING, ADHESIVE BONDING, AND EUTECTIC BONDING.","Agency for Science, Technology and Research",528419,Awarded to Suppliers,LINK FAB TECHNOLOGIES PTE LTD
NST000ETT14000140,2015-01-09,"Supply, delivery, installation including testing and commissioning of one unit of TOF-SIMS system with 100mm stage","Agency for Science, Technology and Research",1390175,Awarded to Suppliers,HI-TECH INSTRUMENTS SDN BHD
NST000ETT14000147,2015-01-07,"Supply, delivery, installation, commissioning and maintenance of CNC (Compute Numerical Control) Turning Machine","Agency for Science, Technology and Research",190000,Awarded to Suppliers,DMG MORI SINGAPORE PTE. LTD.
NST000ETT14000166,2015-01-02,"Supply, delivery, installation and commissioning of one unit of spray dryer for the Institute of Materials Research and Engineering (IMRE).","Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT14000174,2015-03-05,Appointment to provide service of doing Biocompatibility Tests of silk sleeves device for Anterior Cruciate Ligaments (ACL)regeneration for a period of 1 year.,"Agency for Science, Technology and Research",111430,Awarded to Suppliers,TUV SUD PSB PTE. LTD.
NST000ETT14000175,2016-07-13,Supply and Delivery of 8 inch SOI wafers fabricated using smartcut technology for IME for a period of one year with an option to extend for another year.,"Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
NST000ETT14000176,2015-02-02,"Appointment to provide Preclinical Study Service of executing Anterior Cruciate Ligaments(ACL) reconstruction surgery using device provided by IMRE in porcine model,housing & monitoring,post-operative evaluations & establishing unbiased data for a period of 1 year.","Agency for Science, Technology and Research",348657,Awarded to Suppliers,INNOHEART PTE. LTD.
NST000ETT14000177,2015-07-10,Tender for Consultancy Services for the Re-Design of Performance Appraisal Framework for A*STAR,"Agency for Science, Technology and Research",55500,Awarded to Suppliers,WILLIS TOWERS WATSON CONSULTING (SINGAPORE) PTE. LTD.
NST000ETT14000178,2015-05-16,"Design, supply, installation and commissioning of a new water-cooled chiller system at Institute of Microelectronics with an option to purchase preventive maintenance","Agency for Science, Technology and Research",3970000,Awarded to Suppliers,TRANE DISTRIBUTION PTE. LTD.
NST000ETT14000188,2015-03-03,DESIGN AND BUILD PROJECT FOR A & A WORKS TO INCLUDE REFURBISHMENTS AND ADDITIONAL ANIMAL QUARANTINE SURGERY UNIT AND OFFICE,"Agency for Science, Technology and Research",0,Awarded to No Suppliers,na
