tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
AVA000ETT14000028,2015-01-07,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to carry out repair and redecoration (R&R)works at the Chicken Isolators Room",Agri-food and Veterinary Authority,418000,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,6209,Awarded to Suppliers,BIO-REV PTE. LTD.
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,192359,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,600,Awarded to Suppliers,ITS Science & Medical Pte Ltd
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,4160,Awarded to Suppliers,Mettler-Toledo (S) Pte Ltd
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,2760.45,Awarded to Suppliers,Palico Biotech Pte Ltd
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,2020,Awarded to Suppliers,SARTORIUS SINGAPORE PTE. LTD.
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,874,Awarded to Suppliers,SPD SCIENTIFIC PTE LTD
AVA000ETT14000030,2015-01-21,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,2768.5,Awarded to Suppliers,TRADE 21 PTE. LTD.
AVA000ETT14000031,2015-01-21,Tender for the preventive maintenance and corrective maintenance of generators at Marine Aquaculture Centre,Agri-food and Veterinary Authority,55450,Awarded to Suppliers,CA FACILITIES PTE. LTD.
AVA000ETT14000032,2015-03-06,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,221140,Awarded to Suppliers,BLUE OCEAN HARVEST PTE. LTD.
