tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
INDAVIETT15000001,2015-02-25,"Provision for air-conditioned bus transport & selected truck services to and/or from required destinations within mainland of Singapore for Assumption Pathway School located at 30 Cashew Road, Singapore 679697. Period of contract: from 01 April 2015 to 31 March 2017, 2 years + option to extend 1 year. Please refer to attached annexes & specifications for details.",Assumption Pathway School,159900,Awarded to Suppliers,WOODLANDS TRANSPORT SERVICE PTE LTD
INDAVIETT15000003,2015-04-20,"Provision for Security Guard services at Assumption Pathway School from 01/05/2015 to 30/04/2017, with option to extend 1 year. Please refer to attached annexes & specifications for details. Tender briefing on Thursday 2nd April 2015 at 3:00pm. Attendance is compulsory for all suppliers who wish to participate in this Tender",Assumption Pathway School,106800,Awarded to Suppliers,HEXA PRO SERVICES PTE LTD
INDAVIETT15000004,2015-06-10,"Provision for Building Maintenance Services namely, Electrical, Pump System, Aircon, Mech Ventilation & Fire Protection at Assumption Pathway School located at 30 Cashew Road, Singapore 679697. Period of contract: 2 years (from 01 July 2015 to 30 June 2017), with option to extend 1 year (from 01 July 2017 to 30 June 2018). Please refer to attached annexes & specifications for details. Final award may include the items by part(s) or not at all. Compulsory Tender briefing on 18/5/15 at 10am",Assumption Pathway School,66504,Awarded to Suppliers,TSK ENGINEERING PTE. LTD.
INDAVIETT15000005,2015-11-05,"Provision to supply, design, infrastructure works, install and commission a new Culinary Training Workshop with kitchen equipment at Assumption Pathway School (APS) located at Block B, Level 2 (Please refer to attached specifications and annexes). Site visit on Friday, 18 September 2015 at 1.00pm. Attendance is compulsory for all suppliers who wish to participate in this Tender.",Assumption Pathway School,349792,Awarded to Suppliers,KUNYI (SINGAPORE) PTE LTD
INDAVIETT15000006,2015-12-28,Provision for supply of services and instructors for 2016 iSTAY Programme (1st & 2nd cycles) for Year 1 & Year 2 students of Assumption Pathway School. Tenderers are to quote by per student per cycle. (Please refer to attached specifications for details). Tender briefing on Thursday 19 November 2015 at 10.00am at our School. Attendance is compulsory for all suppliers who wish to participate in this Tender.,Assumption Pathway School,243100,Awarded to Suppliers,ADAM KHOO OUTDOOR COMPANY PTE. LTD.
INDAVIETT15000007,2016-02-03,"Provision for 1 Security Officer services at main entrance gate of Assumption Pathway School. Period of contract: 2 years from 01 Mar 2016 to 28 Feb 2018, with option to extend 1 year (from 01 Mar 2018 to 28 Feb 2019). Please refer to attached annexes & specifications for details.",Assumption Pathway School,130800,Awarded to Suppliers,TITANIUM SAFETY & SECURITY PTE. LTD.
INDAVIETT16000001,2016-05-20,"Provision to supply and delivery of service for Interior Fitting Out Works for the ART Restaurant at Assumption Pathway School (APS) located at 30 Cashew Road, Singapore 679697. (Please refer to attached specifications and annexes).",Assumption Pathway School,207000,Awarded to Suppliers,YU LI GLOBAL PTE. LTD.
INDAVIETT16000002,2016-11-24,"Provision to supply, design, infrastructure works, install and commission a Housekeeping Workshop at Assumption Pathway School (Please refer to attached specifications and annexes).",Assumption Pathway School,168860,Awarded to Suppliers,ATELIER TANG (PTE.) LTD.
INDAVIETT16000003,2016-12-15,Provision for supply of services and instructors for 2017 iSTAY Programme (1st & 2nd cycles) for Year 1 & Year 2 students of Assumption Pathway School. Tenderers are to quote by per student per cycle. (Please refer to attached specifications for details). Tender briefing on Friday 11 November 2016 at 8.00am at our School. Attendance is compulsory for all suppliers who wish to participate in this Tender.,Assumption Pathway School,247310,Awarded to Suppliers,ADAM KHOO OUTDOOR COMPANY PTE. LTD.
INDAVIETT17000001,2017-05-16,Provision for supply of Occupational Therapy Services for Year 2 students of Assumption Pathway School from May 2017 to November 2017 with option for yearly renewal from Jan 2018 to Nov 2018 and Jan 2019 to Nov 2019. (Please refer to attached specifications for details),Assumption Pathway School,0,Awarded to No Suppliers,na
INDAVIETT17000002,2017-06-02,Provision to supply Cleaning Services at Assumption Pathway School from 01-06-2017 to 31-05-2018 with option to extend one year. (Please refer to attached specifications and annexes).,Assumption Pathway School,454000,Awarded to Suppliers,CSP MAINTENANCE PTE LTD
INDAVIETT17000003,2017-05-29,"Provision to supply, design, infrastructure works, install and commission two Culinary Training Workshop at Assumption Pathway School (Please refer to attached specifications and annexes).",Assumption Pathway School,429200,Awarded to Suppliers,KUNYI (SINGAPORE) PTE LTD
INDAVIETT17000004,2017-06-13,Provision to supply services for Repair and Repainting Works at Assumption Pathway School. (Please refer to attached specifications and annexes).,Assumption Pathway School,174360,Awarded to Suppliers,E3 CONSTRUCTION PTE LTD
INDAVIETT17000005,2017-09-15,Provision to supply services for installation of Air-Conditioning System for School Hall (Vincent Hall) at Assumption Pathway School. (Please refer to attached specifications and annexes).,Assumption Pathway School,138000,Awarded to Suppliers,PROGEN PTE LTD
INDAVIETT17000006,2017-12-13,"Provision for supply of services and instructors for 2018 iSTAY Programme (1st & 2nd cycles) for Year 1 & Year 2 students, Night Activities for Year 3 & Year 4 students of Assumption Pathway School. Tenderers are to quote by per student per cycle. (Please refer to attached specifications for details).",Assumption Pathway School,195800,Awarded to Suppliers,CAMELOT PTE. LTD.
INDAVIETT17000007,2017-12-22,Provision to supply services for Acoustic Treatment of School Hall (Vincent Hall) at Assumption Pathway School. (Please refer to attached specifications and annexes).,Assumption Pathway School,0,Awarded to No Suppliers,na
