tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
AGC000ETT14000010,2015-05-04,"Invitation To Tender for The Design, Develop, Install, Implement, Commission and Maintenance of the Enterprise Single Sign-On System",Attorney-General's Chambers,300174,Awarded to Suppliers,Ufinity Pte Ltd
AGC000ETT14000011,2015-01-28,"Invitation To Tender for The Supply, Delivery, Support of E-Discovery Software with an option for maintenance of software",Attorney-General's Chambers,243000,Awarded to Suppliers,NCS PTE. LTD.
AGC000ETT14000012,2015-03-09,Invitation To Tender for The Provision of Integrated Facilities Management for The Attorney-General's Chambers at 1 Upper Pickering Street For Three (3) Years With An Option To Extend For Two (2) Years,Attorney-General's Chambers,1747000,Awarded to Suppliers,PROPELL INTEGRATED PTE LTD
AGC000ETT15000002,2015-04-29,"Invitation To Tender for the Supply, Delivery, Support of Microsoft Licenses from Microsoft Government Licensing Programme (MGLP) for Attorney-General's Chambers (AGC) - MGLP SELECT PLUS Agreement Number 6255037",Attorney-General's Chambers,181836.2,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd
AGC000ETT15000003,2015-06-02,Invitation To Tender for Minor Renovation Works at Level 14 for The Attorney-General's Chambers,Attorney-General's Chambers,51918.5,Awarded to Suppliers,NEEW PTE. LTD.
AGC000ETT15000004,2015-07-16,Invitation To Tender for Application Maintenance and Support for Enterprise Legal Management System (ELMS) for Attorney-General's Chambers,Attorney-General's Chambers,0,Awarded to No Suppliers,na
AGC000ETT15000005,2015-09-14,"Invitation To Tender For The Supply, Design, Configuration, Customisation, Testing, Installation And Commissioning Of A Fully Operational Enterprise Search Engine With An Option For Maintenance For The Attorney-General's Chambers",Attorney-General's Chambers,1050267.62,Awarded to Suppliers,TAIGER SPAIN S.L.
AGC000ETT15000006,2015-08-05,"INVITATION TO TENDER FOR RENOVATION WORKS TO THE LITIGATION SUPPORT ROOMS AT LEVEL 9,10 AND 12 OF ATTORNEY-GENERAL'S CHAMBERS",Attorney-General's Chambers,55400,Awarded to Suppliers,NEEW PTE. LTD.
AGC000ETT15000007,2015-11-04,"The Government of the Republic of Singapore, acting through the Attorney-Generals Chambers, invites Tenderers to submit Tender Offers for the contract to provide services for the management and operation of the AGCs Chan Sek Keong Library. The contract shall be for a term of one year, from 1 April 2016 to 31 March 2017, with an option for the Government to extend the contract for another year at the end of each consecutive year until 31 March 2019.",Attorney-General's Chambers,919080,Awarded to Suppliers,CIVICA PTE. LTD.
AGC000ETT15000008,2015-11-26,Invitation To Tender For The Provision Of A Leadership Training and Development Programme For The Crime Cluster Divisions Of The Attorney-General's Chambers.,Attorney-General's Chambers,520000,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.
AGC000ETT15000009,2015-11-03,INVITATION TO TENDER (ITT) FOR THE PROVISION OF PRINTING AND/OR SCANNING SERVICES FOR THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,996648,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
AGC000ETT15000014,2015-11-27,"ITT for the supply, design, configuration, customisation, testing, installation and commissioning of a fully operational AGC Sentencing Repository with an option for maintenance",Attorney-General's Chambers,331250,Awarded to Suppliers,ZWAAN PTE. LTD.
AGC000ETT15000015,2016-01-22,"Supplier is to provide hardware devices (iOS and Andriod) including accessories (casing and screen protector), SIM card and services to package the accessories (paste screen protector, insert SIM card and put in casing) for delivery. In addition, the supplier is to provide mobile data lines for subscription.",Attorney-General's Chambers,166403.8,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED
AGC000ETT15000017,2016-03-01,"Invitation To Tender (ITT) for the Supply, Design, Development, Delivery, Testing, Installation and Commissioning of a Fully Operational Singapore Statutes Online (""SSO"") with an Option for Maintenance",Attorney-General's Chambers,1573726,Awarded to Suppliers,SMART-WARES PTE. LTD.
AGC000ETT15000018,2015-12-22,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,0,Awarded to No Suppliers,na
AGC000ETT15000019,2016-04-21,Invitation To Tender for the provision of offsite disaster Recovery facilities management and hosting services,Attorney-General's Chambers,232450.28,Awarded to Suppliers,NCS PTE. LTD.
AGC000ETT15000020,2016-04-06,"Invitation To Tender (ITT) for Supply, Delivery, Installation, Implementation and Maintenance of Asset Management System for AGC",Attorney-General's Chambers,605489,Awarded to Suppliers,RAPTECH PTE. LTD.
AGC000ETT16000001,2016-05-10,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND TESTING OF MOBILE WIFI ROUTER DEVICES AND MOBILE LINES WITH DATA PLAN SUBSCRIPTION",Attorney-General's Chambers,197064.3,Awarded to Suppliers,BTW Technology Pte Ltd
