tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
BCA000ETT14000041,2015-03-03,"Nominated Sub-Contract For The Design, Supply, Delivery, Install And Testing & Commissioning Of Rotating Platform For The Proposed BCA User Test Bed Facility",Building and Construction Authority,1032000,Awarded to Suppliers,BHL CONSTRUCTION PTE. LTD.
BCA000ETT14000053,2015-03-02,"Build, Operate and Manitain Contract for the Proposed BCA User Test Bed Facility and Acclimatization Lounge at the Rooft Level of an 8 Storey Building on LOT 14256T MK18 at BCA Academy, 200 Braddell Road (Bishan Planning Area)",Building and Construction Authority,4551700,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.
BCA000ETT14000057,2015-04-22,"PROPOSED IMPROVEMENT WORKS TO PRIVATE ESTATES FOR WESTERN CLUSTER COMPRISING CHUA CHU KANG, JURONG, TANJONG PAGAR AND WEST COAST TOWNS UNDER THE INTERIM ESTATE UPGRADING PROGRAMME (I-EUP) PHASE 3",Building and Construction Authority,1418000,Awarded to Suppliers,MASTERCRAFT SYSTEMS PRIVATE LIMITED
BCA000ETT14000059,2015-02-11,"PROPOSED IMPROVEMENT WORKS TO PRIVATE ESTATES FOR CENTRAL CLUSTER COMPRISING ALJUNIED, ANG MO KIO-YIO CHU KANG, BISHAN-TOA PAYOH, HOLLAND-BUKIT PANJANG, HOUGANG, PASIR RIS-PUNGGOL, POTONG PASIR AND SEMBAWANG-NEE SOON TOWNS UNDER THE INTERIM ESTATE UPGRADING PROGRAMME (I-EUP) PHASE 3",Building and Construction Authority,788000,Awarded to Suppliers,JEI FONG ENGINEERING PTE. LTD.
BCA000ETT14000061,2015-01-16,Appointment of an integrated marketing communications agency to conceptualise and manage the publicity campaign for Singapore Green Building Day 2015,Building and Construction Authority,323002.1,Awarded to Suppliers,XOD BOX PTE. LTD.
BCA000ETT14000062,2015-01-30,"PROPOSED PAINTING & SIGNAGE TO ENTIRE CAMPUS AND A&A WORKS TO CLASSROOMS, LECTURE ROOMS, DESIGN STUDIOS, IT CLASSROOM, OFFICE AND TOILETS TO BLOCK C & H IN BCA ACADEMY",Building and Construction Authority,4068330,Awarded to Suppliers,SH INTEGRATED SERVICES PTE. LTD.
BCA000ETT14000065,2015-09-21,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,Building and Construction Authority,1,Awarded to Suppliers,ARUP SINGAPORE PRIVATE LIMITED
BCA000ETT14000065,2015-09-21,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,Building and Construction Authority,1,Awarded to Suppliers,ECAS CONSULTANTS PTE. LTD.
BCA000ETT14000065,2015-09-21,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,Building and Construction Authority,1,Awarded to Suppliers,KTP CONSULTANTS PTE LTD
BCA000ETT14000065,2015-09-21,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,Building and Construction Authority,1,Awarded to Suppliers,Lim Kim Cheong Consultants
