tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CRA000ETT14000011,2015-01-23,Procurement of Comprehensive Maintenance for SAN Infrastructure Equipment for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,0,Awarded to No Suppliers,na
CRA000ETT15000005,2015-05-08,ITT for Provision of Receptionist Service for a period of Two Years with the Option to Extend One Year for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,100080,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.
CRA000ETT15000006,2015-06-16,Invitation to Tender Provision of Cleaning Services for a Period of Two (2) Years with an Option to Extend Another One (1) Year for The Casino Regulatory Authority of Singapore,Casino Regulatory Authority,216000,Awarded to Suppliers,Sun City Maintenance Pte. Ltd.
CRA000ETT15000009,2015-06-17,"ITT for Media Monitoring Services for 12 months period, with options to extend for another 1 + 1 years",Casino Regulatory Authority,118800,Awarded to Suppliers,NEWS SEARCH (SINGAPORE) PTE. LTD.
CRA000ETT15000011,2015-12-23,"An open tender for the supply, delivery, installation, testing and commissioning of the Games Equipment System (GAMES) for Casino Regulatory Authority with an option for support and maintenance for 4 years.",Casino Regulatory Authority,1628750,Awarded to Suppliers,ST ELECTRONICS (INFO-SOFTWARE SYSTEMS) PTE. LTD.
CRA000ETT16000001,2016-03-03,ITT FOR THE PROVISION OF DATA CENTRE COOLING INFRASTRUCTURE TECHNOLOGY REFRESH AND EQUIPMENT MAINTENANCE FOR THE CASINO REGULATORY AUTHORITY OF SINGAPORE,Casino Regulatory Authority,744000,Awarded to Suppliers,FUJITSU ASIA PTE LTD
CRA000ETT16000002,2016-11-23,Provision of Financial Lines Insurance Covers for a period of Two Years with the Option to Extend One Year for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,61950,Awarded to Suppliers,AXA INSURANCE SINGAPORE PTE LTD
CRA000ETT16000002,2016-11-23,Provision of Financial Lines Insurance Covers for a period of Two Years with the Option to Extend One Year for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,38900,Awarded to Suppliers,NEWLINE ASIA SERVICES PTE. LTD.
CRA000ETT16000003,2016-12-29,ITT - Provision of Insurance Policies to CRA for a Period of Twenty-Four (24) Months with Two Options to Extend for Twelve (12) Months Each.,Casino Regulatory Authority,59028.7,Awarded to Suppliers,MS FIRST CAPITAL INSURANCE LIMITED
CRA000ETT16000004,2017-01-06,Period Contract for the Provision of Legal Services,Casino Regulatory Authority,1,Awarded to Suppliers,ALLEN & GLEDHILL LLP
CRA000ETT16000004,2017-01-06,Period Contract for the Provision of Legal Services,Casino Regulatory Authority,1,Awarded to Suppliers,KHATTARWONG LLP
CRA000ETT16000004,2017-01-06,Period Contract for the Provision of Legal Services,Casino Regulatory Authority,1,Awarded to Suppliers,RAJAH & TANN SINGAPORE LLP
CRA000ETT16000005,2016-01-11,"Replacement Of Door Access Control System To Support SSID PS Card With Integrated Alert Monitoring And Intrusion Detection Functions And Provision Of Comprehensive Maintenance For A Base Period Of Forty-Eight (48) Months, With Two Options To Extend For Twelve (12) Months Each.",Casino Regulatory Authority,103290,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.
CRA000ETT17000001,2017-03-29,Provision of Comprehensive Maintenance for Enterprise Storage Area Network (SAN) Infrastructure Equipment and Virtual Tape Library (VTL) Backup Infrastructure Equipment for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,774600,Awarded to Suppliers,FUJITSU ASIA PTE LTD
CRA000ETT17000002,2017-05-03,ITT for the technology refresh of the Electronic Registry and Document System with support and maintenance for five years (including options) for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,1216191,Awarded to Suppliers,NCS PTE. LTD.
CRA000ETT17000003,2017-07-19,"ITT for the supply, delivery, installation, testing and commissioning of the CRA Human Resource Information System with an option for additional support and maintenance for the Casino Regulatory Authority of Singapore",Casino Regulatory Authority,247856,Awarded to Suppliers,STARVISION INFORMATION TECHNOLOGY PTE LTD
CRA000ETT17000004,2017-08-29,Provision of Technology Refresh and Upgrade of the IP Telephony System for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,377023.5,Awarded to Suppliers,LOGICALIS SINGAPORE PTE. LTD.
CRA000ETT17000006,2017-12-08,ITT for the Provision of Data Collection Services for the Casino Authority of Singapore,Casino Regulatory Authority,206500,Awarded to Suppliers,EA RESEARCH & CONSULTING PTE. LTD.
