tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CPF000ETT13000022,2017-09-26,Panel of Marketing Agents for Rental of Properties,Central Provident Fund Board,90,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.
CPF000ETT13000022,2017-09-26,Panel of Marketing Agents for Rental of Properties,Central Provident Fund Board,100,Awarded to Suppliers,CBRE PTE. LTD.
CPF000ETT13000022,2017-09-26,Panel of Marketing Agents for Rental of Properties,Central Provident Fund Board,100,Awarded to Suppliers,CORPORATE VISIONS PTE. LTD.
CPF000ETT13000022,2017-09-26,Panel of Marketing Agents for Rental of Properties,Central Provident Fund Board,100,Awarded to Suppliers,Cushman & Wakefield (S) Pte Ltd
CPF000ETT13000022,2017-09-26,Panel of Marketing Agents for Rental of Properties,Central Provident Fund Board,100,Awarded to Suppliers,Jones Lang LaSalle Property Consultants Pte Ltd
CPF000ETT13000022,2017-09-26,Panel of Marketing Agents for Rental of Properties,Central Provident Fund Board,100,Awarded to Suppliers,KNIGHT FRANK PTE LTD
CPF000ETT13000022,2017-09-26,Panel of Marketing Agents for Rental of Properties,Central Provident Fund Board,100,Awarded to Suppliers,PROPERTY INC. PRIVATE LIMITED
CPF000ETT14000026,2015-05-20,Tender for a Group Term Life Insurance Policy for CPFB Staff for a Period of 1 Year with an Option to Extend for 1 Year,Central Provident Fund Board,0.7,Awarded to Suppliers,AVIVA LTD
CPF000ETT15000001,2015-05-08,Request for Proposal (RFP) for Provision of Integrated Marketing and Public Communication Services,Central Provident Fund Board,0.99,Awarded to Suppliers,J. WALTER THOMPSON (SINGAPORE) PTE. LTD.
CPF000ETT15000001,2015-05-08,Request for Proposal (RFP) for Provision of Integrated Marketing and Public Communication Services,Central Provident Fund Board,0.99,Awarded to Suppliers,WILD ADVERTISING & MARKETING PTE. LTD.
CPF000ETT15000002,2015-03-26,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,Central Provident Fund Board,1,Awarded to Suppliers,CENTRE FOR PERFORMANCE TRANSFORMATION (PTE.) LTD.
CPF000ETT15000002,2015-03-26,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,Central Provident Fund Board,1,Awarded to Suppliers,EXPLORA PTE. LTD.
CPF000ETT15000002,2015-03-26,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,Central Provident Fund Board,1,Awarded to Suppliers,GRINESS PTE. LTD.
CPF000ETT15000002,2015-03-26,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,Central Provident Fund Board,1,Awarded to Suppliers,MAD LEARNING PTE LTD
CPF000ETT15000002,2015-03-26,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,Central Provident Fund Board,1,Awarded to Suppliers,TLG HOLDINGS PTE. LTD.
