tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CAA000ETT14000042,2015-02-23,PROVISION OF CONSULTANCY SERVICES TO REVIEW AIR TRAFFIC CONTROL OPERATIONS,Civil Aviation Authority of Singapore,174146.19,Awarded to Suppliers,"INGENIERIA Y ECONOMIA DEL TRANSPORTE, S.A."
CAA000ETT14000042,2015-02-23,PROVISION OF CONSULTANCY SERVICES TO REVIEW AIR TRAFFIC CONTROL OPERATIONS,Civil Aviation Authority of Singapore,3735378,Awarded to Suppliers,NATS (SERVICES) LIMITED
CAA000ETT14000043,2015-01-27,Supply and Installation of Splash Screen for Diesel Storage Tanks,Civil Aviation Authority of Singapore,169500,Awarded to Suppliers,AGITECH INNOVATIONS PRIVATE LIMITED
CAA000ETT14000046,2015-02-03,"To conceptualize an optimal security and facilitation configuration for Changi East Industrial Zone (CEIZ) and Airport Logistics Parks (ALPS) II, review the current security and facilitation configuration of Changi Airfreight Centre (CAC) and ALPS, and propose how the optimal configuration that was proposed for CEIZ and ALPS II can also be implemented in CAC and ALPS.",Civil Aviation Authority of Singapore,390000,Awarded to Suppliers,ASERO WORLDWIDE LTD
CAA000ETT14000048,2015-01-13,Three Years Period Contract for the Supply of Diesel,Civil Aviation Authority of Singapore,111029.6,Awarded to Suppliers,CNC PETROLEUM PTE. LTD.
CAA000ETT14000049,2015-01-07,"Conceptualisation, Design, Provision and Operation of Exhibition Bus.",Civil Aviation Authority of Singapore,613900,Awarded to Suppliers,CITYNEON EVENTS PTE. LTD.
CAA000ETT14000050,2015-03-26,Multi-Disciplinary Design Consultancy Services for the Proposed CAAS Buildings Near Singapore Changi Airport,Civil Aviation Authority of Singapore,1794000,Awarded to Suppliers,SURBANA JURONG INFRASTRUCTURE PTE. LTD.
CAA000ETT14000051,2015-02-03,Provision of venue for the Aviation Open House 2015 from 13 to 15 August 2015,Civil Aviation Authority of Singapore,177957.35,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE
CAA000ETT14000052,2015-03-25,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,1,Awarded to Suppliers,AECOM SINGAPORE PTE. LTD.
CAA000ETT14000052,2015-03-25,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,1,Awarded to Suppliers,ALLEN & GLEDHILL LLP
CAA000ETT14000052,2015-03-25,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,1,Awarded to Suppliers,CAA INTERNATIONAL LIMITED
CAA000ETT14000052,2015-03-25,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,1,Awarded to Suppliers,CASTALIA LIMITED
