tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CSC000ETT14000013,2015-01-07,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,1399.9,Awarded to Suppliers,AAXONN PTE. LTD.
CSC000ETT14000013,2015-01-07,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,1649.2,Awarded to Suppliers,DANCING BEAR PRODUCTIONS PTE. LTD.
CSC000ETT14000013,2015-01-07,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,2551,Awarded to Suppliers,Picture Communication
CSC000ETT14000013,2015-01-07,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,1493,Awarded to Suppliers,RAY PHOTOGRAPHY
CSC000ETT14000017,2015-01-21,"TENDER FOR THE AUDIT OF GROUP FINANCIAL STATEMENTS FOR FINANCIAL YEAR ENDING 31 MARCH 2015 (FY2014), WITH AN OPTION TO APPOINT THE EXTERNAL AUDITOR ON AN ANNUAL BASIS FOR ANOTHER FOUR YEARS (FY2015, FY2016, FY2017 & FY2018)",Civil Service College,50000,Awarded to Suppliers,FOO KON TAN LLP
CSC000ETT14000018,2015-02-10,INVITATION TO TENDER FOR CSC WEBSITE MAINTENANCE FOR CIVIL SERVICE COLLEGE,Civil Service College,320130.3,Awarded to Suppliers,NCS PTE. LTD.
CSC000ETT14000020,2015-02-05,INVITATION TO TENDER FOR THE PROVISION OF DATA COLLECTION AND DATA ANALYSIS SERVICES FOR A TIME USE SURVEY,Civil Service College,62800,Awarded to Suppliers,INRESEARCH PTE. LTD.
CSC000ETT14000023,2015-09-16,INVITATION TO TENDER FOR THE DEVELOPMENT OF A TRAINING ANALYTICS FOR THE PUBLIC SERVICE (TAPS) SYSTEM FOR CIVIL SERVICE COLLEGE,Civil Service College,889503.95,Awarded to Suppliers,NCS PTE. LTD.
CSC000ETT15000001,2015-03-05,"INVITATION TO TENDER FOR THE SUPPLY, IMPLEMENTATION, NETWORKING, INSTALLATION AND COMMISSIONING OF THE INTERACTIVE DIGITAL SIGNAGE SYSTEMS",Civil Service College,32000,Awarded to Suppliers,PRESTIGE SOLUTIONS PTE. LTD.
CSC000ETT15000004,2015-07-01,REQUEST FOR PROPOSAL FOR RESEARCH STUDY ON EXPECTATIONS OF PUBLIC SERVICE'S DELIVERY FOR CIVIL SERVICE COLLEGE,Civil Service College,34900,Awarded to Suppliers,TRUTH CONSULTING PTE. LTD.
CSC000ETT15000005,2015-03-16,INVITATION TO TENDER FOR THE REFURBISHMENT OF TRAINING ROOMS IN CIVIL SERVICE COLLEGE AT 31 NORTH BUONA VISTA ROAD,Civil Service College,1069220,Awarded to Suppliers,HON BUILDER PTE. LTD.
CSC000ETT15000006,2015-04-13,INVITATION TO TENDER FOR THE VENUE PACKAGE FOR PUBLIC SERVICE STAFF CONFERENCE 2015,Civil Service College,83550,Awarded to Suppliers,SINGEX VENUES PTE. LTD.
CSC000ETT15000007,2016-01-21,INVITATION TO TENDER FOR THE PROVISION OF MANPOWER SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,368,Awarded to Suppliers,GMP TECHNOLOGIES (S) PTE LTD
CSC000ETT15000007,2016-01-21,INVITATION TO TENDER FOR THE PROVISION OF MANPOWER SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,690.7,Awarded to Suppliers,JOBSTER PRIVATE LTD.
CSC000ETT15000007,2016-01-21,INVITATION TO TENDER FOR THE PROVISION OF MANPOWER SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,103.57,Awarded to Suppliers,NSEARCH GLOBAL PTE. LTD.
CSC000ETT15000007,2016-01-21,INVITATION TO TENDER FOR THE PROVISION OF MANPOWER SERVICES TO CIVIL SERVICE COLLEGE,Civil Service College,756.4,Awarded to Suppliers,Recruit Express Pte Ltd
