tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CEA000ETT15000003,2015-07-22,OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY,Council for Estate Agencies,198000,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
CEA000ETT15000006,2015-08-26,ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.,Council for Estate Agencies,3167400,Awarded to Suppliers,NTUC LEARNINGHUB PTE. LTD.
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,281000,Awarded to Suppliers,ALLEN & GLEDHILL LLP
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,198000,Awarded to Suppliers,BIRD & BIRD ATMD LLP
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,261000,Awarded to Suppliers,COLIN NG & PARTNERS LLP
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,338000,Awarded to Suppliers,DONALDSON & BURKINSHAW LLP
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,21000,Awarded to Suppliers,GATEWAY LAW CORPORATION
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,278000,Awarded to Suppliers,LEE & LEE
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,109500,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,124500,Awarded to Suppliers,SHOOK LIN & BOK LLP
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,66000,Awarded to Suppliers,TITO ISAAC & CO LLP
CEA000ETT16000001,2016-09-27,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,152000,Awarded to Suppliers,WONGPARTNERSHIP LLP
CEA000ETT16000003,2017-02-01,APPOINTMENT OF AUDITOR FOR COUNCIL FOR ESTATE AGENCIES FOR THE AUDIT OF FINANCIAL STATEMENTS FOR FIVE (5) FINANCIAL YEARS,Council for Estate Agencies,93750,Awarded to Suppliers,ASSURANCE PARTNERS LLP
CEA000ETT17300001,2017-11-17,"INVITATION TO TENDER FOR RENOVATION (DESIGN AND BUILD), RELOCATION AND REINSTATEMENT WORKS",Council for Estate Agencies,853696,Awarded to Suppliers,SPACELOGIC PTE. LTD.
