tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CPE000ETT14000002,2015-01-15,Appointment of External Auditor for Financial Year ending 31 Mar 2015 with option to extend on an annual basis for the next 4 Financial Years,Council for Private Education,35000,Awarded to Suppliers,FOO KON TAN LLP
CPE000ETT15000007,2015-11-13,APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS),Council for Private Education,150000,Awarded to Suppliers,DP INFORMATION NETWORK PTE LTD
CPE000ETT15000007,2015-11-13,APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS),Council for Private Education,90000,Awarded to Suppliers,DUN & BRADSTREET (SINGAPORE) PTE. LTD.
CPE000ETT15000008,2015-11-19,"APPOINTMENT OF INTERNAL AUDITOR FOR THE COUNCIL FOR PRIVATE EDUCATION FOR ONE FINANCIAL YEAR ENDING 31 MARCH 2016 (FY2015), WITH AN OPTION TO EXTEND ON AN ANNUAL BASIS, FOR THE NEXT TWO FINANCIAL YEARS (FY2016 TO FY2017)",Council for Private Education,92120.01,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
CPE000ETT15000009,2015-12-01,Indemnity Insurance (Management Liability and Professional Liability),Council for Private Education,224600,Awarded to Suppliers,AIG ASIA PACIFIC INSURANCE PTE. LTD.
CPE000ETT16000001,2016-05-20,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,4098,Awarded to Suppliers,ALLEN & GLEDHILL LLP
CPE000ETT16000001,2016-05-20,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,2100,Awarded to Suppliers,CENTRAL CHAMBERS LAW CORPORATION
CPE000ETT16000001,2016-05-20,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,2500,Awarded to Suppliers,FORTIS LAW CORPORATION
CPE000ETT16000001,2016-05-20,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,4700,Awarded to Suppliers,KHATTARWONG LLP
CPE000ETT16000001,2016-05-20,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,4500,Awarded to Suppliers,LEE & LEE
