tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
DST000ETT14000027,2015-01-12,SUPPLY OF HIGH-FIDELITY SPATIAL MODELLING AND ANALYSIS SOFTWARE,Defence Science and Technology Agency,329996,Awarded to Suppliers,TME Systems Pte Ltd
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,1709648.27,Awarded to Suppliers,ANGEL'S RESTAURANT PTE LTD
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,427773.83,Awarded to Suppliers,CJS CATERING PTE LTD
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2564160.77,Awarded to Suppliers,Chilli Api Catering Pte Ltd
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2137310.47,Awarded to Suppliers,D'Fine Catering Services Pte Ltd
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,1281927.08,Awarded to Suppliers,FOOD FEST F & B PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,1710826.77,Awarded to Suppliers,FOSTRE CATERING PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2991770.33,Awarded to Suppliers,HOW'S CATERING
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2137493.77,Awarded to Suppliers,INTERNATIONAL CATERING PTE LTD
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,1282869.64,Awarded to Suppliers,K G CATERING PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,1282038.71,Awarded to Suppliers,KATE'S CATERING PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,427773.83,Awarded to Suppliers,OCCASIONS CATERING PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,1709536.64,Awarded to Suppliers,ON & ON DINERS PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,427773.83,Awarded to Suppliers,ORANGE CLOVE CATERING PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2563977.47,Awarded to Suppliers,PANG CATERING
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2565103.33,Awarded to Suppliers,Q'ZIN FOOD AND MANAGEMENT PTE LTD
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2136386.94,Awarded to Suppliers,RASEL CATERING SINGAPORE PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2991770.33,Awarded to Suppliers,SEMBAWANG EATING HOUSE (SEAFOOD RESTAURANT)
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,1709700.91,Awarded to Suppliers,SOCIAL FOOD INC. PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2137493.77,Awarded to Suppliers,Smiling Orchid (Singapore) Private Limited
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2565103.33,Awarded to Suppliers,Stamford Catering Services Pte Ltd
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,2991770.33,Awarded to Suppliers,TEAM CATERING PTE. LTD.
DST000ETT14000038,2015-01-13,Provision of Catering Services,Defence Science and Technology Agency,427773.83,Awarded to Suppliers,THYME FOOD & SERVICES PTE. LTD.
DST000ETT14000039,2015-04-08,SUPPLY OF IT EQUIPMENT,Defence Science and Technology Agency,144675,Awarded to Suppliers,NCS PTE. LTD.
DST000ETT14000039,2015-04-08,SUPPLY OF IT EQUIPMENT,Defence Science and Technology Agency,143694,Awarded to Suppliers,SINGAPORE TECHNOLOGIES ELECTRONICS LIMITED
DST000ETT14000044,2015-05-28,Supply and Maintenance of Gym Equipment,Defence Science and Technology Agency,112000,Awarded to Suppliers,F1 RECREATION PTE. LTD.
DST000ETT15000018,2015-12-17,Implementation of Scanning Solution,Defence Science and Technology Agency,162094.13,Awarded to Suppliers,ATOS INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.
DST000ETT15000019,2015-07-09,Supply and Maintenance of Library Management System,Defence Science and Technology Agency,320035.45,Awarded to Suppliers,VTEC SYSTEMS (ASIA) PRIVATE LIMITED
DST000ETT15000020,2016-03-22,PROJECT D2010-00428-010 - FABRICATION AND DELIVERY OF CONCRETE-FILLED STEEL HOLLOW SECTIONS,Defence Science and Technology Agency,360828,Awarded to Suppliers,Hainei Building & Development (S) Pte Ltd
DST000ETT15000022,2015-10-06,DEVELOPMENT OF FIELD PROGRAMMABLE GATE ARRAY (FPGA) PLATFORM,Defence Science and Technology Agency,438900,Awarded to Suppliers,TECHSOURCE SYSTEMS PTE LTD
DST000ETT15000024,2015-09-07,Moving Services,Defence Science and Technology Agency,33612,Awarded to Suppliers,COLLIN'S MOVERS PTE. LTD.
DST000ETT15000027,2015-10-29,Provision of Fire Fighting Equipment and Related Services,Defence Science and Technology Agency,1800000,Awarded to Suppliers,FIRE ARMOUR PTE. LTD.
DST000ETT15000027,2015-10-29,Provision of Fire Fighting Equipment and Related Services,Defence Science and Technology Agency,1800000,Awarded to Suppliers,Soon Lee Fire Trading Service
DST000ETT15000032,2015-08-03,Conduct of Teambuilding Programme for New Hires,Defence Science and Technology Agency,103200,Awarded to Suppliers,CENTRE FOR PERFORMANCE TRANSFORMATION (PTE.) LTD.
DST000ETT15000035,2015-11-20,Integrated Applicants Management System,Defence Science and Technology Agency,0,Awarded to No Suppliers,na
DST000ETT15000038,2016-02-25,Advertising Services,Defence Science and Technology Agency,421680,Awarded to Suppliers,MANDATE COMMUNICATIONS (S) PTE. LTD.
