tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
EDB000ETT14000022,2015-01-06,Tender T19/2014 for the Provision of Term Contract for Design Services for Contact Singapore for 1 year estimated from 1 October 2014 with an Option to Extend for another 1 year. Requester: Janet Loh.,Economic Development Board,2,Awarded to Suppliers,INK AND PIXEL PTE. LTD.
EDB000ETT14000029,2015-01-05,"Tender T23/2014 for Provision of the Application Maintenance and Support of SGIP System for Economic Development Board for a Period of One Year with an Option to Extend up to an additonal Two Years, based on yearly renewal. Requester: Nai Ying Jiin.",Economic Development Board,638700,Awarded to Suppliers,NCS PTE. LTD.
EDB000ETT14000031,2015-01-12,"Invitation to Tender T29/2014 for the Software Solution for Human Resource Workflow (Performance Management / Others) System with 1 year warranty, 2 years Maintenance, and optional yearly Maintenance renewal for the 4th, 5th and 6th years.",Economic Development Board,0,Awarded to No Suppliers,na
EDB000ETT14000032,2015-01-19,"TENDER(T24/2014) FOR THE CREATIVE DESIGN, IMPLEMENTATION AND FACILITATION OF A GAME COMPETITION FOR PRE-UNIVERSITY STUDENTS [COMPETITION] FOR A CONFIRMED PERIOD OF 1 YEAR, WITH THE OPTION TO EXTEND DELIVERY UP TO 2 YEARS, BASED ON YEARLY RENEWAL. REF TO PR20140161 (JOY PANG)",Economic Development Board,0,Awarded to No Suppliers,na
EDB000ETT14000034,2015-02-11,"Invitation to Tender T36/2014 for the Provision of Hotel Accommodation, Function & Meeting Rooms, as well as Meeting and Dining Packages for Singapore Summit 2015. OIC : Mr Kenneth Kang.",Economic Development Board,457038,Awarded to Suppliers,MARINA BAY SANDS PTE. LTD.
EDB000ETT14000035,2015-02-26,"Tender T35/2014 for the Provision of Event Management Services for Singapore Summit 2015, with an option for Singapore Summit 2016.",Economic Development Board,1462491,Awarded to Suppliers,MP SINGAPORE PTE. LTD.
EDB000ETT15000001,2015-04-09,Invitation to tender - For The Provision of Development Programmes for Singapore Economic Development Board (EDB) Officers.,Economic Development Board,79680,Awarded to Suppliers,BLUE DOT LEARNING PTE. LTD.
EDB000ETT15000001,2015-04-09,Invitation to tender - For The Provision of Development Programmes for Singapore Economic Development Board (EDB) Officers.,Economic Development Board,47976,Awarded to Suppliers,CENTER FOR APPLIED LIFE CONCEPTS PRIVATE LIMITED
EDB000ETT15000001,2015-04-09,Invitation to tender - For The Provision of Development Programmes for Singapore Economic Development Board (EDB) Officers.,Economic Development Board,153400,Awarded to Suppliers,D D CONSULTING PTE. LTD.
EDB000ETT15000001,2015-04-09,Invitation to tender - For The Provision of Development Programmes for Singapore Economic Development Board (EDB) Officers.,Economic Development Board,108000,Awarded to Suppliers,KEPNER-TREGOE SOUTHEAST ASIA LIMITED
EDB000ETT15000002,2015-02-13,Tender T04/2015 for the Provision of Impact Analysis on the Precision Engineering Master Craftsman (PeMC) Programme. OIC : Mr Santosh Kumar.,Economic Development Board,0,Awarded to No Suppliers,na
EDB000ETT15000004,2015-03-24,"Tender T03/2015 for the Provision of Information Database for a period of One Year, with options to renew for an additional Two Years, based on yearly renewal. With ref to PR 20150251, Huang Xue Hua.",Economic Development Board,87168.26,Awarded to Suppliers,"EBSCO INTERNATIONAL, INC."
EDB000ETT15000006,2015-04-21,T05/2015 INVITATION TO TENDER FOR BUSINESS MANAGEMENT PROGRAMME (BMP) ON THE MODULES OF: - ACCOUNT MANAGEMENT - CLIENT ENGAGEMENT - PRESENTATION SKILLS - BUSINESS ETIQUETTE (PR20150244; Tan Wei Na),Economic Development Board,113604,Awarded to Suppliers,ANNE LEONG HRD CONSULTING
EDB000ETT15000006,2015-04-21,T05/2015 INVITATION TO TENDER FOR BUSINESS MANAGEMENT PROGRAMME (BMP) ON THE MODULES OF: - ACCOUNT MANAGEMENT - CLIENT ENGAGEMENT - PRESENTATION SKILLS - BUSINESS ETIQUETTE (PR20150244; Tan Wei Na),Economic Development Board,126000,Awarded to Suppliers,D D CONSULTING PTE. LTD.
EDB000ETT15000006,2015-04-21,T05/2015 INVITATION TO TENDER FOR BUSINESS MANAGEMENT PROGRAMME (BMP) ON THE MODULES OF: - ACCOUNT MANAGEMENT - CLIENT ENGAGEMENT - PRESENTATION SKILLS - BUSINESS ETIQUETTE (PR20150244; Tan Wei Na),Economic Development Board,28050,Awarded to Suppliers,Protocol Academy Pte Ltd
EDB000ETT15000006,2015-04-21,T05/2015 INVITATION TO TENDER FOR BUSINESS MANAGEMENT PROGRAMME (BMP) ON THE MODULES OF: - ACCOUNT MANAGEMENT - CLIENT ENGAGEMENT - PRESENTATION SKILLS - BUSINESS ETIQUETTE (PR20150244; Tan Wei Na),Economic Development Board,35700,Awarded to Suppliers,SIMITRI GROUP INTERNATIONAL PTE. LTD.
EDB000ETT15000010,2015-04-09,Tender T09/2015 for the Provision of Impact Analysis on the Precision Engineering Master Craftsman (PeMC) Programme. OIC : Mr Santosh Kumar.,Economic Development Board,101000,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
EDB000ETT15000011,2015-05-22,"Invitation to Tender T01/2015 for the Provision of Hotel Accommodation, Function and Meeting Rooms, as Well as Meeting and Dining Packages for Singapore Economic Development Board International Advisory Council 2015. OIC : Ms Jenevie Lee.",Economic Development Board,204809,Awarded to Suppliers,FOUR SEASONS HOTEL SINGAPORE
EDB000ETT15000012,2015-04-24,Tender T07/2015 for the Provision of a Study of Fortune Global 500 Companies Corporate Functions. OIC : Ms Tiffany Ong.,Economic Development Board,199500,Awarded to Suppliers,AON HEWITT SINGAPORE PTE. LTD.
EDB000ETT15000013,2015-05-26,"Tender T06/2015 for the Provision of News and Information Database for a period of one year, with options to renew for an additional Two years, based on yearly renewal. OIC : Schon Tan.",Economic Development Board,186691,Awarded to Suppliers,FACTIVA LIMITED
EDB000ETT15000015,2015-06-02,"Tender T13/2015 for the Provision of ICT Advisory and Research Services for One (1) year, with an option to extend for another One (1) year. OIC : Ms Linda Tan.",Economic Development Board,195500,Awarded to Suppliers,GARTNER ADVISORY (SINGAPORE) PTE LTD
EDB000ETT15000016,2015-07-15,"Tender T12/2015 for the Provision of an Integrated Audio Bridging Connection Solution and Web Conferencing Tool in a Business Conference for the Economic Development Board (""EDB"") for a period of One (1) Year, with Optional Renewals for Four (4) Years. With ref to EDB PR 20150683 (Chan Shan Shan).",Economic Development Board,0.6,Awarded to Suppliers,Arkadin (Singapore) Pte. Ltd.
