tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
EMA000ETT14000027,2015-03-17,"PROVISION OF GOODS AND SERVICES FOR THE DEVELOPMENT, INSTALLATION, TESTING, COMMISSIONING, TRAINING AND MAINTENANCE OF THE EMA e-SUBMISSION SYSTEM",Energy Market Authority of Singapore,0,Awarded to No Suppliers,na
EMA000ETT14000030,2015-03-23,"TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR THE SINGAPORE INTERNATIONAL ENERGY WEEK (""SIEW"") 2015",Energy Market Authority of Singapore,1332760,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED
EMA000ETT14000031,2015-02-06,"PROVISION OF EVENT MANAGEMENT AND OTHER RELATED SERVICES FOR THE ANNUAL ENERGY FORUM (""EF"") TO BE HELD IN 2015",Energy Market Authority of Singapore,267309.32,Awarded to Suppliers,MILTON EXHIBITS (SINGAPORE) PTE. LTD.
EMA000ETT15000001,2015-02-16,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF STANDBY SPLIT UNIT AIR-CONDITIONING SYSTEMS",Energy Market Authority of Singapore,100000,Awarded to Suppliers,LITTLE SWAN AIR-CONDITIONING & ENGINEERING PTE. LTD.
EMA000ETT15000004,2015-04-28,"TENDER FOR THE PROVISION OF MEETING VENUE, FOOD & BEVERAGE, HOTEL ACCOMMODATION AND OTHER FACILITIES FOR THE SINGAPORE INTERNATIONAL ENERGY WEEK (SIEW) 2016",Energy Market Authority of Singapore,1189445.85,Awarded to Suppliers,MARINA BAY SANDS PTE. LTD.
EMA000ETT15000006,2015-04-23,PROVISION OF PROGRAMME AND EDUCATIONAL RESOURCES DEVELOPMENT AND MANAGEMENT SERVICES FOR THE POWERING LIVES TRAILS PILOT,Energy Market Authority of Singapore,175600,Awarded to Suppliers,MASTEREIGN LEARNING JOURNEYS PTE. LTD.
EMA000ETT15000010,2015-04-14,PROVISION OF TRAINING SERVICES TO FACILITATE AND CONDUCT IN-HOUSE COURSES FOR ENERGY MARKET AUTHORITY,Energy Market Authority of Singapore,19600,Awarded to Suppliers,Integrated Learning Systems Pte Ltd
EMA000ETT15000010,2015-04-14,PROVISION OF TRAINING SERVICES TO FACILITATE AND CONDUCT IN-HOUSE COURSES FOR ENERGY MARKET AUTHORITY,Energy Market Authority of Singapore,54000,Awarded to Suppliers,LOGOS LEARNING PTE. LTD.
EMA000ETT15000011,2015-06-17,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,400,Awarded to Suppliers,FRANK ANTHONY WOLAK
EMA000ETT15000011,2015-06-17,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,2200,Awarded to Suppliers,Frontier Economics Pty Ltd
EMA000ETT15000011,2015-06-17,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,2615,Awarded to Suppliers,SHEPHERD AND WEDDERBURN LLP
EMA000ETT15000011,2015-06-17,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,5892.5,Awarded to Suppliers,THE BRATTLE GROUP LIMITED
EMA000ETT15000013,2015-07-01,PROVISION OF CONSULTANCY SERVICES ON ECONOMIC ASPECTS OF COMPETITION LAW FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,53820,Awarded to Suppliers,ALLEN & GLEDHILL LLP
EMA000ETT15000013,2015-07-01,PROVISION OF CONSULTANCY SERVICES ON ECONOMIC ASPECTS OF COMPETITION LAW FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,74345,Awarded to Suppliers,Frontier Economics Pty Ltd
EMA000ETT15000014,2015-06-12,PROVISION OF CONSULTANCY SERVICES TO REVIEW AND DEVELOP THE IMPLEMENTATION PLANS FOR AN OPTIMAL OPERATING PHILOSOPHY FOR THE GAS PIPELINE NETWORKS IN SINGAPORE,Energy Market Authority of Singapore,494850,Awarded to Suppliers,DNV GL SINGAPORE PTE. LTD.
EMA000ETT15000015,2015-06-16,"RETAINER SERVICE TO ADVISE ON TECHNICAL MATTERS PERTAINING TO POWER STATION DESIGN, DEVELOPMENT AND OPERATION",Energy Market Authority of Singapore,2154,Awarded to Suppliers,WORLEYPARSONS PTE. LIMITED
EMA000ETT15000016,2015-06-05,"SUPPLY, INSTALLATION, TESTING, COMMISSIONING, TRAINING AND MAINTENANCE OF A BUDGET SYSTEM FOR EMA",Energy Market Authority of Singapore,424000,Awarded to Suppliers,ICS MULTIMEDIA PTY LTD
EMA000ETT15000017,2015-06-14,PROVISION OF STANDARD OUTPATIENT MEDICAL SERVICES AND PRE-EMPLOYMENT MEDICAL EXAMINATIONS FOR ENERGY MARKET AUTHORITY FROM THE PERIOD OF 1 JULY 2015 TO 30 JUNE 2017,Energy Market Authority of Singapore,19,Awarded to Suppliers,INTEGRATED HEALTH PLANS PTE LTD
EMA000ETT15000017,2015-06-14,PROVISION OF STANDARD OUTPATIENT MEDICAL SERVICES AND PRE-EMPLOYMENT MEDICAL EXAMINATIONS FOR ENERGY MARKET AUTHORITY FROM THE PERIOD OF 1 JULY 2015 TO 30 JUNE 2017,Energy Market Authority of Singapore,1,Awarded to Suppliers,PARKWAY SHENTON PTE LTD
EMA000ETT15000021,2015-09-22,CONSULTANCY SERVICES FOR THE REVIEW OF COMPENSATION FRAMEWORK AND DEVELOPMENT OF COMPETENCY FRAMEWORK FOR THE ENERGY MARKET AUTHORITY,Energy Market Authority of Singapore,165000,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.
EMA000ETT15000022,2015-09-25,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF PROTOCOL CONVERTER GATEWAY",Energy Market Authority of Singapore,127681,Awarded to Suppliers,Power Automation Pte Ltd
EMA000ETT15000023,2015-10-29,CONSULTANCY SERVICES TO REVIEW THE METHODOLOGY FOR DETERMINING THE OPERATION AND MAINTENANCE COSTS FOR THE PROVISION OF BLACKSTART SERVICES,Energy Market Authority of Singapore,75800,Awarded to Suppliers,Frontier Economics Pty Ltd
EMA000ETT15000024,2015-12-23,"PROVISION OF EVENT MANAGEMENT AND OTHER RELATED SERVICES FOR THE ANNUAL ENERGY FORUM (""EF"") TO BE HELD IN 2016",Energy Market Authority of Singapore,320918.8,Awarded to Suppliers,HYDROSPHERE SINGAPORE PTE. LTD.
EMA000ETT15000025,2016-03-16,REPLACEMENT OF GAS MONITORING SYSTEM,Energy Market Authority of Singapore,1469037,Awarded to Suppliers,GE Energy (Singapore) Pte Ltd
EMA000ETT15000026,2016-03-22,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,400,Awarded to Suppliers,FRANK ANTHONY WOLAK
EMA000ETT15000026,2016-03-22,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,4065,Awarded to Suppliers,FTI CONSULTING (SINGAPORE) PTE. LTD.
EMA000ETT15000026,2016-03-22,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,5602,Awarded to Suppliers,Frontier Economics Pty Ltd
EMA000ETT15000026,2016-03-22,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,5221,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
EMA000ETT15000026,2016-03-22,PROVISION OF ADVISORY SERVICES FOR DESIGN AND IMPLEMENTATION OF ENERGY POLICIES FOR A PERIOD OF TWO YEARS,Energy Market Authority of Singapore,1786,Awarded to Suppliers,SAPERE RESEARCH GROUP LIMITED
EMA000ETT15000027,2016-01-18,RETAINER SERVICE FOR ENERGY-RELATED ISSUES,Energy Market Authority of Singapore,43000,Awarded to Suppliers,EWCI PTE. LTD.
EMA000ETT15000027,2016-01-18,RETAINER SERVICE FOR ENERGY-RELATED ISSUES,Energy Market Authority of Singapore,203000,Awarded to Suppliers,WOOD MACKENZIE ASIA PACIFIC PTE. LTD.
EMA000ETT15000029,2016-05-19,"TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR THE SINGAPORE INTERNATIONAL ENERGY WEEK (""SIEW"") 2016 WITH AN OPTION TO EXTEND FOR SIEW 2017",Energy Market Authority of Singapore,1198700,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED
EMA000ETT15000030,2016-02-01,RETAINER SERVICE TO ADVISE ON TECHNICAL MATTERS PERTAINING TO GAS INFRASTRUCTURE,Energy Market Authority of Singapore,0,Awarded to No Suppliers,na
EMA000ETT16000001,2016-03-29,"TERM CONTRACT FOR CLEANING SERVICES & PANTRY SERVICES RENDERED AT THE OFFICES OF THE ENERGY MARKET AUTHORITY AT 991G ALEXANDRA ROAD, #01-29, #02-29 & #03-29D",Energy Market Authority of Singapore,97750,Awarded to Suppliers,MULTITASK DEVELOPMENT PTE. LTD.
EMA000ETT16000002,2016-04-06,"PROVISION OF ADVISORY SERVICES ON ECONOMIC REGULATION, MARKET DEVELOPMENT AND SURVEILLANCE, AND POLICY FORMULATION OF THE ENERGY (ELECTRICITY AND GAS) SECTOR FOR A PERIOD OF TWO YEARS",Energy Market Authority of Singapore,0,Awarded to No Suppliers,na
EMA000ETT16000003,2016-03-22,"TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE ENERGY MARKET AUTHORITY (""EMA"")",Energy Market Authority of Singapore,9781.25,Awarded to Suppliers,ALLEN & GLEDHILL LLP
EMA000ETT16000003,2016-03-22,"TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE ENERGY MARKET AUTHORITY (""EMA"")",Energy Market Authority of Singapore,29333,Awarded to Suppliers,BIRD & BIRD ATMD LLP
EMA000ETT16000003,2016-03-22,"TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE ENERGY MARKET AUTHORITY (""EMA"")",Energy Market Authority of Singapore,3500,Awarded to Suppliers,DONALDSON & BURKINSHAW LLP
EMA000ETT16000003,2016-03-22,"TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE ENERGY MARKET AUTHORITY (""EMA"")",Energy Market Authority of Singapore,6489,Awarded to Suppliers,DREW & NAPIER LLC
EMA000ETT16000003,2016-03-22,"TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE ENERGY MARKET AUTHORITY (""EMA"")",Energy Market Authority of Singapore,4100,Awarded to Suppliers,KHATTARWONG LLP
EMA000ETT16000003,2016-03-22,"TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE ENERGY MARKET AUTHORITY (""EMA"")",Energy Market Authority of Singapore,10000,Awarded to Suppliers,LIBERTY LAW PRACTICE LLP
EMA000ETT16000003,2016-03-22,"TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE ENERGY MARKET AUTHORITY (""EMA"")",Energy Market Authority of Singapore,11350,Awarded to Suppliers,QUAHE WOO & PALMER LLC
