tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
HPB000ETT14000065,2015-02-24,Invitation to Tender for the Provision of Services for the National Colorectal Cancer Screening Programme.,Health Promotion Board,589665,Awarded to Suppliers,BIOMEDIX SINGAPORE PTE. LTD.
HPB000ETT14000065,2015-02-24,Invitation to Tender for the Provision of Services for the National Colorectal Cancer Screening Programme.,Health Promotion Board,324874,Awarded to Suppliers,NAGASE SINGAPORE (PTE) LTD.
HPB000ETT14000065,2015-02-24,Invitation to Tender for the Provision of Services for the National Colorectal Cancer Screening Programme.,Health Promotion Board,369000,Awarded to Suppliers,PARKWAY LABORATORY SERVICES LTD.
HPB000ETT14000070,2015-01-30,"TENDER FOR THE DEVELOPMENT, PRODUCTION AND ON-SITE INSTALLATIONS OF VISUAL CUES",Health Promotion Board,750000,Awarded to Suppliers,NPE PRINT COMMUNICATIONS PTE. LTD.
HPB000ETT14000070,2015-01-30,"TENDER FOR THE DEVELOPMENT, PRODUCTION AND ON-SITE INSTALLATIONS OF VISUAL CUES",Health Promotion Board,750000,Awarded to Suppliers,SPACELOGIC PTE. LTD.
HPB000ETT14000070,2015-01-30,"TENDER FOR THE DEVELOPMENT, PRODUCTION AND ON-SITE INSTALLATIONS OF VISUAL CUES",Health Promotion Board,750000,Awarded to Suppliers,VISUALWERKS
HPB000ETT14000076,2015-03-18,CMCT32/14: INVITATION TO TENDER FOR HEALTHZONE MAINTENANCE CONTRACT FROM 1 APRIL 2015 TO 31 MARCH 2017 WITH AN OPTION TO EXTEND TO 31 MARCH 2018,Health Promotion Board,240000,Awarded to Suppliers,Pico Art International Pte Ltd
HPB000ETT14000077,2015-01-13,PROVISION OF DENTAL LABORATORY SERVICES FOR HEALTH PROMOTION BOARD FOR TWO YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO YEARS.,Health Promotion Board,0,Awarded to No Suppliers,na
HPB000ETT14000079,2015-02-27,PROCUREMENT OF MAGNETIC BOARD SET FOR MARKETING CAMPAIGN,Health Promotion Board,80500,Awarded to Suppliers,Standard Form Pte Ltd
HPB000ETT14000080,2015-03-03,"THE CONCEPTUALISATION AND CONDUCT OF I SEE, I DO POSITIVE ROLE-MODELLING WORKSHOP FOR PARENTS FOR ONE YEAR, WITH AN OPTION TO EXTEND FOR ANOTHER YEAR.",Health Promotion Board,117400,Awarded to Suppliers,Filos Community Services Ltd
HPB000ETT14000083,2015-04-07,REQUEST FOR PROPOSALS (RFQ) FOR HEALTH PROMOTION BOARD REWARD PROGRAMMES.,Health Promotion Board,2,Awarded to Suppliers,MGG SOFTWARE PTE. LTD.
HPB000ETT14000083,2015-04-07,REQUEST FOR PROPOSALS (RFQ) FOR HEALTH PROMOTION BOARD REWARD PROGRAMMES.,Health Promotion Board,4,Awarded to Suppliers,NTUC LINK PRIVATE LIMITED
HPB000ETT14000087,2015-03-04,OPMT56/14 PROVISION OF NUTRITION & DIETETICS SERVICES FOR FOOD AND NUTRITION PROGRAMMES UNDER A PERIOD CONTRACT CUM FRAMEWORK AGREEMENT FOR A TENTATIVE PERIOD OF TWO YEARS (FEBRUARY 2015 TO JANUARY 2017) WITH AN OPTION TO EXTEND FOR ANOTHER ONE OR TWO YEARS,Health Promotion Board,1,Awarded to Suppliers,DAYSPRING CORPORATE WELLNESS PTE LTD
