tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
HSA000ETT14000039,2015-03-17,INVITATION TO TENDER FOR LABORATORY SERVICES TO HEALTH SCIENCES AUTHORITY,Health Sciences Authority,349572,Awarded to Suppliers,SINGAPORE GENERAL HOSPITAL PTE LTD
HSA000ETT14000046,2015-01-02,Supply of 1 unit of Automated Pre-Transfusion Testing System,Health Sciences Authority,1134629,Awarded to Suppliers,Bio-Rad Laboratories (Singapore) Pte Ltd
HSA000ETT14000049,2015-02-16,PROVISION OF EVENT VENUE FOR 22ND ASEAN COSMETIC COMMITTEE MEETING (ACC),Health Sciences Authority,85350,Awarded to Suppliers,HARILELA HOTELS (SINGAPORE) PTE LTD
HSA000ETT14000050,2015-04-07,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF SOLID PHASE EXTRACTION (SPE) COLUMNS AND CAPS FOR 1 YEAR WITH AN OPTION TO RENEW FOR ANOTHER 2 YEARS ON AN ANNUAL RENEWAL BASIS,Health Sciences Authority,24000,Awarded to Suppliers,SCIENCESCAN CONSULTANCY & SERVICES PTE LTD
HSA000ETT14000051,2015-01-14,Supply of 1 unit of High Performance Liquid Chromatography/Diode Array Detector (HPLC/DAD) system with Refractive Index Dector (RID),Health Sciences Authority,81398.9,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd
HSA000ETT14000053,2015-03-04,INVITATION TO TENDER FOR THE PROVISION OF COLDCHAIN COURIER SERVICES TO HEALTH SCIENCES AUTHORITY,Health Sciences Authority,95400,Awarded to Suppliers,SAMPLEARCHIVE SERVICES PTE. LTD.
HSA000ETT14000058,2015-08-28,3 Year Supply and Delivery of Triple Blood Collection Bags for 450ml Whole Blood Donation with an option to renew for another 2 years on a yearly basis,Health Sciences Authority,0,Awarded to No Suppliers,na
HSA000ETT14000060,2015-03-11,Provision of Disaster Recovery Services for the Health Sciences Authority,Health Sciences Authority,1272759.99,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
HSA000ETT14000061,2015-01-22,3-Year Supply and Delivery of Antiseptic Swabstick with an Option to renew for another 1 Year,Health Sciences Authority,617590.4,Awarded to Suppliers,Autus International Pte Ltd
HSA000ETT14000062,2015-02-03,Supply of 20 units of blood donation couches,Health Sciences Authority,99800,Awarded to Suppliers,Transmedic Pte Ltd
HSA000ETT14000063,2015-04-30,3-Year Supply & Delivery of 350ml Triple Blood Bags for the Collection & Storage of Whole Blood from Blood Donors with an Option to renew for another 2 Years on a yearly basis,Health Sciences Authority,239818.5,Awarded to Suppliers,JMS SINGAPORE PTE LTD
HSA000ETT14000064,2015-02-06,Supply of 1 unit of Liquid Chromatography Tandem Mass Spectrometer (LC-MS/MS) System,Health Sciences Authority,215000,Awarded to Suppliers,Shimadzu (Asia Pacific) Pte Ltd
HSA000ETT14000066,2015-01-14,"Supply, Delivery, Installation & Commissioning of Fourier Transform Infrared Spectrometer.",Health Sciences Authority,285000,Awarded to Suppliers,BRUKER SINGAPORE PTE. LTD.
HSA000ETT14000067,2015-03-03,"INVITATION TO TENDER FOR THE SUPPLY OF GAS CHROMATOGRAPHY TRIPLE QUADRUPOLE MASS SPECTROMETER & FAST LIQUID CHROMATOGRAPHY TO APPLIED SCIENCES GROUP (ASG), HEALTH SCIENCES AUTHORITY (HSA).",Health Sciences Authority,269247,Awarded to Suppliers,Shimadzu (Asia Pacific) Pte Ltd
HSA000ETT14000068,2015-02-04,PREVENTIVE MAINTENANCE WITH UNLIMITED BREAKDOWN CALL FOR CHEMICAL METROLOGY LABORATORY,Health Sciences Authority,529200,Awarded to Suppliers,A-ONE AIR-CONDITIONING PTE LTD
HSA000ETT14000069,2015-05-21,"Supply and Delivery of Number Set, ISBT Labels for 2 years with option for annual extension for another 2 years",Health Sciences Authority,899025,Awarded to Suppliers,WELL RESOURCE MARKETING
HSA000ETT14000071,2015-01-02,INVITATION TO TENDER FOR SUPPLY OF 1 UNIT OF BENCH TOP ULTRACENTRIFUGE,Health Sciences Authority,94822,Awarded to Suppliers,BECKMAN COULTER SINGAPORE PTE. LTD.
HSA000ETT14000072,2015-02-12,PROVISION OF COMPREHENSIVE MAINTENANCE SERVICES FOR HSA OFFSITE,Health Sciences Authority,654000,Awarded to Suppliers,VISIONICS ENGINEERING PTE. LTD.
HSA000ETT14000073,2015-02-13,"Supply, Delivery & Commissioning of 1 unit of Automatic Solid Phase Extractor to Health Sciences Authority (HSA).",Health Sciences Authority,87950,Awarded to Suppliers,SciMed (Asia) Pte Ltd
HSA000ETT14000074,2015-07-09,"1-Year Supply and Delivery of Sequence Based Typing kits for HLA- A, B, C, DRB1 and DQB1 with an Option to renew for another 1 Year",Health Sciences Authority,501204,Awarded to Suppliers,LIFE TECHNOLOGIES HOLDINGS PTE. LTD.
HSA000ETT14000075,2015-05-04,PROVISION OF SUPPORT OFFICERS FOR HSA-ASG LABORATORIES,Health Sciences Authority,13,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd
HSA000ETT14000076,2015-03-03,THE SUPPLY OF GAS CHROMATROGRAPHY MASS SPECTROMETER (GCMS) TO HEALTH SCIENCES AUTHORITY (HSA).,Health Sciences Authority,193821.2,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd
HSA000ETT14000080,2015-02-17,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF ESX KIT AND AMPSOLUTION FOR 2 YEARS WITH AN OPTION TO RENEW FOR ANOTHER 1 YEAR,Health Sciences Authority,576216,Awarded to Suppliers,PROMEGA PTE. LTD.
HSA000ETT14000081,2015-02-10,Invitation to Tender for Provision of Queue Management System for the Blood Collection Centre for Health Sciences Authority,Health Sciences Authority,142775,Awarded to Suppliers,SECUR SOLUTIONS GROUP PTE. LTD.
HSA000ETT14000082,2015-12-22,3-Year Supply & Delivery of 450ml Blood Collection Pack System With In-Line Leuco-Filter for the Collection & Storage of Whole Blood with Option to extend for another 2 Years,Health Sciences Authority,0,Awarded to No Suppliers,na
HSA000ETT14000083,2015-02-27,INVITATION TO TENDER FOR THE SUPPLY OF ION CHROMATOGRAPHY (IC) AND LIQUID CHROMATOGRAPHY TANDEM QUADRUPOLE MASS SPECTORMETER (LC-MS/MS) SYSTEM HEALTH SCIENCES AUTHORITY (HSA).,Health Sciences Authority,149936.77,Awarded to Suppliers,DIONEX SINGAPORE PTE. LTD.
HSA000ETT14000083,2015-02-27,INVITATION TO TENDER FOR THE SUPPLY OF ION CHROMATOGRAPHY (IC) AND LIQUID CHROMATOGRAPHY TANDEM QUADRUPOLE MASS SPECTORMETER (LC-MS/MS) SYSTEM HEALTH SCIENCES AUTHORITY (HSA).,Health Sciences Authority,294045.48,Awarded to Suppliers,WATERS PACIFIC PTE. LTD.
HSA000ETT14000084,2015-02-27,3-Year Supply & Delivery of Screening Test Kits for Detection of Antibodies to Treponema Pallidum for Syphilis Infection in Blood Donors with Option to extend for another 2 Years,Health Sciences Authority,300510,Awarded to Suppliers,ALL EIGHTS (SINGAPORE) PRIVATE LIMITED
HSA000ETT14000085,2015-04-30,Invitation to Tender for Provision of Application Maintenance Services for the DONORCARE System for HSA,Health Sciences Authority,136800,Awarded to Suppliers,RAPTECH PTE. LTD.
HSA000ETT14000086,2015-03-16,INVITATION TO TENDER FOR THE SUPPLY OF FOURIER TRANSFORM INFRARED SPECTROMETER (FTIR) TO APPLIED SCIENCES GROUP (ASG),Health Sciences Authority,70410,Awarded to Suppliers,Research Instruments Pte Ltd
HSA000ETT14000087,2015-02-27,Provision of Addition And Alteration To The 3rd Satellite Blood Donation Centre,Health Sciences Authority,997879,Awarded to Suppliers,E.ID PROJECTS PTE. LTD.
HSA000ETT14000088,2015-03-11,PROVISION OF INTERNAL AUDIT SERVICES,Health Sciences Authority,291000,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
HSA000ETT14000089,2015-06-15,Invitation to Tender for Provision of Maintenance Services for the FIONA System for HSA,Health Sciences Authority,1614000,Awarded to Suppliers,NCS PTE. LTD.
HSA000ETT15000002,2015-03-31,Supply of Automated/ Digital Blood Collection Monitor,Health Sciences Authority,108000,Awarded to Suppliers,ZUELLIG PHARMA PTE. LTD.
HSA000ETT15000003,2015-02-18,"Invitation To Tender For The Supply, Delivery And Support Of Microsoft Software In Accordance To Government MGLP Select Plus Agreement Number 6255037",Health Sciences Authority,150783.6,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd
HSA000ETT15000005,2015-11-18,INVITATION TO TENDER FOR THE PROVISION OF FORENSIC LABORATORY LAB TESTS FOR A PERIOD OF 2 YEARS WITH OPTION TO RENEW FOR ANOTHER 1 YEAR,Health Sciences Authority,1375191.3,Awarded to Suppliers,SINGAPORE GENERAL HOSPITAL PTE LTD
HSA000ETT15000007,2015-08-20,Provision of 3 year preventive maintenance services for 55 units of tube sealers with an option to extend for another 2 years,Health Sciences Authority,83500,Awarded to Suppliers,STYLUS TECHNOLOGY
HSA000ETT15000008,2015-11-27,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF 24-PLEX AMPLIFICATION KITS FOR DNA PROFILING FOR 3 YEARS WITH AN OPTION TO RENEW FOR ANOTHER 2 YEARS ON AN ANNUAL BASIS,Health Sciences Authority,6054450,Awarded to Suppliers,LIFE TECHNOLOGIES HOLDINGS PTE. LTD.
HSA000ETT15000009,2015-04-29,Provision Of Cleaning Services For Health Sciences Authority At Bloodbank @ Westgate Tower,Health Sciences Authority,214480,Awarded to Suppliers,IGM SERVICES PTE LTD
HSA000ETT15000010,2015-06-17,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF CENTRIFUGE FILTER TUBES FOR 1 YEAR WITH OPTIONS TO RENEW FOR ANOTHER 2 YEARS ON AN ANNUAL BASIS,Health Sciences Authority,72900,Awarded to Suppliers,CEMS MARKETING PTE LTD
HSA000ETT15000013,2015-07-27,INVITATION TO TENDER FOR THE PROVISION OF MALARIA PCR TEST FOR BLOOD DONATIONS,Health Sciences Authority,1593900,Awarded to Suppliers,NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD
HSA000ETT15000014,2015-06-10,"PROVISION OF MAINTENANCE SERVICES FOR GAS CHROMATOGRAPH MASS SPECTROMETER (GCMS), GAS CHROMATOGRAPH (GC), GAS CHROMATOGRAPH QUADRUPOLE TIME OF FLIGHT (GC-QTOF) AND HIGH PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)",Health Sciences Authority,154512,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd
HSA000ETT15000014,2015-06-10,"PROVISION OF MAINTENANCE SERVICES FOR GAS CHROMATOGRAPH MASS SPECTROMETER (GCMS), GAS CHROMATOGRAPH (GC), GAS CHROMATOGRAPH QUADRUPOLE TIME OF FLIGHT (GC-QTOF) AND HIGH PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)",Health Sciences Authority,70400,Awarded to Suppliers,PerkinElmer Singapore Pte Ltd
HSA000ETT15000018,2015-11-06,INVITATION TO TENDER FOR THE PROVISION OF LABORATORY SERVICES FOR BLOOD SERVICES GROUP (HEALTH SCIENCES AUTHORITY),Health Sciences Authority,310515,Awarded to Suppliers,SINGAPORE GENERAL HOSPITAL PTE LTD
HSA000ETT15000019,2015-07-09,DESIGN AND BUILD FOR THE EXPANSION OF DHOBY GHAUT SATELLITE BLOOD DONATION CENTRE,Health Sciences Authority,290365,Awarded to Suppliers,Aspacio Design Associates Pte Ltd
HSA000ETT15000022,2015-07-22,"Supply and Delivery of Label, Irradiation Indicator (X-ray) for 1 Year with Option for annual extension for another 2 Years",Health Sciences Authority,126720,Awarded to Suppliers,Transmedic Pte Ltd
HSA000ETT15000023,2016-02-12,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF 1 UNIT OF ROBOTIC WORKSTATION AND REAGENTS FOR BIOLOGY DIVISION",Health Sciences Authority,1393904.25,Awarded to Suppliers,Scientific Resources Pte Ltd
HSA000ETT15000026,2015-09-08,Supply and Delivery of Sodium Chloride Solution for 1 Year with Option for Annual Extension for another 2 Years,Health Sciences Authority,405000,Awarded to Suppliers,Transmedic Pte Ltd
HSA000ETT15000027,2015-11-11,Supply & Delivery of Analytical Instrument & Reagent Kits for Residual White Blood Cells Enumeration for 3 Years with Option for Annual Extension for another 2 Years,Health Sciences Authority,180128.02,Awarded to Suppliers,BIOMED DIAGNOSTICS PTE LTD
HSA000ETT15000028,2015-09-09,"PROVISION OF CONSULTANCY SERVICES FOR THE DESIGN, PLANNING & PROJECT MANAGEMENT OF ELECTRICAL UPGRADING WORKS AT THE MORTUARY (A compulsory site show will be held on 28 July 2015, 3.30 PM, Mortuary@Forensic Medicine Division, Singapore General Hospital Block 9, Level 1,Singapore 169608. Vendors who did not attend the site show will not be considered.)",Health Sciences Authority,49200,Awarded to Suppliers,JACOBS INTERNATIONAL CONSULTANTS PTE. LTD.
HSA000ETT15000029,2015-10-21,TERM CONTRACT FOR AIR-CONDITIONING REPLACEMENT SERVICES,Health Sciences Authority,355200,Awarded to Suppliers,INDECO ENGINEERS (PTE) LTD
HSA000ETT15000030,2015-11-25,2-Year Supply and Delivery of Disposable Apheresis Sets with Compatible Blood Cell Separators with an Option to Renew for another 3 Years on an annual basis,Health Sciences Authority,7576344,Awarded to Suppliers,Transmedic Pte Ltd
HSA000ETT15000030,2015-11-25,2-Year Supply and Delivery of Disposable Apheresis Sets with Compatible Blood Cell Separators with an Option to Renew for another 3 Years on an annual basis,Health Sciences Authority,3312360,Awarded to Suppliers,ZUELLIG PHARMA PTE. LTD.
HSA000ETT15000032,2015-11-05,PURCHASE OF LIQUID CHROMATOGRAPH TANDEM TRIPLE-QUADRUPOLE MASS SPECTROMETER (LC-MS-MS) SYSTEM,Health Sciences Authority,516930,Awarded to Suppliers,AB SCIEX (DISTRIBUTION)
HSA000ETT15000034,2015-11-27,INVITATION TO TENDER FOR INTERIOR FITTING OUT WORKS TO MORTURY WAITING AREA EXTENSION AT BLK 9 SINGAPORE GENERAL HOSPITAL FOR HEALTH SCIENCES AUTHORITY,Health Sciences Authority,83995,Awarded to Suppliers,GREAT ART DESIGN & BUILD PTE. LTD.
HSA000ETT15000035,2016-01-28,"THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF REFRIGERATORS AND FREEZERS",Health Sciences Authority,57200,Awarded to Suppliers,SciMed (Asia) Pte Ltd
HSA000ETT15000035,2016-01-28,"THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF REFRIGERATORS AND FREEZERS",Health Sciences Authority,2200,Awarded to Suppliers,VWR SINGAPORE PTE. LTD.
HSA000ETT15000037,2016-01-15,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF FUME HOODS.",Health Sciences Authority,32395,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD
HSA000ETT15000038,2016-02-19,"SUPPLY OF DNA EXTRACTION SYSTEM, VACUUM CONCENTRATOR AND WORKSTATION FOR QUANTITATIVE METHYLATION ANALYSIS",Health Sciences Authority,28000,Awarded to Suppliers,PROMEGA PTE. LTD.
HSA000ETT15000038,2016-02-19,"SUPPLY OF DNA EXTRACTION SYSTEM, VACUUM CONCENTRATOR AND WORKSTATION FOR QUANTITATIVE METHYLATION ANALYSIS",Health Sciences Authority,119440,Awarded to Suppliers,QIAGEN SINGAPORE PTE. LTD.
HSA000ETT15000038,2016-02-19,"SUPPLY OF DNA EXTRACTION SYSTEM, VACUUM CONCENTRATOR AND WORKSTATION FOR QUANTITATIVE METHYLATION ANALYSIS",Health Sciences Authority,8000,Awarded to Suppliers,SPD SCIENTIFIC PTE LTD
HSA000ETT15000043,2015-12-03,"THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF LIQUID CHROMATOGRAPHY-QUADRUPOLE HIGH RESOLUTION ACCURATE MASS (HRAM) SPECTROMETER (LC-MS/MS) AND FAST LIQUID CHROMATOGRAPH TO HEALTH SCIENCES AUTHROITY (HSA)",Health Sciences Authority,56400,Awarded to Suppliers,Shimadzu (Asia Pacific) Pte Ltd
