tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
HDB000ETT14000168,2015-01-07,Construction And Management Of Staging Ground And Infilling Works,Housing and Development Board,1030000000,Awarded to Suppliers,SANTARLI CONSTRUCTION PTE. LTD.
HDB000ETT14000186,2015-05-29,Request-For-Proposal (RFP) For the Co-Innovation Partnership (CIP) Project on the Development Of A Cleaning System for External Facade walls,Housing and Development Board,1570240,Awarded to Suppliers,HOPE TECHNIK PTE. LTD.
HDB000ETT14000186,2015-05-29,Request-For-Proposal (RFP) For the Co-Innovation Partnership (CIP) Project on the Development Of A Cleaning System for External Facade walls,Housing and Development Board,1025827.2,Awarded to Suppliers,WELTRON EQUIPMENT PTE LTD
HDB000ETT14000253,2015-10-16,"Design, Build, Operate & Maintenance Of A Pneumatic Waste Conveyance System (PWCS) At Tampines North (N6 C1A/1B)",Housing and Development Board,2498000,Awarded to Suppliers,STREAM ENVIRONMENT (S) PTE. LTD.
HDB000ETT14000255,2015-01-16,"Provision Of Multi-Disciplinary [Mechanical & Electrical Engineering (Principal Consultant), Civil & Structural Engineering And Quantity Surveying] Consultancy Services For A Period Of 2 Years (Batch 3)",Housing and Development Board,0,Awarded to Suppliers,J. M. PANG & SEAH (PTE) LTD
HDB000ETT14000277,2015-02-11,Provision Of Multi-Disciplinary Consultancy Services [Civil & Structural Engineering (Principal Consultant) And Quantity Surveying] For A Period Of 2 Years (Batch 8),Housing and Development Board,0,Awarded to Suppliers,FONG CONSULT PTE. LTD.
HDB000ETT14000302,2015-02-09,"Supply And Installation Of Horizontal Subsoil Drain Onto Existing Slope At Block 114, Depot Road & Subsoil Drainage Works At Block 102, Punggol Field",Housing and Development Board,268000,Awarded to Suppliers,EARTH ENGINEERING PTE. LTD.
HDB000ETT14000320,2015-01-08,"Multi-Disciplinary (Architectural, Civil & Structural Engineering, Mechanical & Electrical Engineering And Quantity Surveying) Consultancy Services For Public Housing At Punggol North Contract 5",Housing and Development Board,0,Awarded to No Suppliers,na
HDB000ETT14000331,2015-01-16,Improvement Works To Multi-Storey Carparks (Batch 42B),Housing and Development Board,11100000,Awarded to Suppliers,CKR CONTRACT SERVICES PTE. LTD.
HDB000ETT14000338,2015-01-07,(A) Design And Build Of Upgrading Projects For G18G; (B) Contingency Works,Housing and Development Board,27142000,Awarded to Suppliers,CHUAN LIM CONSTRUCTION PTE LTD
HDB000ETT14000339,2015-01-15,A) Design & Build Of Upgrading Projects For G18F; B) Contingency Works,Housing and Development Board,25500000,Awarded to Suppliers,WAN CHUNG CONSTRUCTION (SINGAPORE) PTE. LTD.
HDB000ETT14000345,2015-01-13,Term Contract For Electrical Works At 13 HDB Shopping Malls For A Period Of 3 Years,Housing and Development Board,1,Awarded to Suppliers,SONG LEE ELECTRICAL ENGINEERING PTE. LTD.
HDB000ETT14000347,2015-03-04,"Provision Of Multi-Disciplinary [Mechanical & Electrical Engineering (Principal Consultant), Civil & Structural Engineering And Quantity Surveying] Consultancy Services For A Period Of 2 Years (Batch 4)",Housing and Development Board,0,Awarded to No Suppliers,na
HDB000ETT14000348,2015-03-04,Accredited Checking Organisation For Construction Works At Area A And C In Pulau Tekong,Housing and Development Board,143390,Awarded to Suppliers,CALIBRE CONSULTING (SINGAPORE) PTE. LTD.
HDB000ETT14000349,2015-03-06,A) Design & Build Of Upgrading Projects For G19A; B) Contingency Works,Housing and Development Board,27982880,Awarded to Suppliers,Hock Guan Cheong Builder Pte Ltd
HDB000ETT14000350,2015-03-03,A) Design & Build Of Upgrading Projects For G19B; B) Contingency Works,Housing and Development Board,26000000,Awarded to Suppliers,QUADUNION BUILDERS PTE. LTD.
HDB000ETT14000353,2015-01-30,(A) Design And Build Of Upgrading Projects For G19C; (B) Contingency Works,Housing and Development Board,30906185,Awarded to Suppliers,H P CONSTRUCTION & ENGINEERING PTE LTD
HDB000ETT14000354,2015-02-02,(A) Design And Build Of Upgrading Projects For G19D; (B) Contingency Works,Housing and Development Board,26000900,Awarded to Suppliers,SOIL-BUILD (PTE.) LTD.
HDB000ETT14000355,2015-01-29,(A) Design And Build Of Upgrading Projects For G19E; (B) Contingency Works,Housing and Development Board,29240000,Awarded to Suppliers,Stallion Development Pte Ltd
HDB000ETT14000363,2015-01-07,Proposed Addition & Alteration To Existing Development Into Eatery And Minimart For M/S Housing Development Board,Housing and Development Board,2200000,Awarded to Suppliers,MEGABUILDERS & DEVELOPMENT PTE. LTD.
HDB000ETT14000365,2015-02-16,Addition And Alteration Works To Multi-Storey Car Parks (Batch 8B),Housing and Development Board,11300000,Awarded to Suppliers,CKR CONTRACT SERVICES PTE. LTD.
HDB000ETT14000367,2015-05-07,Supply And Delivery Of Concreting Sand To The HDB Including Ground Monitoring Works (Phase 2H),Housing and Development Board,474472.25,Awarded to Suppliers,AZ UNITED PTE. LTD.
HDB000ETT14000368,2015-01-06,Term Contract For The Servicing And Maintenance Of Fire Protection System Including Standby Generator Sets For 14 Neighbourhood Centres For A Period Of 36 Months,Housing and Development Board,244657.2,Awarded to Suppliers,FYH INTEGRATED PTE. LTD.
HDB000ETT14000372,2015-03-18,"Multi-Disciplinary (Civil & Structural Engineering, Mechanical & Electrical Engineering And Quantity Surveying) Consultancy Services For Various Civil Engineering Works",Housing and Development Board,0,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.
