tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
ISA000ETT14000012,2015-01-23,"This project aims to source for and engage a Vendor to assess/understand the current brand position and to focus on the creation of a fresh branding for the Institute, arising from a change in name for the Institute. The selected vendor will have to design new logos for the re-named organization, i.e. ISEAS Yusof Ishak Institute. The logo shall consist of the acronym ISEAS and the texts Institute of Southeast Asian Studies and Yusof Ishak Institute.",ISEAS - Yusof Ishak Institute,93400,Awarded to Suppliers,ATOMZ I! PTE. LTD.
ISA000ETT14000013,2015-02-13,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY ONE (1) UNIT OF PASSENGER VAN WITH CERTIFICATE OF ENTITLEMENT (COE) TO INSTITUTE OF SOUTHEAST ASIAN STUDIES (ISEAS),ISEAS - Yusof Ishak Institute,0,Awarded to No Suppliers,na
ISA000ETT15000002,2015-03-18,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY ONE (1) UNIT OF PASSENGER VAN WITH CERTIFICATE OF ENTITLEMENT (COE) TO INSTITUTE OF SOUTHEAST ASIAN STUDIES (ISEAS),ISEAS - Yusof Ishak Institute,0,Awarded to No Suppliers,na
ISA000ETT15000004,2015-06-11,PROVISION OF TWO-YR PERIOD CONTRACT FOR TYPESETTING OF ISEAS BOOKS (A5; 6 X 9 INCHES; AND 6.75 X 10 INCHES),ISEAS - Yusof Ishak Institute,90000,Awarded to Suppliers,INTERNATIONAL TYPESETTERS PTE LTD
ISA000ETT15000004,2015-06-11,PROVISION OF TWO-YR PERIOD CONTRACT FOR TYPESETTING OF ISEAS BOOKS (A5; 6 X 9 INCHES; AND 6.75 X 10 INCHES),ISEAS - Yusof Ishak Institute,110000,Awarded to Suppliers,SUPERSKILL GRAPHICS PTE LTD
ISA000ETT15000006,2015-04-14,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY ONE (1) UNIT OF PASSENGER VAN WITH CERTIFICATE OF ENTITLEMENT (COE) TO INSTITUTE OF SOUTHEAST ASIAN STUDIES (ISEAS),ISEAS - Yusof Ishak Institute,123534,Awarded to Suppliers,BORNEO MOTORS (SINGAPORE) PTE. LTD.
ISA000ETT15000007,2015-07-10,Provision of external audit services.,ISEAS - Yusof Ishak Institute,122500,Awarded to Suppliers,FOO KON TAN LLP
ISA000ETT15000008,2015-08-17,INVITATION TO TENDER FOR PROVISION OF LEGAL SERVICES TENDER FOR 3 YEARS WITH AN OPTION TO EXTEND FOR ANOTHER YEAR,ISEAS - Yusof Ishak Institute,1,Awarded to Suppliers,CENTRAL CHAMBERS LAW CORPORATION
ISA000ETT15000008,2015-08-17,INVITATION TO TENDER FOR PROVISION OF LEGAL SERVICES TENDER FOR 3 YEARS WITH AN OPTION TO EXTEND FOR ANOTHER YEAR,ISEAS - Yusof Ishak Institute,1,Awarded to Suppliers,DREW & NAPIER LLC
ISA000ETT15000008,2015-08-17,INVITATION TO TENDER FOR PROVISION OF LEGAL SERVICES TENDER FOR 3 YEARS WITH AN OPTION TO EXTEND FOR ANOTHER YEAR,ISEAS - Yusof Ishak Institute,1,Awarded to Suppliers,GATEWAY LAW CORPORATION
