tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
IDA000ETT14000085,2015-06-22,"For The Supply, Delivery, Installation, Testing, Commissioning of A Fully Integrated Spectrum Allocation and Monitoring System with an option for maintenance",Info-communications Media Development Authority,3210400,Awarded to Suppliers,ROHDE & SCHWARZ ASIA PTE. LTD.
IDA000ETT14000086,2015-05-22,Provision for Digital Forensic Services,Info-communications Media Development Authority,1,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
IDA000ETT14000086,2015-05-22,Provision for Digital Forensic Services,Info-communications Media Development Authority,1,Awarded to Suppliers,I-ANALYSIS PTE. LTD.
IDA000ETT14000086,2015-05-22,Provision for Digital Forensic Services,Info-communications Media Development Authority,1,Awarded to Suppliers,NEXIA TS TECHNOLOGY PTE. LTD.
IDA000ETT14000086,2015-05-22,Provision for Digital Forensic Services,Info-communications Media Development Authority,1,Awarded to Suppliers,RP DIGITAL SECURITY PTE. LTD.
IDA000ETT14000086,2015-05-22,Provision for Digital Forensic Services,Info-communications Media Development Authority,1,Awarded to Suppliers,RSM TECHNOLOGY RISK GROUP PTE. LTD.
IDA000ETT15000007,2015-03-20,FOR THE CONSULTANCY ON INFO-COMMUNICATION TECHNOLOGY (ICT) MANPOWER DEVELOPMENT IN SINGAPORE,Info-communications Media Development Authority,335000,Awarded to Suppliers,MERCER (SINGAPORE) PTE. LTD.
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,AA ACCESS PARTNERSHIP LIMITED
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,AETHA CONSULTING LIMITED
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,ALCATEL-LUCENT SINGAPORE PTE. LTD.
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,ANALYSYS MASON LIMITED
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,DETECON ASIA-PACIFIC LTD.
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,DOTECON LIMITED
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,EUROPEAN ECONOMIC RESEARCH LIMTED
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,FRONTIER ECONOMICS LTD
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,NERA AUSTRALIA PTY LTD
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,PLUM CONSULTING LONDON LLP
IDA000ETT15000009,2015-03-30,For Provision of Consultancy Services and Economic Advice in Relation to Info-Communications and Postal Regulatory Matters,Info-communications Media Development Authority,1,Awarded to Suppliers,WIK-CONSULT GMBH
IDA000ETT15000011,2015-03-24,For Design and Build of The Hetnet Lab,Info-communications Media Development Authority,163645,Awarded to Suppliers,ILA GROUP PTE. LTD.
IDA000ETT15000023,2015-04-14,DESIGN AND BUILD OF INFOCOMM EXPERIENCE CENTRE (iEXPERIENCE),Info-communications Media Development Authority,1247090,Awarded to Suppliers,Aspacio Design Associates Pte Ltd
IDA000ETT15000038,2015-05-15,OPERATIONS AND MAINTENANCE OF THE INFOCOMM EXPERIENCE CENTRE (iEXPERIENCE),Info-communications Media Development Authority,499939.2,Awarded to Suppliers,APBA PTE. LTD.
IDA000ETT15000044,2015-06-17,For The Provision of Meeting Venue and Facilities for IDAs Policy Regulatory Forum,Info-communications Media Development Authority,63195,Awarded to Suppliers,Grand Copthorne Waterfront Hotel Singapore
IDA000ETT15000048,2015-08-18,DEVELOPMENT OF GUIDELINES FOR CLOUD OUTAGE INCIDENT RESPONSE,Info-communications Media Development Authority,97500,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
