tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
IRA000ETT14000016,2015-01-22,Appointment of Advertising Agency for Two (2) Years; with an Option to Extend on a Yearly Basis up to a Maximum of Two (2) Additional Years,Inland Revenue Authority of Singapore,1,Awarded to Suppliers,CUBIC COMMUNICATIONS PTE LTD
IRA000ETT14000018,2015-01-19,Provision of Market Research Services on Taxpayers,Inland Revenue Authority of Singapore,138480,Awarded to Suppliers,BEACON CONSULTING PTE LTD
IRA000ETT15000001,2015-06-24,Provision of Service Bureau for e-Stamping for a period of 3 years with an option to extend for another 2 years on a yearly basis,Inland Revenue Authority of Singapore,0,Awarded to No Suppliers,na
IRA000ETT15000003,2015-04-22,Upgrading/Replacement and Provision of Comprehensive Maintenance for the Integrated Voice Communication System (IVCS) at Revenue House,Inland Revenue Authority of Singapore,288730,Awarded to Suppliers,Ntegrator Pte Ltd
IRA000ETT15000005,2015-07-07,"Provision of printing, enveloping/pressure sealing and despatching services for 3 years with an option to extend for another up to 3 years",Inland Revenue Authority of Singapore,103480.24,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
IRA000ETT15000006,2015-07-22,"SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING AND MAINTENANCE OF A QUEUE MANAGEMENT SYSTEM",Inland Revenue Authority of Singapore,173740,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD
IRA000ETT15000007,2015-09-18,"Provision of consultancy services for the upgrading/replacement of Fire Alarm Monitoring, Emergency Voice Communication and Uninterruptible Power Supply systems at Revenue House",Inland Revenue Authority of Singapore,9,Awarded to Suppliers,CASY CONSULTANCY SERVICES
IRA000ETT15000008,2015-06-02,"Supply, delivery, support of McAfee Complete Data Protection Advanced Software with an option for maintenance of Software",Inland Revenue Authority of Singapore,143581.1,Awarded to Suppliers,NCS PTE. LTD.
IRA000ETT15000009,2015-08-05,Provision of multi-disciplinary consultancy services to conduct a feasibility study and propose a conceptual design for space planning and addition and alteration works at Revenue House.,Inland Revenue Authority of Singapore,150000,Awarded to Suppliers,DP ARCHITECTS PTE LTD.
IRA000ETT15000010,2015-08-31,Provision of Legal Services for a period of two years with an option to extend for another two (2) years on a yearly basis,Inland Revenue Authority of Singapore,269020,Awarded to Suppliers,INFINITUS LAW CORPORATION
