tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
ITE000ETT14000049,2015-01-07,Supply and Delivery of Slow Juicer,Institute of Technical Education,494566.8,Awarded to Suppliers,MODERN LINK PTE. LTD.
ITE000ETT14000050,2015-01-02,Outsourcing of the ITE-Human Capital System (ITE-HCS) Maintenance & Support Services,Institute of Technical Education,1419936,Awarded to Suppliers,HCL SINGAPORE PTE. LTD.
ITE000ETT14000052,2015-04-02,Term Contract for the Provision of 7 Workplace Skills Modules Programme,Institute of Technical Education,0,Awarded to No Suppliers,na
ITE000ETT14000054,2015-02-09,"Supply, delivery, installation and commissioning of the Test Equipment, Marine Automation System, Marine Communication System and Marine Navigation System",Institute of Technical Education,43980,Awarded to Suppliers,3WAVES ENERGY PTE. LTD.
ITE000ETT14000054,2015-02-09,"Supply, delivery, installation and commissioning of the Test Equipment, Marine Automation System, Marine Communication System and Marine Navigation System",Institute of Technical Education,16614,Awarded to Suppliers,CETM GLOBALTEST PTE. LTD.
ITE000ETT14000054,2015-02-09,"Supply, delivery, installation and commissioning of the Test Equipment, Marine Automation System, Marine Communication System and Marine Navigation System",Institute of Technical Education,1880,Awarded to Suppliers,Caltron Pte. Limited
ITE000ETT14000054,2015-02-09,"Supply, delivery, installation and commissioning of the Test Equipment, Marine Automation System, Marine Communication System and Marine Navigation System",Institute of Technical Education,87240,Awarded to Suppliers,Jason Electronics (Pte) Ltd
ITE000ETT14000054,2015-02-09,"Supply, delivery, installation and commissioning of the Test Equipment, Marine Automation System, Marine Communication System and Marine Navigation System",Institute of Technical Education,14700,Awarded to Suppliers,ROHDE & SCHWARZ REGIONAL HEADQUARTERS SINGAPORE PTE. LTD.
ITE000ETT14000056,2015-01-27,Supply and Delivery of Wireless Communication Equipment,Institute of Technical Education,12250,Awarded to Suppliers,ACE-TONE SOLUTIONS
ITE000ETT14000056,2015-01-27,Supply and Delivery of Wireless Communication Equipment,Institute of Technical Education,40000,Awarded to Suppliers,ANITE SINGAPORE PTE. LTD.
ITE000ETT14000056,2015-01-27,Supply and Delivery of Wireless Communication Equipment,Institute of Technical Education,3480,Awarded to Suppliers,MEGAGOAL PTE LTD
ITE000ETT14000056,2015-01-27,Supply and Delivery of Wireless Communication Equipment,Institute of Technical Education,1300,Awarded to Suppliers,Nera Telecommunications Ltd
ITE000ETT14000056,2015-01-27,Supply and Delivery of Wireless Communication Equipment,Institute of Technical Education,250780,Awarded to Suppliers,STELLENT NETWORKS PTE. LTD.
ITE000ETT14000057,2015-01-22,Supply and Delivery of Computer and Communication Equipment,Institute of Technical Education,14400,Awarded to Suppliers,A-MAIN OBJECTIVES PTE LTD
ITE000ETT14000057,2015-01-22,Supply and Delivery of Computer and Communication Equipment,Institute of Technical Education,21890,Awarded to Suppliers,ACE-TONE SOLUTIONS
ITE000ETT14000057,2015-01-22,Supply and Delivery of Computer and Communication Equipment,Institute of Technical Education,10050,Awarded to Suppliers,Caltron Pte. Limited
ITE000ETT14000057,2015-01-22,Supply and Delivery of Computer and Communication Equipment,Institute of Technical Education,6975,Awarded to Suppliers,PC HUB TECHNOLOGIES
