tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
IPO000ETT14000014,2015-01-02,"For the supply, delivery. installation, testing, commissioning of a fully operational search and examination workbench system with an option for maintenance.",Intellectual Property Office of Singapore,1290888.3,Awarded to Suppliers,CRIMSONLOGIC PTE LTD
IPO000ETT14000022,2015-02-11,Engagement of consultant for the development of Standard Operating Policies and Procedures,Intellectual Property Office of Singapore,0,Awarded to No Suppliers,na
IPO000ETT15000001,2015-04-06,For the minor additions and alteration renovation project at IP101 level 1 and S&E Office at level 6 and 7.,Intellectual Property Office of Singapore,136103,Awarded to Suppliers,EDZ INTERIOR CONTRACTS PTE LTD
IPO000ETT15000002,2015-03-13,For the supply of World Intellectual Property Day 2015 integrated marketing campaign,Intellectual Property Office of Singapore,232531,Awarded to Suppliers,SINGLE POINT OF CONTACT PTE. LTD.
IPO000ETT15000003,2015-03-20,For the supply of event management company for IP Week @SG 2015,Intellectual Property Office of Singapore,1263614,Awarded to Suppliers,C2 CREATIVE COMMUNICATIONS PTE. LTD.
IPO000ETT15000004,2015-10-12,"For the supply of materials and services related to Intellectual Property Education, Knowledge and Capbility Development, training and Research.",Intellectual Property Office of Singapore,93000,Awarded to Suppliers,ALLEN & GLEDHILL LLP
IPO000ETT15000004,2015-10-12,"For the supply of materials and services related to Intellectual Property Education, Knowledge and Capbility Development, training and Research.",Intellectual Property Office of Singapore,875000,Awarded to Suppliers,IP Academy
IPO000ETT15000005,2015-09-18,Invitation to Tender for Online Patent Search System with Access to Patent Data,Intellectual Property Office of Singapore,0,Awarded to No Suppliers,na
IPO000ETT15000006,2015-09-18,INVITATION TO TENDER FOR THE SUPPLY OF ONLINE NON-PATENT DATABASES,Intellectual Property Office of Singapore,0,Awarded to No Suppliers,na
IPO000ETT15000007,2015-09-18,An integrated patent analytics software with a corresponding database; and (ii) a standalone patent analytics software without database,Intellectual Property Office of Singapore,0,Awarded to No Suppliers,na
IPO000ETT15000008,2015-10-21,Provision of cleaning services for offices for 1 year with the option to renew for another 2 years (1+2),Intellectual Property Office of Singapore,221800,Awarded to Suppliers,CLEANMAGE PTE. LTD.
IPO000ETT15000009,2015-10-21,Provision of leadership development programme and facilitation of management retreat,Intellectual Property Office of Singapore,202996.68,Awarded to Suppliers,ALIGN SMA PTE. LTD.
IPO000ETT15000010,2016-03-04,For the supply of legal services for a 2 years term contract.,Intellectual Property Office of Singapore,25000,Awarded to Suppliers,ALLEN & GLEDHILL LLP
IPO000ETT15000010,2016-03-04,For the supply of legal services for a 2 years term contract.,Intellectual Property Office of Singapore,75000,Awarded to Suppliers,CENTRAL CHAMBERS LAW CORPORATION
IPO000ETT15000010,2016-03-04,For the supply of legal services for a 2 years term contract.,Intellectual Property Office of Singapore,50000,Awarded to Suppliers,DENTONS RODYK & DAVIDSON LLP
IPO000ETT15000010,2016-03-04,For the supply of legal services for a 2 years term contract.,Intellectual Property Office of Singapore,25000,Awarded to Suppliers,LEE & LEE
IPO000ETT15000010,2016-03-04,For the supply of legal services for a 2 years term contract.,Intellectual Property Office of Singapore,75000,Awarded to Suppliers,WONGPARTNERSHIP LLP
IPO000ETT15000011,2016-01-27,For the supply of World Intellectual Property Day(WIPD 2016) Publicity Campaign,Intellectual Property Office of Singapore,211637,Awarded to Suppliers,SINGLE POINT OF CONTACT PTE. LTD.
IPO000ETT15000016,2016-02-10,"Purchase of comprehensive hardware maintenance for servers, switches and firewalls over 3 years (1 firm + 2 optional)",Intellectual Property Office of Singapore,34731,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
IPO000ETT15000018,2016-03-04,Tender For the proposed refurbishment & interior fit-out works,Intellectual Property Office of Singapore,432454,Awarded to Suppliers,Aspacio Design Associates Pte Ltd
IPO000ETT16000001,2016-03-04,FOR THE SUPPLY OF EVENT MANAGEMENT SERVICES (AND OTHER GOODS AND SERVICES) FOR IP WEEK @ SG 2016,Intellectual Property Office of Singapore,1501074,Awarded to Suppliers,FREEMAN PTE. LTD.
IPO000ETT16000002,2016-03-01,ITT for the supply of social media monitoring and analytics services for 1 year with an option to renew for year 2,Intellectual Property Office of Singapore,92200,Awarded to Suppliers,ISENTIA BRANDTOLOGY PTE. LTD.
IPO000ETT16000003,2016-09-19,"INVITATION-TO-TENDER FOR THE SYSTEM DEVELOPMENT AND MAINTENANCE OF DATA WAREHOUSE, WEB APPLICATION PROGRAM INTERFACES (APIs), AND MANAGEMENT DASHBOARDS",Intellectual Property Office of Singapore,1313414.5,Awarded to Suppliers,CRIMSONLOGIC PTE LTD
IPO000ETT16000004,2016-08-08,INVITATION TO TENDER FOR RECRUITMENT AGENCY SERVICES,Intellectual Property Office of Singapore,60000,Awarded to Suppliers,AVENSYS CONSULTING PTE. LTD.
IPO000ETT16000004,2016-08-08,INVITATION TO TENDER FOR RECRUITMENT AGENCY SERVICES,Intellectual Property Office of Singapore,60000,Awarded to Suppliers,CAPITA PTE. LTD.
IPO000ETT16000004,2016-08-08,INVITATION TO TENDER FOR RECRUITMENT AGENCY SERVICES,Intellectual Property Office of Singapore,60000,Awarded to Suppliers,KELLY SERVICES (SINGAPORE) PTE. LTD.
IPO000ETT16000004,2016-08-08,INVITATION TO TENDER FOR RECRUITMENT AGENCY SERVICES,Intellectual Property Office of Singapore,60000,Awarded to Suppliers,NSEARCH GLOBAL PTE. LTD.
IPO000ETT16000004,2016-08-08,INVITATION TO TENDER FOR RECRUITMENT AGENCY SERVICES,Intellectual Property Office of Singapore,60000,Awarded to Suppliers,RMA CONSULTANTS PTE LTD
IPO000ETT16000005,2016-07-04,INVITATION TO TENDER FOR THE PROCUREMENT OF MAILING AND DESPATCH SERVICES,Intellectual Property Office of Singapore,172800,Awarded to Suppliers,PDX INTERCOMPANY EXCHANGE PTE LTD
IPO000ETT16000006,2016-09-16,INVITATION TO TENDER FOR THE SUPPLY OF EVENT MANAGEMENT SERVICES AND RELATED SERVICES FOR IPOS CORPORATE DINNER AND DANCE 2016,Intellectual Property Office of Singapore,89080,Awarded to Suppliers,THE EVENTS STATION PTE. LTD.
IPO000ETT16000007,2016-09-26,"INVITATION TO TENDER FOR THE SUPPLY OF HOSTING, MAINTENANCE AND OTHER SERVICES FOR THE ASEAN IP PORTAL",Intellectual Property Office of Singapore,250700,Awarded to Suppliers,WEBSPARKS PTE. LTD.
IPO000ETT16000008,2017-02-22,Tender inviting interested vendors to conduct customer surveys for IPOS on a 1+1+1 basis,Intellectual Property Office of Singapore,81900,Awarded to Suppliers,XPRESSWORKS PTE LTD
IPO000ETT17000001,2017-08-17,"INVITATION TO TENDER FOR THE SUPPLY OF VERTICAL GREEN WALL LANDSCAPING, RENTAL OF POTTED PLANTS AND MAINTENANCE SERVICES",Intellectual Property Office of Singapore,0,Awarded to No Suppliers,na
IPO000ETT17000002,2017-03-28,"INVITATION TO TENDER FOR THE SUPPLY OF SALARY BENCHMARKING, JOB EVALUATION AND PAY COMPONENTS FOR YEAR 1 WITH AN OPTION TO RENEW FOR YEAR 2 AND YEAR 3",Intellectual Property Office of Singapore,157200,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.
IPO000ETT17000003,2017-04-03,INVITATION TO TENDER FOR THE SUPPLY OF COMPREHENSIVE EVENT MANAGEMENT SERVICES AND OTHER GOODS AND SERVICES FOR IP WEEK @ SG,Intellectual Property Office of Singapore,4798456.95,Awarded to Suppliers,C2 CREATIVE COMMUNICATIONS PTE. LTD.
IPO000ETT17000005,2017-11-13,FOR THE SUPPLY OF ORGANISATION DEVELOPMENT (OD) CONSULTANCY SERVICES,Intellectual Property Office of Singapore,78000,Awarded to Suppliers,DELOITTE CONSULTING PTE. LTD.
IPO000ETT17000006,2017-11-20,Invitation to Tender for the supply of an online sourcing platform for recruitment,Intellectual Property Office of Singapore,99700,Awarded to Suppliers,LINKEDIN SINGAPORE PTE. LTD.
