tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
IE_000ETT14000030,2015-02-03,INVITATION TO TENDER FOR THE PROVISION OF A CALL CENTRE SOLUTION TO IE SINGAPORE FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO RENEW FOR ANOTHER TWO (2) YEARS ON AN ANNUAL BASIS,International Enterprise Singapore,152168.83,Awarded to Suppliers,COMMUNICATION SERVICES PTE. LTD.
IE_000ETT14000032,2015-03-09,TENDER FOR DEVELOPMENT AND MAINTENANCE OF POLICY,International Enterprise Singapore,0,Awarded to No Suppliers,na
IE_000ETT14000037,2015-03-02,TENDER FOR THE APPOINTMENT OF HOTEL VENUE FOR LATIN ASIA BUSINESS FORUM (LAB) 2015,International Enterprise Singapore,206423,Awarded to Suppliers,SHANGRI-LA HOTEL LIMITED
IE_000ETT15000001,2015-03-24,INVITATION TO TENDER FOR PRESENTATION SKILLS TRAINING,International Enterprise Singapore,52030,Awarded to Suppliers,ACES LEARNING HUB PTE. LTD.
IE_000ETT15000001,2015-03-24,INVITATION TO TENDER FOR PRESENTATION SKILLS TRAINING,International Enterprise Singapore,27300,Awarded to Suppliers,SHRI CORPORATION PTE. LTD.
IE_000ETT15000002,2015-03-31,TENDER FOR THE APPOINTMENT OF VENDOR FOR THE PROVISION OF THE FOLLOWING INSURANCE PLANS: (I) GROUP BUSINESS TRAVEL (GBT); (II) GROUP TERM LIFE (GTL); (III) GROUP PERSONAL ACCIDENT (GPA); AND (IV) GROUP OVERSEAS SECONDMENT MEDICAL INSURANCE FOR IE HQ OFFICERS AND LOCALLY RECRUITED STAFF POSTED TO HQ,International Enterprise Singapore,136749,Awarded to Suppliers,WILLIS TOWERS WATSON BROKERS (SINGAPORE) PTE. LTD.
IE_000ETT15000003,2015-03-31,TENDER FOR THE PROVISION OF SERVICES OF A TECHNICIAN FOR INTERNATIONAL ENTERPRISE SINGAPORE,International Enterprise Singapore,214190,Awarded to Suppliers,E M SERVICES PRIVATE LIMITED
IE_000ETT15000005,2015-05-07,TENDER FOR THE APPOINTMENT OF EVENT MANAGEMENT COMPANY FOR LATIN ASIA BUSINESS FORUM (LAB) 2015,International Enterprise Singapore,248170,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED
IE_000ETT15000006,2015-06-29,TENDER FOR THE PROVISION OF MAINTENANCE SERVICE FOR AUDIO AND VISUAL EQUIPMENT AND VIDEO CONFERENCING SYSTEM FOR INTERNATIONAL ENTERPRISE SINGAPORE,International Enterprise Singapore,165300,Awarded to Suppliers,TERRA SYSTEMS PTE. LTD.
IE_000ETT15000007,2015-08-28,INVITATION TO TENDER FOR THE APPOINTMENT OF AUDITOR FOR DECENTRALISED WAREHOUSE OPERATORS ON A ONE (1) YEAR CONTRACT WITH AN OPTION TO EXTEND FOR UP TO TWO (2) SUBSEQUENT PERIODS OF TWO (2) YEARS,International Enterprise Singapore,93625,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
IE_000ETT15000008,2015-09-15,"TENDER FOR THE MIGRATION, UPGRADE, DEVELOPMENT, INSTALLATION, TESTING AND COMMISSIONING OF A FULLY OPERATIONAL KNOWLEDGE-BASED INTRANET PORTAL FROM SHAREPOINT 2010 TO SHAREPOINT 2013 WITH THE OPTION FOR MAINTENANCE",International Enterprise Singapore,309600,Awarded to Suppliers,FPT ASIA PACIFIC PTE. LTD.
IE_000ETT15000009,2015-08-06,"INVITATION TO TENDER FOR SUPPLY, DELIVERY, SUPPORT OF SERENA BUSINESS MANAGER SOFTWARE AND LICENSES",International Enterprise Singapore,285610,Awarded to Suppliers,NCS PTE. LTD.
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,15640,Awarded to Suppliers,AUDIT ALLIANCE LLP
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,16500,Awarded to Suppliers,CA TRUST PAC
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,19400,Awarded to Suppliers,ECOVIS ASSURANCE LLP
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,15500,Awarded to Suppliers,FOO KON TAN LLP
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,14800,Awarded to Suppliers,Geetha A & Associates
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,16800,Awarded to Suppliers,JPLW FINANCIAL PAC
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,42600,Awarded to Suppliers,"KONG, LIM & PARTNERS LLP"
IE_000ETT15000010,2015-09-28,TENDER FOR THE APPOINTMENT OF PANEL OF AUDITORS FOR IE SINGAPORES PROGRAMME CLAIMS DISBURSEMENT,International Enterprise Singapore,25780,Awarded to Suppliers,WU CHIAW CHING & COMPANY
IE_000ETT15000011,2016-01-21,"TENDER FOR THE DESIGN, DEVELOPMENT, INSTALLATION, TRAINING, TESTING AND COMMISSIONING OF A BESPOKE BUSINESS RELATIONSHIP MANAGEMENT SYSTEM WITH OPTION FOR MAINTENANCE",International Enterprise Singapore,388400,Awarded to Suppliers,FPT ASIA PACIFIC PTE. LTD.
IE_000ETT15000012,2015-11-12,TENDER FOR PROVISION OF PART-TIME LEGAL OUTSOURCING SERVICES FOR INTERNATIONAL ENTERPRISE SINGAPORE,International Enterprise Singapore,282000,Awarded to Suppliers,NANYANG LAW LLC
IE_000ETT15000013,2016-01-11,TENDER FOR APPLICATION MAINTENANCE AND SUPPORT FOR CORPORATE PORTAL,International Enterprise Singapore,153540,Awarded to Suppliers,ADELPHI DIGITAL CONSULTING GROUP PTE. LTD.
IE_000ETT15000014,2016-01-07,TENDER FOR PROVISION OF IT PERSONNEL FOR APPLICATION MAINTENANCE AND SUPPORT SERVICES,International Enterprise Singapore,2501119,Awarded to Suppliers,XCHANGING SOLUTIONS (SINGAPORE) PTE. LIMITED
IE_000ETT15000015,2016-03-24,INVITATION TO TENDER FOR THE ADMINISTRATION OF 360 DEGREE ASSESSMENT TOOL,International Enterprise Singapore,253530,Awarded to Suppliers,CENTER FOR CREATIVE LEADERSHIP
IE_000ETT15000016,2016-02-25,TENDER FOR THE APPOINTMENT OF EVENT MANAGEMENT COMPANY FOR GLOBAL TRADER DIALOGUE (GTD) & NETWORKING 2016,International Enterprise Singapore,167249.6,Awarded to Suppliers,THE AUDIENCE MOTIVATION COMPANY ASIA PTE LTD
IE_000ETT16000001,2016-05-17,Tender for IAdvisory workshop. Export Strategy Workshop to build the export capabilities of SMEs in Singapore.,International Enterprise Singapore,92000,Awarded to Suppliers,ORISSA INTERNATIONAL PTE. LTD.
IE_000ETT16000002,2016-04-06,TENDER FOR THE APPOINTMENT OF MEDIA AGENCY FOR INTERNATIONAL ENTERPRISE SINGAPORE,International Enterprise Singapore,125000,Awarded to Suppliers,HAVAS MEDIA ASIA PACIFIC PTE. LTD.
IE_000ETT16000003,2016-05-26,TENDER FOR APPOINTMENT OF CORPORATE PORTAL CONTENT MAINTENANCE AGENCY FOR INTERNATIONAL ENTERPRISE SINGAPORE,International Enterprise Singapore,0,Awarded to No Suppliers,na
IE_000ETT16000004,2016-05-17,ITT FOR THE DESIGN AND DELIVERY OF EMPOWERED LEADERSHIP PROGRAMME FOR IE MANAGERS AND SENIOR MANAGERS (INDIVIDUAL CONTRIBUTORS),International Enterprise Singapore,107950,Awarded to Suppliers,AON HEWITT SINGAPORE PTE. LTD.
IE_000ETT16000005,2016-04-27,REQUEST FOR PROPOSAL TO DEVELOP A TRANSPORT AND LOGISTICS MASTERPLAN FOR THE CHINA-SINGAPORE (CHONGQING) DEMONSTRATION INITATIVE ON STRATEGIC CONNECTIVITY,International Enterprise Singapore,1200000,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.
IE_000ETT16000006,2016-05-31,TENDER FOR THE APPOINTMENT OF EVENT MANAGEMENT COMPANY FOR AFRICA SINGAPORE BUSINESS FORUM (ASBF) 2016,International Enterprise Singapore,284188,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED
IE_000ETT16000007,2016-05-24,TENDER FOR THE LEGAL RETAINER SERVICES FOR INTERNATIONAL ENTERPRISE SINGAPORE,International Enterprise Singapore,162285,Awarded to Suppliers,WONGPARTNERSHIP LLP
IE_000ETT16000008,2016-10-11,TENDER FOR THE APPOINTMENT OF EVENT MANAGEMENT COMPANY FOR RUSSIA-SINGAPORE BUSINESS FORUM 2016,International Enterprise Singapore,301373,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED
IE_000ETT16000009,2016-10-20,"TENDER FOR PROVISION OF ON-SITE PAYROLL, EMPLOYEE BENEFITS CLAIMS AND OTHER HR SERVICES",International Enterprise Singapore,419680,Awarded to Suppliers,BLUE LAKE CONSULTANCY SERVICES
IE_000ETT16000010,2016-07-28,Tender for Provision of IT Disaster Recovery Services,International Enterprise Singapore,879776.64,Awarded to Suppliers,NCS PTE. LTD.
