tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
JUDSUBETT14000016,2015-02-05,INVITATION TO TENDER FOR THE SUPPLY AND INSTALLATION OF AIR CONDITIONING UNITS IN STATE COURTS,Judiciary-State Courts,528888,Awarded to Suppliers,KIM HUAT REFRIGERATION AND ELECTRICAL PTE LTD
JUDSUBETT14000018,2015-01-29,Invitation To Tender for Fitting-Out Office at the State Courts,Judiciary-State Courts,687280.6,Awarded to Suppliers,INVOGUE BIZ PTE. LTD.
JUDSUBETT15000002,2015-07-24,Invitation To Tender for the provision of hardware maintenance services and software support services for consolidated IT system,Judiciary-State Courts,1433646.92,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
JUDSUBETT15000003,2015-06-12,Application Maintenance and Support Services for Small Claims Tribunals System 2 (SCT2),Judiciary-State Courts,403132.39,Awarded to Suppliers,NCS PTE. LTD.
JUDSUBETT15000005,2015-09-04,"Provision of conference venue for an international conference on 27th, 28th and 29th January 2016 with the option to extend for one day.",Judiciary-State Courts,141200,Awarded to Suppliers,PRECIOUS TREASURE PTE LTD
JUDSUBETT15000018,2016-02-18,"PROPOSED NEW ERECTION OF STATE COURTS BUILDING WITH 3 BASEMENT LEVELS AT 1, HAVELOCK SQUARE",Judiciary-State Courts,450910504,Awarded to Suppliers,SAMSUNG C&T CORPORATION
JUDSUBETT15000024,2015-10-09,INVITATION TO TENDER FOR FITTING-OUT HEARING CHAMBERS AT THE STATE COURTS,Judiciary-State Courts,418918,Awarded to Suppliers,INVOGUE BIZ PTE. LTD.
JUDSUBETT15000025,2016-08-05,"NOMINATED SUB-CONTRACT FOR THE SUPPLY AND INSTALLATION OF AIR CONDITIONING & MECHANICAL VENTILATION SYSTEM, BUILDING MANAGEMENT SYSTEM AND ENGINEERED SMOKE CONTROL SYSTEM FOR THE PROPOSED NEW ERECTION OF THE STATE COURTS BUILDING WITH 3 BASEMENT LEVELS AT 1, HAVELOCK SQUARE",Judiciary-State Courts,29200000,Awarded to Suppliers,POWEN ENGINEERING PTE. LTD.
JUDSUBETT15000028,2016-02-22,"Provision of corporate jackets, judicial robes and vests for the State Courts for the period of two years, with the option to extend for one year",Judiciary-State Courts,79284,Awarded to Suppliers,SWEETS CORPORATE UNIFORMS
JUDSUBETT15000031,2016-05-05,"ITT FOR DEVELOPMENT, SUPPLY, DELIVERY, DESIGN, INSTALLATION, TESTING AND COMMISSIONING OF A COMMUNITY JUSTICE AND TRIBUNALS SYSTEM FOR STATE COURTS WITH AN OPTION FOR MAINTENANCE AND PROFESSIONAL SERVICES",Judiciary-State Courts,2811361,Awarded to Suppliers,XCHANGING SOLUTIONS (SINGAPORE) PTE. LIMITED
JUDSUBETT15000032,2016-03-11,PROVISION OF SECURITY GUARD SERVICES (ARMED AND UNARMED) AT THE STATE COURTS FOR A PERIOD OF 3 YEARS (1 APR 2016 to 31 MAR 2019) AND THE OPTION OF A 2-YEAR EXTENSION,Judiciary-State Courts,8178516,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.
JUDSUBETT16000003,2016-11-15,"NOMINATED SUB-CONTRACT FOR ELECTRICAL SYSTEMS FOR THE PROPOSED NEW ERECTION OF THE STATE COURTS BUILDING WITH 3 BASEMENT LEVELS AT 1, HAVELOCK SQUARE",Judiciary-State Courts,26928000,Awarded to Suppliers,NGEE CHENG ELECTRIC COMPANY (PRIVATE) LIMITED
JUDSUBETT16000004,2016-07-27,"INTEGRATED TERM CONTRACT FOR MAINTENANCE OF MECHANICAL, ELECTRICAL SYSTEMS AND BUILDING WORKS FOR STATE COURTS BUILDINGS FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND UP TO TWELVE (12) MONTHS",Judiciary-State Courts,6468000,Awarded to Suppliers,ENGIE SERVICES SINGAPORE PTE. LTD.
JUDSUBETT16000005,2016-07-05,INVITATION TO TENDER FOR PROVISION OF COMPREHENSIVE MAINTENANCE AND SERVICING OF SECURITY SYSTEMS AT THE STATE COURTS FOR A PERIOD OF 3 YEARS (15 JUL 2016 to 14 JUL 2019) AND AN OPTION OF A 2-YEAR EXTENSION,Judiciary-State Courts,544313,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.
JUDSUBETT16000006,2016-11-16,"NOMINATED SUB-CONTRACT FOR DESIGN, SUPPLY AND INSTALLATION OF INTEGRATED SECURITY SYSTEM FOR THE PROPOSED NEW ERECTION OF THE STATE COURTS BUILDING WITH 3 BASEMENT LEVELS AT 1, HAVELOCK SQUARE",Judiciary-State Courts,12145192,Awarded to Suppliers,SINGAPORE TECHNOLOGIES ELECTRONICS LIMITED
JUDSUBETT16000007,2016-10-28,INVITATION TO TENDER FOR THE PROVISION OF MAINTENANCE SERVICES FOR AUDIO VISUAL AND VIDEO CONFERENCING EQUIPMENT,Judiciary-State Courts,422883,Awarded to Suppliers,NETE2 ASIA PTE LTD
JUDSUBETT16000010,2016-12-09,ITT FOR THE SUPPLY AND INSTALLATION OF PLUG AND PLAY ELECTRIC AIR CIRCUIT BREAKER IN STATE COURTS,Judiciary-State Courts,107250,Awarded to Suppliers,Schneider Electric Singapore Pte Ltd
JUDSUBETT16000011,2016-12-22,ITT for the provision for the management and operation of the state courts library for a period of 2 years (1 Apr 2017 to 31 Mar 2019) and the option of a yearly extension until 31 Mar 2021,Judiciary-State Courts,945120,Awarded to Suppliers,PEOPLE ADVANTAGE PTE. LTD.
JUDSUBETT16000013,2017-03-22,ITT for the supply and installation of linear led lighting fixtures in state courts,Judiciary-State Courts,159506,Awarded to Suppliers,SEAMLESS LINK PTE. LTD.
