tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
JUDSUPETT14000009,2015-02-25,TENDER FOR THE PROVISION OF COMPREHENSIVE MAINTENANCE (PREVENTIVE AND CORRECTIVE) SERVICES OF THE SUPREME COURTS THE LEARNING COURT FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND THE SERVICES FOR A FURTHER PERIOD OF ONE (1) YEAR,Judiciary-Supreme Court,46101,Awarded to Suppliers,Pico Art International Pte Ltd
JUDSUPETT14000012,2015-01-13,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF A FULLY OPERATIONAL AUDIO VISUAL SYSTEM SUPPORTING DIGITAL TRANSCRIPTION SYSTEM WITH AN OPTION FOR MAINTENANCE.",Judiciary-Supreme Court,1995964,Awarded to Suppliers,ELECTRO-ACOUSTICS SYSTEMS PTE LTD
JUDSUPETT15000001,2015-04-09,"INVITATION TO TENDER FOR INTERIOR DESIGN, PLANNING AND PROJECT MANAGEMENT SERVICES TO SET-UP NEW OFFICE FOR FAMILY JUSTICE COURTS",Judiciary-Supreme Court,118000,Awarded to Suppliers,Aspacio Design Associates Pte Ltd
JUDSUPETT15000002,2015-05-29,INVITATION TO TENDER FOR CONSULTANCY SERVICES FOR THE ADDITION & ALTERATION WORKS AT BASEMENT 4 CARPARK IN THE SUPREME COURT BUILDING,Judiciary-Supreme Court,118000,Awarded to Suppliers,Aspacio Design Associates Pte Ltd
JUDSUPETT15000003,2015-07-08,TENDER FOR SECURITY EHANCEMENT WORKS (ELECTRONICS SECURITY SYSTEMS) TO SUPREME COURT BUILDING,Judiciary-Supreme Court,6840830,Awarded to Suppliers,STANLEY SECURITY SINGAPORE PTE. LTD.
JUDSUPETT15000005,2015-06-04,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR MASS CALL 2015 AND THE OPENING OF THE LEGAL YEAR 2016,Judiciary-Supreme Court,400591.31,Awarded to Suppliers,EUREKA! CAMPAIGN ASSOCIATES PTE. LTD.
JUDSUPETT15000006,2015-07-14,"INVITATION TO TENDER FOR INTERIOR FITTING OUT WORKS TO OFFICE & CHAMBER OF FAMILY JUSTICE COURTS AT 5 MAXWELL ROAD, MND COMPLEX, TOWER BLOCK #04-00 & #05-00 SINGAPORE 069110",Judiciary-Supreme Court,1931163,Awarded to Suppliers,E.ID PROJECTS PTE. LTD.
JUDSUPETT15000007,2015-10-09,Supply and Installation of Aircon,Judiciary-Supreme Court,1583313,Awarded to Suppliers,GDS ENGINEERING PTE LTD
JUDSUPETT15000008,2016-03-03,"INVITATION TO TENDER FOR CONSULTANCY AND PROJECT MANAGEMENT SERVICES FOR THE RESEARCH, PLANNING, DESIGN AND IMPLEMENTATION OF THE JUDICIARY HERITAGE MUSEUM IN THE SUPREME COURT BUILDING",Judiciary-Supreme Court,150000,Awarded to Suppliers,ONG & ONG PTE. LTD.
JUDSUPETT15000009,2015-12-12,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL VIDEO CONFERENCE AND AUDIO VISUAL SYSTEM WITH AN OPTION FOR MAINTENANCE",Judiciary-Supreme Court,2030971,Awarded to Suppliers,ELECTRO-ACOUSTICS SYSTEMS PTE LTD
JUDSUPETT15000012,2016-03-04,"INVITATION TO TENDER FOR THE DESIGN, DEVELOPMENT, TESTING, COMMISSIONING, IMPLEMENTATION, TRAINING, CHANGE MANAGEMENT AND WARRANTY OF A FULLY OPERATIONAL NEW FAMILY APPLICATION MANAGEMENT SYSTEM (FAMS2) FOR FAMILY JUSTICE COURTS WITH AN OPTION FOR EXTENDED DEVELOPMENT",Judiciary-Supreme Court,27379139,Awarded to Suppliers,ECQUARIA TECHNOLOGIES PTE LTD
JUDSUPETT15000013,2015-12-23,ITT FOR THE PROVISION OF IT DISASTER RECOVERY SERVICES FOR THE SUPREME COURT OF SINGAPORE,Judiciary-Supreme Court,115099.4,Awarded to Suppliers,NCS PTE. LTD.
JUDSUPETT15000014,2016-03-07,INVITATION TO TENDER FOR THE CONVERSION OF CARPARK SPACE AT BASEMENT 4 OF THE SUPREME COURT BUILDING INTO ADDITIONAL ARCHIVE FACILITIES,Judiciary-Supreme Court,1378839,Awarded to Suppliers,SENTOSA BUILDING CONSTRUCTION PTE. LTD.
JUDSUPETT15000015,2016-02-26,FOR THE PROVISION OF AUXILIARY POLICE OFFICERS AND SECURITY OFFICERS AT THE FAMILY JUSTICE COURTS OF SINGAPORE FOR A PERIOD OF 15 MONTHS WITH AN OPTION TO THE GOVERNMENT TO EXTEND THE CONTRACT FOR ANOTHER 12 MONTHS,Judiciary-Supreme Court,989475,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.
JUDSUPETT16000001,2016-04-01,INVITATION TO TENDER FOR COUNSULTANCY SERVICES TO CONDUCT JOB EVALUATION EXERCISE FOR FAMILY JUSTICE COURTS,Judiciary-Supreme Court,125000,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.
JUDSUPETT16000002,2016-06-20,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR MASS CALL 2016 AND THE OPENING OF THE LEGAL YEAR 2017,Judiciary-Supreme Court,265136.95,Awarded to Suppliers,ANTHOLOGY PTE. LTD.
JUDSUPETT16000004,2016-07-11,FOR THE PROVISION OF COMPREHENSIVE MAINTENANCE AND SERVICING OF SECURITY SYSTEMS AT THE PREMISES OF THE FAMILY JUSTICE COURTS OF SINGAPORE FOR A PERIOD OF 3 YEARS WITH AN OPTION TO EXTEND THE CONTRACT FOR ANOTHER 2 YEARS,Judiciary-Supreme Court,258310,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.
