tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
JTC000ETT14000048,2015-03-24,Request for Proposal to Develop the Use of Sedimentary Rocks for Concrete Production,Jurong Town Corporation,176000,Awarded to Suppliers,NSL Chemicals Ltd
JTC000ETT14000048,2015-03-24,Request for Proposal to Develop the Use of Sedimentary Rocks for Concrete Production,Jurong Town Corporation,390000,Awarded to Suppliers,SAMWOH CORPORATION PTE. LTD.
JTC000ETT14000078,2015-04-13,JTC-Spring Joint Grant Call for Test-Bed of Sustainable Solutions in JTC's Developments,Jurong Town Corporation,1,Awarded to Suppliers,ECOSOFTT PTE. LTD.
JTC000ETT14000078,2015-04-13,JTC-Spring Joint Grant Call for Test-Bed of Sustainable Solutions in JTC's Developments,Jurong Town Corporation,1,Awarded to Suppliers,HVS Engineering Pte Ltd
JTC000ETT14000078,2015-04-13,JTC-Spring Joint Grant Call for Test-Bed of Sustainable Solutions in JTC's Developments,Jurong Town Corporation,1,Awarded to Suppliers,OMEGA SOLAR PTE. LTD.
JTC000ETT14000078,2015-04-13,JTC-Spring Joint Grant Call for Test-Bed of Sustainable Solutions in JTC's Developments,Jurong Town Corporation,1,Awarded to Suppliers,SUN ELECTRIC PTE. LTD.
JTC000ETT14000078,2015-04-13,JTC-Spring Joint Grant Call for Test-Bed of Sustainable Solutions in JTC's Developments,Jurong Town Corporation,1,Awarded to Suppliers,TRANSKINECT PRIVATE LIMITED
JTC000ETT14000078,2015-04-13,JTC-Spring Joint Grant Call for Test-Bed of Sustainable Solutions in JTC's Developments,Jurong Town Corporation,1,Awarded to Suppliers,VTRIUM ENERGY PTE. LTD.
JTC000ETT14000100,2015-01-16,Appointment of Facilities Management Company for Facilities Maintenance to Biopolis 1 @ one-north for a Period of 3 Years,Jurong Town Corporation,23686895.66,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.
JTC000ETT14000125,2015-01-14,Reclamation & Soil Improvement Works at Tuas View Extension - Area A2,Jurong Town Corporation,52725325.6,Awarded to Suppliers,YENG TONG CONSTRUCTION PTE LTD
JTC000ETT14000131,2015-05-08,2 Years Term Contract for the Management of Distant Sand Related Operations for JTC's Projects,Jurong Town Corporation,0,Awarded to No Suppliers,na
JTC000ETT14000166,2015-05-22,"3-Year Term Contract for Integrated Security Management Services at Fusionopolis 1, Fusionopolis 2A, Multi-Utility Hub and Pixel @ one-north",Jurong Town Corporation,7054850,Awarded to Suppliers,PICO GUARDS PTE LTD
JTC000ETT14000170,2015-01-20,Provision of IT Security Consulting Services,Jurong Town Corporation,55490,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
JTC000ETT14000172,2015-01-07,Proposed Piling Works for JTC Space @ Tuas,Jurong Town Corporation,12998588,Awarded to Suppliers,P-ONE (S) PTE. LTD.
JTC000ETT14000173,2015-01-27,Proposed Jurong Island Checkpoint Expansion (PDL),Jurong Town Corporation,21452976,Awarded to Suppliers,JS METAL PTE. LTD.
JTC000ETT14000181,2015-03-03,Proposed Sewer Connection and Grouting of Abandoned Pipes at Tuas South Avenue 2 and Tuas South Avenue 5,Jurong Town Corporation,1281800,Awarded to Suppliers,Hock Hai Civil Engineering & Building Pte Ltd
JTC000ETT14000182,2015-01-13,1-Year Term Contract for Provision of Electrical Engineer For JTC Projects,Jurong Town Corporation,9538.55,Awarded to Suppliers,NSEARCH GLOBAL PTE. LTD.
JTC000ETT14000183,2015-01-15,"Proposed Construction of Roads, Drains and Sewers At Tampines North",Jurong Town Corporation,9889100,Awarded to Suppliers,JIN CHOON CIVIL ENGINEERING PTE. LTD.
JTC000ETT14000184,2015-04-17,Proposed Design and Build of 4-Storey Multi-Tenanted Cleanroom (MTC) Facilities with Micro-Vibration Requirement at Tampines High Tech Park at Tampines Industrial Crescent,Jurong Town Corporation,49500000,Awarded to Suppliers,KIENTA ENGINEERING CONSTRUCTION PTE. LTD.
