tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
LTA000ETT13000291,2015-01-29,Walk2Ride Programme,Land Transport Authority,82963500,Awarded to Suppliers,OR KIM PEOW CONTRACTORS (PRIVATE) LIMITED
LTA000ETT13000295,2015-01-29,Walk2Ride Programme,Land Transport Authority,60963500,Awarded to Suppliers,OR KIM PEOW CONTRACTORS (PRIVATE) LIMITED
LTA000ETT13000313,2015-01-27,Proposed Lift Shafts to Existing Pedestrian Overhead Bridges,Land Transport Authority,21926000,Awarded to Suppliers,TAI YONG CONSTRUCTION PTE. LTD.
LTA000ETT14000011,2015-03-03,Supply and Installation of Mechanical Services for Mandai Depot,Land Transport Authority,29644800,Awarded to Suppliers,GAMMON PTE. LIMITED
LTA000ETT14000061,2015-05-05,Proposed Enhancement to Existing Commuter Infrastructure,Land Transport Authority,4500000,Awarded to Suppliers,CCECC SINGAPORE PTE LTD
LTA000ETT14000079,2015-04-27,Reinstatement Works for North South Expressway,Land Transport Authority,38810000,Awarded to Suppliers,CHC CONSTRUCTION PTE. LTD.
LTA000ETT14000087,2015-01-23,Design and Construction of Stabling Yard at Gali Batu Depot,Land Transport Authority,137380000,Awarded to Suppliers,HOCK LIAN SENG INFRASTRUCTURE PTE. LTD.
LTA000ETT14000110,2015-03-18,Junction Enhancements at Bukit Batok Road between PIE and Bukit Batok West Avenue 3,Land Transport Authority,14333700,Awarded to Suppliers,CHEE YAM CONTRACTOR PTE. LTD.
LTA000ETT14000115,2015-05-12,Design and Construction of Cycling Path Network in Bedok,Land Transport Authority,9627000,Awarded to Suppliers,HCJ CONSTRUCTION PTE. LTD.
LTA000ETT14000118,2015-02-23,Design and Construction of Cycling Path Network in Punggol,Land Transport Authority,2950000,Awarded to Suppliers,HCJ CONSTRUCTION PTE. LTD.
LTA000ETT14000151,2015-05-12,Design and Construction of Cycling Path Network in Jurong Lake,Land Transport Authority,9758000,Awarded to Suppliers,HCJ CONSTRUCTION PTE. LTD.
LTA000ETT14000159,2015-01-16,Wheel Impact Load Detection (WILD) System For Downtown Line,Land Transport Authority,0,Awarded to No Suppliers,na
LTA000ETT14000163,2015-01-14,Implementation of Noise Barriers at Rail Viaduct,Land Transport Authority,17086070,Awarded to Suppliers,C K T THOMAS PRIVATE LIMITED
LTA000ETT14000170,2015-03-02,Construction of Linkways to DTL2 Stations,Land Transport Authority,37100000,Awarded to Suppliers,KTC CIVIL ENGINEERING & CONSTRUCTION PTE LTD
LTA000ETT14000171,2015-04-30,Supply and Installation of Electrical Services for Mandai Depot,Land Transport Authority,41620000,Awarded to Suppliers,GAMMON PTE. LIMITED
LTA000ETT14000172,2015-05-11,"Addition & Alteration Works on Communications, Control and Station Travel Information Systems to Existing Stations that Interchange with Thomson Line",Land Transport Authority,27995000,Awarded to Suppliers,Siemens Pte Ltd
LTA000ETT14000174,2015-02-13,"Design, Supply and Installation of Photovoltaic System",Land Transport Authority,3670992,Awarded to Suppliers,PHOENIX SOLAR PTE. LTD.
LTA000ETT14000176,2015-03-02,Upgrading of Vehicular Bridge at Woodlands Centre Road,Land Transport Authority,5257900,Awarded to Suppliers,CHAN & CHAN ENGINEERING PTE. LTD.
LTA000ETT14000178,2015-06-22,Expansion of KPE/TPE Interchange including Link Road to Punggol Central,Land Transport Authority,189339600,Awarded to Suppliers,HWA SENG BUILDER PTE LTD
LTA000ETT14000179,2015-04-08,Trackwork For Gali Batu Depot,Land Transport Authority,16962000,Awarded to Suppliers,CTCI Coporation / CTCI Singapore Pte Ltd Consortium
LTA000ETT14000183,2015-01-06,Consultancy Service for Overhead Catenary System,Land Transport Authority,373000,Awarded to Suppliers,EGIS RAIL PTE. LTD.
LTA000ETT14000186,2015-06-15,Consultancy Services for Bus Depots,Land Transport Authority,6886689,Awarded to Suppliers,WSP CONSULTANCY PTE. LTD.
LTA000ETT14000188,2015-07-20,Design and Build of Enhancement to Existing MRT/LRT Stations and Associated Commuter Facilities,Land Transport Authority,8656000,Awarded to Suppliers,TAI YONG CONSTRUCTION PTE. LTD.
LTA000ETT14000189,2015-04-13,Widening of Loyang Avenue between Pasir Ris Drive 3 and Tampines Expressway,Land Transport Authority,5680000,Awarded to Suppliers,JIN CHOON CIVIL ENGINEERING PTE. LTD.
LTA000ETT14000191,2015-06-23,Proposed Infrastructure Under Existing Vehicular Bridge,Land Transport Authority,2000000,Awarded to Suppliers,JEI FONG ENGINEERING PTE. LTD.
LTA000ETT14000193,2015-02-12,Temporary Road at Punggol,Land Transport Authority,13372000,Awarded to Suppliers,Hwa Seng Builder Pte Ltd / JYC Consultancy Pte Ltd
LTA000ETT14000199,2015-01-29,"Supply, Installation, Testing and Commissioning of Cables and Associated Equipment for Bus Ticketing Equipment",Land Transport Authority,954625.59,Awarded to Suppliers,SMRT AUTOMOTIVE SERVICES PTE. LTD.
LTA000ETT14000202,2015-04-06,Implementation of Support Enhancement Measures for Tunnel Equipment and Fixtures in Rail Tunnels,Land Transport Authority,4485335.9,Awarded to Suppliers,AGITECH INNOVATIONS PRIVATE LIMITED
LTA000ETT14000203,2015-04-20,Widening of Simei Street 3 (Part) and Other Road Works,Land Transport Authority,1961240,Awarded to Suppliers,ECK Shen Construction & Trading Pte Ltd
LTA000ETT14000205,2015-01-12,"Supply, Installation and Monitoring of Instruments for Contract ER382",Land Transport Authority,1488160,Awarded to Suppliers,GEOAPPLICATION ENGINEERS PTE. LTD.
LTA000ETT14000206,2015-03-05,5-Year Contract for the Maintenance and Installation of Traffic Signal System,Land Transport Authority,39585805.79,Awarded to Suppliers,ATS TRAFFIC PTE LTD
LTA000ETT14000206,2015-03-05,5-Year Contract for the Maintenance and Installation of Traffic Signal System,Land Transport Authority,34647053.56,Awarded to Suppliers,ENG HUP ENGINEERING PTE LTD
LTA000ETT14000207,2015-08-12,Provision of Bus Depot Equipment,Land Transport Authority,6180108,Awarded to Suppliers,KTC CIVIL ENGINEERING & CONSTRUCTION PTE LTD
LTA000ETT14000209,2015-03-20,Application-Specific Integrated Circuit (ASIC) for Intelligent Transport System Applications,Land Transport Authority,12431700,Awarded to Suppliers,XILINX SALES INTERNATIONAL PTE. LTD.
LTA000ETT14000210,2015-05-07,Bus Contracting - Bulim Bus Package,Land Transport Authority,125564769,Awarded to Suppliers,TOWER TRANSIT GROUP LIMITED
LTA000ETT14000211,2015-01-16,Additions and Alteration Works to an Existing MRT Station,Land Transport Authority,1684800,Awarded to Suppliers,YUAN MEI CHEN (S) PTE. LTD.
LTA000ETT14000213,2015-01-08,Provision of Electrical and Mechanical Systems to an Existing MRT Station,Land Transport Authority,607126,Awarded to Suppliers,SINGAPORE TECHNOLOGIES ELECTRONICS LIMITED
LTA000ETT14000215,2015-06-10,Supply and Installation of Tunnel Ventilation and Environmental Control Systems for Thomson Line Stage 1 and 2,Land Transport Authority,59996295,Awarded to Suppliers,VOLTAS LIMITED
LTA000ETT14000216,2015-05-05,Roadworks at Choa Chu Kang Avenue 4 between Choa Chu Kang Loop and Choa Chu Kang Drive,Land Transport Authority,1670000,Awarded to Suppliers,PENG CHUAN ENGINEERING CONSTRUCTION PTE. LTD.
LTA000ETT14000217,2015-04-27,Design and Construction of Canberra Station,Land Transport Authority,96443500,Awarded to Suppliers,China State Construction Engineering Corporation Limited (Singapore Branch) / Surbana International Consultants Pte Ltd
LTA000ETT14000218,2015-01-12,"Minor Works at Circle Line Stations, Tunnels and Depot",Land Transport Authority,150510,Awarded to Suppliers,RN & ASSOCIATES PTE LTD
LTA000ETT14000219,2015-06-10,"Widening of Woodlands Road, Choa Chu Kang Link and Stagmont Ring",Land Transport Authority,46860000,Awarded to Suppliers,HWA SENG BUILDER PTE LTD
LTA000ETT14000221,2015-02-06,Regular Inspection of Road Structures in Central Sector,Land Transport Authority,808500,Awarded to Suppliers,ANG & ONG CONSULTANTS PTE. LTD.
LTA000ETT14000222,2015-02-06,Regular Inspection of Road Structures in West Sector,Land Transport Authority,771000,Awarded to Suppliers,CMP CONSULTANTS PRIVATE LIMITED
LTA000ETT14000223,2015-02-06,Regular Inspection of Road Structures in East Sector,Land Transport Authority,596760,Awarded to Suppliers,Novaars International Pte Ltd
LTA000ETT14000224,2015-02-06,Regular Inspection of Road Structures along Expressways,Land Transport Authority,1182466,Awarded to Suppliers,ALLIANCE CONSULTING ENGINEERS PTE. LTD.
LTA000ETT14000225,2015-04-20,Road and Civil Works at Various Locations,Land Transport Authority,4900000,Awarded to Suppliers,AVENUE ENGINEERING PTE. LTD.
LTA000ETT14000226,2015-02-17,Appointment of QP(Supervision) for Contract ER436 Proposed Lift Shafts to Existing Pedestrian Overhead Bridges,Land Transport Authority,674000,Awarded to Suppliers,Novaars International Pte Ltd
