tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
MUI000ETT14000024,2015-01-20,Proposed Additions & Alteration Works To Existing Al Khair Mosque On Lot 01959N MK 11 At 1 Teck Whye Crescent For MUIS,Majlis Ugama Islam Singapura,3488272,Awarded to Suppliers,Exclusive Design Construction Pte Ltd
MUI000ETT14000027,2015-01-06,Nominated Sub-Contract for the Supply of Architectural & External Lighting for the Proposed Erection of a 4-Storey Mosque with Basement Carpark and Roof Terraces at Punggol New Town,Majlis Ugama Islam Singapura,114459.67,Awarded to Suppliers,KOIZUMI LIGHTING SINGAPORE PTE. LTD.
MUI000ETT14000037,2015-02-23,Proposed Additions and Alteration Works to Existing Salim Mattar Mosque on Lot 96087A MK 24 at 1 Mattar Road for MUIS,Majlis Ugama Islam Singapura,927717.97,Awarded to Suppliers,MIE-TECH ENGINEERING & CONSTRUCTION PTE LTD
MUI000ETT14000040,2015-02-11,Nominated for Sub-Contract for Interior Design & Fitting Works for the Proposed 4-Storey Mosque with a Basement Carpark and Roof Terraces at Punggol New Town (Al-Islah Mosque),Majlis Ugama Islam Singapura,327312.97,Awarded to Suppliers,Rita Metal & Wooden Furniture Construction Pte Ltd
MUI000ETT14000042,2015-03-12,"Nominated Sub-Contract for Design, Supply, Delivery, Installation, Testing and Commissioning of Audio Visual Equipment for the Proposed Erection of a 4-Storey Mosque with Basement Carpark and Roof Terraces at Punggol New Town",Majlis Ugama Islam Singapura,423836,Awarded to Suppliers,ELECTRONICS & ENGINEERING (PTE) LIMITED
MUI000ETT14000044,2015-09-25,Proposed Erection of a 4-Storey Mosque with Basement Carpark on LOT 06064K MK13 at Woodlands Drive 17,Majlis Ugama Islam Singapura,16670000,Awarded to Suppliers,Ken-Pal (S) Pte Ltd
MUI000ETT14000045,2015-05-27,"1-MCS Phase 1 is envisioned to be a platform that shall provide a suite of common business processes and data services to support all MUIS customer-related services to achieve maximum ICT investment through optimisation of resources; and minimum time and cost to build new applications and services. The project aims to facilitate Whole-of-MUIS (WOM) integration, achieving a more customer-centric delivery of services.",Majlis Ugama Islam Singapura,0,Awarded to No Suppliers,na
MUI000ETT14000046,2015-06-26,INVITATION TO TENDER FOR PRODUCTION OF INFO-ED TELEVISION SERIES AND COMMERCIALS FOR AIRING ON MEDIACORP SURIA AND OTHER SUITABLE PLATFORMS,Majlis Ugama Islam Singapura,135500,Awarded to Suppliers,ScreenBox Pte Ltd
MUI000ETT14000047,2015-09-28,"Invitation to Tender for the Provision of Architectural Consultancy Services for the Proposed Addition and Alteration Works, including the New Erection of an Annex Block to the Existing Masjid Angullia at 265 Serangoon Road",Majlis Ugama Islam Singapura,198000,Awarded to Suppliers,VIVATA PTE. LTD.
MUI000ETT14000048,2015-05-13,Invitation To Tender For Proposed Temporary Sheltered Mosque with Container Office on Lots 1215N and 1261A TS 23 at Palmer Road (Downtown Core Planning Area),Majlis Ugama Islam Singapura,355000,Awarded to Suppliers,TOPZONE E&C PTE. LTD.
MUI000ETT15000001,2015-03-23,"Invitation to Tender (ITT) for the Provision of Project Management Consultancy Services for the Proposed Addition and Alteration Works, including the New Erection of an Annex Block to the Existing Masjid Angullia at 265 Serangoon",Majlis Ugama Islam Singapura,79900,Awarded to Suppliers,INTERCONSULTANTS PTE LTD
MUI000ETT15000002,2015-02-26,INVITATION TO TENDER FOR THE PROVISION OF SAP BUSINESS ONE (SBO) APPLICATION MAINTENANCE AND SUPPORT SERVICES FOR MAJLIS UGAMA ISLAM SINGAPURA (MUIS),Majlis Ugama Islam Singapura,179700,Awarded to Suppliers,AFON PTE. LTD.
MUI000ETT15000003,2015-09-18,"INVITATION TO TENDER FOR PROPOSED ADDITION & ALTERATION WORKS TO THE EXISTING MUHAMMAD SALLEH MOSQUE ON LOTS 838X, 840N, 839L & STATE LAND LOTS 823N, 1209T PT, 594M PT, 837N PT & 1225P PT TS 23 AT NO. 37 PALMER ROAD",Majlis Ugama Islam Singapura,1202303,Awarded to Suppliers,SINGBUILD PTE. LTD.
MUI000ETT15000004,2015-09-23,Invitation To Tender for Main Building Works for Proposed Additions & Alteration Works To Existing Al Muttaqin Mosque at 4150 Ang Mo Kio Ave 6 for MUIS,Majlis Ugama Islam Singapura,2862075.03,Awarded to Suppliers,MIE-TECH ENGINEERING & CONSTRUCTION PTE LTD
MUI000ETT15000005,2015-05-29,INVITATION TO TENDER FOR THE APPOINTMENT OF MUIS APPROVED KORBAN VENDOR IN RELATION TO THE SALE OF SHEEP/ GOATS FOR SLAUGHTER FOR THE PERFORMANCE OF KORBAN RITUAL ON EID-UL-ADHA IN SINGAPORE FOR A PERIOD OF ONE (1) YEAR.,Majlis Ugama Islam Singapura,1564440,Awarded to Suppliers,MINI ENVIRONMENT SERVICE PTE LTD
MUI000ETT15000009,2015-06-15,ITT for Security Guard Services for Islamic Religious Council of Singapore Managed Properties for a Period of One Year with an Option to extend for another one year,Majlis Ugama Islam Singapura,118800,Awarded to Suppliers,FRONTLINE SECURITY PTE. LTD.
MUI000ETT15000010,2015-06-15,"ITT for provision of security services for Singapore Islamic Hub at 273,275,277 Braddell Road for a period of 24 months with an option to extend for 12 months",Majlis Ugama Islam Singapura,307200,Awarded to Suppliers,FRONTLINE SECURITY PTE. LTD.
MUI000ETT15000011,2015-07-23,Invitation to Tender for Servicing and Maintenance of Air-conditioning and Mechanical Ventilation systems for SIH for a period of 24 months with an option to extend for another 24 months,Majlis Ugama Islam Singapura,54720,Awarded to Suppliers,GDS ENGINEERING PTE LTD
MUI000ETT15000012,2015-07-06,INVITATION TO TENDER FOR THE PROVISION OF CIVIL AND STRUCTURAL CONSULTANCY SERVICES FOR MAJLIS UGAMA ISLAM SINGAPURA (MUIS) FOR THE PROPOSED ADDITION AND ALTERATION WORKS TO THE EXISTING AL ISTIGHFAR MOSQUE AND THE NEW ERECTION OF TEMPORARY PRAYER FACILITY AT 2 PASIR RIS WALK SINGAPORE 518239,Majlis Ugama Islam Singapura,88000,Awarded to Suppliers,CONSULTANTS UNITED
MUI000ETT15000013,2015-06-29,INVITATION TO TENDER FOR PROVISION OF ARCHITECTURAL CONSULTANCY SERVICES FOR MAJLIS UGAMA ISLAM SINGAPURA (MUIS) FOR THE PROPOSED ADDITION AND ALTERATION WORKS TO THE EXISTING AL ISTIGHFAR MOSQUE AND THE NEW ERECTION OF TEMPORARY PRAYER FACILITY AT 2 PASIR RIS WALK SINGAPORE 518239,Majlis Ugama Islam Singapura,177000,Awarded to Suppliers,SQFT ARCHITECTS PTE. LTD.
MUI000ETT15000014,2015-08-03,INVITATION TO TENDER THE PROVISION OF QUANTITY SURVEYOR CONSULTANCY SERVICES FOR MAJLIS UGAMA ISLAM SINGAPURA (MUIS) FOR THE PROPOSED ADDITION AND ALTERATION WORKS TO THE EXISTING AL ISTIGHFAR MOSQUE AND THE NEW ERECTION OF TEMPORARY PRAYER FACILITY AT 2 PASIR RIS WALK SINGAPORE 518239,Majlis Ugama Islam Singapura,54000,Awarded to Suppliers,CPG Facilities Management Pte Ltd
MUI000ETT15000015,2015-07-02,INVITATION TO TENDER FOR THE PROVISION OF MECHANICAL AND ELECTRICAL CONSULTANCY SERVICES FOR MAJLIS UGAMA ISLAM SINGAPURA (MUIS) FOR THE PROPOSED ADDITION AND ALTERATION WORKS TO THE EXISTING AL ISTIGHFAR MOSQUE AND THE NEW ERECTION OF TEMPORARY PRAYER FACILITY AT 2 PASIR RIS WALK SINGAPORE 518239,Majlis Ugama Islam Singapura,90000,Awarded to Suppliers,CONTEEM ENGINEERS PTE LTD
MUI000ETT15000016,2015-10-08,Reconstruction of Existing Building at 139 Onan Rd (Wakaf Khalid Msq),Majlis Ugama Islam Singapura,977597.47,Awarded to Suppliers,MIE-TECH ENGINEERING & CONSTRUCTION PTE LTD
MUI000ETT15000017,2015-07-31,"INVITATION TO TENDER FOR PROVISION OF CLEANING SERVICES FOR SINGAPORE ISLAMIC HUB AT 273, 275, 277 BRADDELL ROAD AND HARMONY CENTRE @ AN-NAHDHAH, 9A BISHAN STREET 14 FOR A PERIOD OF 24 MONTHS WITH AN OPTION TO EXTEND FOR 12 MONTHS",Majlis Ugama Islam Singapura,1186320,Awarded to Suppliers,IGM SERVICES PTE LTD
MUI000ETT15000018,2015-08-12,"Invitation to Tender for the Provision of Mechanical & Electrical Engineering Consultancy Services for the Proposed Addition and Alteration Works, including the New Erection of an Annex Block to the Existing Masjid Angullia at 265 Serangoon Road",Majlis Ugama Islam Singapura,65000,Awarded to Suppliers,CONTEEM ENGINEERS PTE LTD
MUI000ETT15000021,2015-09-30,Invitation to Tender for the provision of Civil and Structural Engineer Services for Angullia Mosque.,Majlis Ugama Islam Singapura,78200,Awarded to Suppliers,CONSULTANTS UNITED
MUI000ETT15000024,2016-02-01,Main Building Works Tender for Proposed Erection of Temporary Mosque for Darul Ghufran Mosque for MUIS,Majlis Ugama Islam Singapura,2400000,Awarded to Suppliers,TOPZONE E&C PTE. LTD.
