tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
MPA000ETT14000036,2015-02-05,Instrumentation and In-Situ Measurements for the Environmental Monitoring and Management Programme of Tuas Terminal Phase 1 Works,Maritime and Port Authority of Singapore,0,Awarded to No Suppliers,na
MPA000ETT14000038,2015-01-23,Laboratory Tests for the Environmental Monitoring and Management Programme of Tuas Terminal Phase 1 Works,Maritime and Port Authority of Singapore,329601,Awarded to Suppliers,Setsco Services Pte Ltd
MPA000ETT14000047,2015-06-02,"Supply, Delivery, Installation, Development, Testing, Commissioning and Maintenance of a New Knowledge Management System",Maritime and Port Authority of Singapore,4118838,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
MPA000ETT14000050,2015-01-15,Provision of an Event Management and Logistics Services for Singapore Maritime Week 2015 and Other Series of Exhibitions,Maritime and Port Authority of Singapore,1000000,Awarded to Suppliers,Pico Art International Pte Ltd
MPA000ETT14000051,2015-03-25,"Supply, Installation and Monitoring of Instruments for Tuas Terminal Phase 1 Reclamation, Wharf Construction and Dredging",Maritime and Port Authority of Singapore,2250368,Awarded to Suppliers,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.
MPA000ETT14000054,2015-02-12,"Appointment of Agency for Branding Maritime Singapore - Conceptualisation, Strategising, Campaign Execution and Evaluation",Maritime and Port Authority of Singapore,357230,Awarded to Suppliers,BRAND COURAGE PTE. LTD.
MPA000ETT15000002,2015-04-16,Provision of Various Insurance for MPA for a Period of Three Years from 1 May 2015 to 30 Apr 2018,Maritime and Port Authority of Singapore,269433.12,Awarded to Suppliers,AVIVA LTD
MPA000ETT15000002,2015-04-16,Provision of Various Insurance for MPA for a Period of Three Years from 1 May 2015 to 30 Apr 2018,Maritime and Port Authority of Singapore,20397.9,Awarded to Suppliers,FEDERAL INSURANCE COMPANY
MPA000ETT15000002,2015-04-16,Provision of Various Insurance for MPA for a Period of Three Years from 1 May 2015 to 30 Apr 2018,Maritime and Port Authority of Singapore,839951.38,Awarded to Suppliers,MS FIRST CAPITAL INSURANCE LIMITED
MPA000ETT15000003,2015-03-19,"Provision of Food & Beverages, Venue & Services for MPA's Dinner and Dance 2015",Maritime and Port Authority of Singapore,80850,Awarded to Suppliers,THE PAN PACIFIC HOTEL SINGAPORE
