tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
ITA000ETT14000015,2015-01-06,"RFP FOR THE STUDY ON THE FREELANCER LANDSCAPE IN SINGAPORE'S INFOCOMM, MEDIA AND DESIGN SECTORS",Ministry of Communications and Information,388000,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD
ITA000ETT14000020,2015-04-16,"REQUEST FOR PROPOSAL (RFP) FOR THE APPOINTMENT OF A MARKETING COMMUNICATION CONSULTANCY FOR ONE YEAR, WITH OPTION TO EXTEND FOR ANOTHER YEAR",Ministry of Communications and Information,587520,Awarded to Suppliers,KLARECO COMMUNICATIONS PTE. LTD.
ITA000ETT14000021,2015-03-02,REQUEST FOR PROPOSAL(S) (RFP) FOR THE CONDUCT OF RESEARCH TO FACILITATE DESIGNSINGAPORE COUNCIL IN THE FORMULATION OF STRATEGIES FOR THE SINGAPORE DESIGN SECTOR,Ministry of Communications and Information,180760,Awarded to Suppliers,EDEN STRATEGY INSTITUTE LLP
ITA000ETT14000021,2015-03-02,REQUEST FOR PROPOSAL(S) (RFP) FOR THE CONDUCT OF RESEARCH TO FACILITATE DESIGNSINGAPORE COUNCIL IN THE FORMULATION OF STRATEGIES FOR THE SINGAPORE DESIGN SECTOR,Ministry of Communications and Information,272800,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD
ITA000ETT14000022,2015-03-10,"TENDER FOR THE PROVISION OF COMPREHENSIVE MAINTENANCE SERVICES FOR CLOSED CIRCUIT TELEVISION, CARD ACCESS AND PEOPLE WITH DISABILITIES SYSTEMS AT THE NATIONAL DESIGN CENTRE, 111 MIDDLE ROAD SINGAPORE 188969",Ministry of Communications and Information,133000,Awarded to Suppliers,Abeltec International Pte Ltd
ITA000ETT14000023,2015-02-27,REQUEST FOR PROPOSAL FOR A DESIGN SHOWCASE & COMMUNITY ENGAGEMENT ACTIVITIES AT THE NATIONAL DESIGN CENTRE,Ministry of Communications and Information,267340,Awarded to Suppliers,THE SHOPHOUSE & CO GROUP PTE. LTD.
ITA000ETT14000025,2015-02-02,REQUEST FOR PROPOSAL FOR THE APPOINTMENT OF VENDOR TO PROVIDE EDITORIAL CONTENT AND IMPLEMENT ONLINE ADVERTISING CAMPAIGNS FOR THE SINGAPORE.SG WEBSITE AND ITS SOCIAL MEDIA CHANNELS,Ministry of Communications and Information,0,Awarded to No Suppliers,na
ITA000ETT14000026,2015-03-09,"INVITATION TO TENDER FOR PROJECT MANAGEMENT, PRODUCTION, INSTALLATION AND FRIEGHT OF 1000 SINGAPORES EXHIBITION AND FORUM IN PARIS",Ministry of Communications and Information,353040,Awarded to Suppliers,Pico Art International Pte Ltd
ITA000ETT14000027,2015-03-23,"REQUEST FOR PROPOSAL(S) (RFP) FOR THE DELIVERY OF A SERIES OF MASTER CLASS FOR DESIGNERS, AS PART OF THE WORKFORCE DEVELOPMENT AGENCY (WDA) PROGRAMME PARTNERSHIP AGREEMENT WITH DESIGNSINGAPORE COUNCIL, TO DELIVER WSQ COURSES IN PROFESSIONAL PRACTICE AND HISTORY OF DESIGN TO THE WORKFORCE",Ministry of Communications and Information,0,Awarded to No Suppliers,na
ITA000ETT14000028,2015-05-07,WHOLE OF GOVERNMENT (WOG) PERIOD CONTRACT AND FRAMEWORK AGREEMENT FOR TRANSLATION SERVICES,Ministry of Communications and Information,2.92,Awarded to Suppliers,ACTC TRANSLATION CENTRE PTE. LTD.
