tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CCY000ETT14000010,2015-03-03,"Tender for the Supply, Design, Development, Delivery, Installation, Testing, Training and Commissioning of a Fully Operational Web-Based Youth Corps Portal with an Option for Maintenance","Ministry of Culture, Community and Youth - Ministry Headquarter",432500,Awarded to Suppliers,RESOLUTE LABS PTE. LTD.
CCY000ETT14000014,2015-01-29,REQUEST FOR PROPOSAL (RFP) FOR A COMMUNITY OUTREACH CAMPAIGN FOR SINGAPORES 50th ANNIVERSARY CELEBRATIONS,"Ministry of Culture, Community and Youth - Ministry Headquarter",3214447,Awarded to Suppliers,DDB Worldwide Pte Ltd
CCY000ETT14000017,2015-02-04,Invitation to tender for provision of venue space and catering services.,"Ministry of Culture, Community and Youth - Ministry Headquarter",145552,Awarded to Suppliers,"THE RITZ-CARLTON, MILLENIA SINGAPORE"
CCY000ETT14000018,2015-02-26,Invitation to tender for the supply and administration of temporary and contract manpower.,"Ministry of Culture, Community and Youth - Ministry Headquarter",506250,Awarded to Suppliers,BGC Group Pte. Ltd.
CCY000ETT14000018,2015-02-26,Invitation to tender for the supply and administration of temporary and contract manpower.,"Ministry of Culture, Community and Youth - Ministry Headquarter",506250,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd
CCY000ETT14000018,2015-02-26,Invitation to tender for the supply and administration of temporary and contract manpower.,"Ministry of Culture, Community and Youth - Ministry Headquarter",506250,Awarded to Suppliers,NSEARCH GLOBAL PTE. LTD.
CCY000ETT14000018,2015-02-26,Invitation to tender for the supply and administration of temporary and contract manpower.,"Ministry of Culture, Community and Youth - Ministry Headquarter",506250,Awarded to Suppliers,SERVICE CONNECTIONS HR CONSULTANCY PTE. LTD.
CCY000ETT14000020,2015-01-30,INVITATION TO TENDER FOR FEASIBILITY STUDY FOR ADDITION AND ALTERATION WORKS TO THE FORMER ITE CLEMENTI AT 6 LEMPENG DRIVE,"Ministry of Culture, Community and Youth - Ministry Headquarter",193000,Awarded to Suppliers,FORUM ARCHITECTS PTE. LTD.
CCY000ETT14000023,2015-02-10,INVITATION TO TENDER TO SUPPLY AND DELIVER OF SEA KAYAKS FOR THE OUTWARD BOUND SINGAPORE,"Ministry of Culture, Community and Youth - Ministry Headquarter",13000,Awarded to Suppliers,KAYAKASIA PADDLESPORTS PTE. LTD.
CCY000ETT14000025,2015-03-26,"Invitation to tender for the conceptualisation, design, printing and distribution of newsletters.","Ministry of Culture, Community and Youth - Ministry Headquarter",349860,Awarded to Suppliers,Paperclip Communications Pte Ltd
CCY000ETT15000001,2015-06-26,"INVITATION TO TENDER FOR THE SUPPLY, DESIGN, DEVELOPMENT, DELIVERY, INSTALLATION, TESTING, TRAINING, AND COMMISSIONING OF A FULLY OPERATIONAL SMS RECALL SYSTEM WITH AN OPTION FOR MAINTENANCE","Ministry of Culture, Community and Youth - Ministry Headquarter",178360,Awarded to Suppliers,PACIFIC SYNERGY PTE LTD
CCY000ETT15000002,2017-01-18,"INVITATION TO TENDER FOR DESIGN, PRODUCTION AND DELIVERY OF SINGAPORE 50 (SG50) COLLATERALS","Ministry of Culture, Community and Youth - Ministry Headquarter",0,Awarded to No Suppliers,na
CCY000ETT15000003,2015-04-27,"Term contract for the provision of security services for Outward Bound Singapore, for two years period from 1 April 2015 to 31 March 2017 with the option to extend for another two years.","Ministry of Culture, Community and Youth - Ministry Headquarter",0,Awarded to No Suppliers,na
CCY000ETT15000004,2015-04-21,Term contract for minor building repair and electrical works to Outward Bound Singapore.,"Ministry of Culture, Community and Youth - Ministry Headquarter",74,Awarded to Suppliers,MAXCON CONSTRUCTION & ENGINEERING PTE LTD
CCY000ETT15000005,2015-04-01,Invitation to Tender for feasibility study for Outdoor Learning Centre at Coney Island.,"Ministry of Culture, Community and Youth - Ministry Headquarter",745000,Awarded to Suppliers,CPG CONSULTANTS PTE LTD
CCY000ETT15000006,2015-04-10,"INVITATION TO TENDER FOR DESIGN, PRODUCTION AND DELIVERY OF SINGAPORE 50 (SG50) SOCCER SCARVES FOR NATIONAL DAY 2015","Ministry of Culture, Community and Youth - Ministry Headquarter",564000,Awarded to Suppliers,STANPACK INDUSTRIES PTE. LTD.
CCY000ETT15000007,2015-04-01,Invitation to tender for provision of cleaning services for National Youth Council for a period of one year with option to extend for year 2 and 3.,"Ministry of Culture, Community and Youth - Ministry Headquarter",370800,Awarded to Suppliers,CLEANMAGE PTE. LTD.
CCY000ETT15000008,2015-05-14,Request for Proposal (RFP) for the provision of SHINE Youth Festival 2015 Integrated Festival Marketing Campaign.,"Ministry of Culture, Community and Youth - Ministry Headquarter",392055,Awarded to Suppliers,Pico Art International Pte Ltd
CCY000ETT15000009,2015-10-22,"Invitation to tender for the provision of media monitoring services for a base period of one year with the option to extend, capped at another twelve months.","Ministry of Culture, Community and Youth - Ministry Headquarter",413200,Awarded to Suppliers,INSIGHTMATRIX
CCY000ETT15000011,2015-08-27,"INVITATION TO TENDER FOR THE SUPPLY, DESIGN, DEVELOPMENT, DELIVERY, INSTALLATION, TESTING, TRAINING, AND COMMISSIONING OF A FULLY OPERATIONAL EMAIL FILING SYSTEM WITH AN OPTION FOR MAINTENANCE","Ministry of Culture, Community and Youth - Ministry Headquarter",892842,Awarded to Suppliers,THIRD SIGHT PTE LTD
CCY000ETT15000012,2015-11-06,Two-year Framework Agreement (With Option to Extend for up to Another Two Years) for the Provision of Consultancy Services to Conduct Reviews/Audits/Investigations/Inspections/Inquiries/Examination of Co-operative Societies & Mutual Benefit Organisations,"Ministry of Culture, Community and Youth - Ministry Headquarter",333100,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
CCY000ETT15000012,2015-11-06,Two-year Framework Agreement (With Option to Extend for up to Another Two Years) for the Provision of Consultancy Services to Conduct Reviews/Audits/Investigations/Inspections/Inquiries/Examination of Co-operative Societies & Mutual Benefit Organisations,"Ministry of Culture, Community and Youth - Ministry Headquarter",333100,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
CCY000ETT15000012,2015-11-06,Two-year Framework Agreement (With Option to Extend for up to Another Two Years) for the Provision of Consultancy Services to Conduct Reviews/Audits/Investigations/Inspections/Inquiries/Examination of Co-operative Societies & Mutual Benefit Organisations,"Ministry of Culture, Community and Youth - Ministry Headquarter",333100,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
CCY000ETT15000013,2015-11-13,"Invitation to Tender for the conceptualisation, design, printing and distribution of newsletters.","Ministry of Culture, Community and Youth - Ministry Headquarter",334856,Awarded to Suppliers,MEDIACORP PTE. LTD.
CCY000ETT15000015,2016-03-15,Invitation to Tender (ITT) for provision of a Social Survey Fieldwork and Data Processing.,"Ministry of Culture, Community and Youth - Ministry Headquarter",267000,Awarded to Suppliers,ML Research Consultants Pte Ltd
CCY000ETT15000016,2016-03-04,Invitation to tender for provision of venue space and catering services.,"Ministry of Culture, Community and Youth - Ministry Headquarter",76731.6,Awarded to Suppliers,The Regent Singapore
CCY000ETT16000001,2016-11-07,"Invitation to tender for the supply, design, development, delivery, installation, testing, training, and commissioning of a fully operational Record Management System with an option for maintenance.","Ministry of Culture, Community and Youth - Ministry Headquarter",2025782.67,Awarded to Suppliers,ATOS INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.
CCY000ETT16000002,2016-09-01,"Request for Proposal (""RFP"") for the conceptualization, development and implementation of an Integrated Digital Communications Plan to strengthen the Singapore spirit and connection to Singapore.","Ministry of Culture, Community and Youth - Ministry Headquarter",2499098,Awarded to Suppliers,OGILVY & MATHER (SINGAPORE) PRIVATE LIMITED
CCY000ETT16000003,2016-09-14,"Invitation to Tender (""ITT"") for the supply and delivery of project-based grant claim verification and certification services.","Ministry of Culture, Community and Youth - Ministry Headquarter",328500,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP
CCY000ETT16000004,2016-09-15,"Proposed renovation works to 2nd & 3rd storeys for the Ministry of Culture, Community and Youth (MCCY) located at 140 Hill Street, Old Hill Street Police Station, Singapore 179369.","Ministry of Culture, Community and Youth - Ministry Headquarter",385140,Awarded to Suppliers,CONCEPT ELEMENTS PTE. LTD.
CCY000ETT16000007,2017-02-13,"Invitation to Tender (""ITT"") for provision of photography and social media content services.","Ministry of Culture, Community and Youth - Ministry Headquarter",51900,Awarded to Suppliers,CAPTURED PTE. LTD.
CCY000ETT16000007,2017-02-13,"Invitation to Tender (""ITT"") for provision of photography and social media content services.","Ministry of Culture, Community and Youth - Ministry Headquarter",8260,Awarded to Suppliers,CARBON INTERACTIVE PTE. LTD.
CCY000ETT16000007,2017-02-13,"Invitation to Tender (""ITT"") for provision of photography and social media content services.","Ministry of Culture, Community and Youth - Ministry Headquarter",5380,Awarded to Suppliers,LUIRE IMAGE
CCY000ETT16000007,2017-02-13,"Invitation to Tender (""ITT"") for provision of photography and social media content services.","Ministry of Culture, Community and Youth - Ministry Headquarter",28480,Awarded to Suppliers,ONTHESTREETS PHOTOGRAPHY
CCY000ETT16000007,2017-02-13,"Invitation to Tender (""ITT"") for provision of photography and social media content services.","Ministry of Culture, Community and Youth - Ministry Headquarter",48193,Awarded to Suppliers,THOMSON REUTERS ASIA PTE. LTD.
CCY000ETT16000007,2017-02-13,"Invitation to Tender (""ITT"") for provision of photography and social media content services.","Ministry of Culture, Community and Youth - Ministry Headquarter",6380,Awarded to Suppliers,ZINKIE AW PHOTOGRAPHY AND DESIGN
CCY000ETT16000008,2016-12-08,Provision of Business Process Reengineer (BPR) Consultancy Services,"Ministry of Culture, Community and Youth - Ministry Headquarter",321000,Awarded to Suppliers,DELOITTE CONSULTING PTE. LTD.
CCY000ETT16000009,2016-11-09,"REQUEST FOR PROPOSAL (RFP) FOR THE CONCEPTUALISATION, DEVELOPMENT AND IMPLEMENTATION OF INTEGRATED COMMUNICATIONS CAMPAIGNS TO STRENGTHEN THE SINGAPORE SPIRIT","Ministry of Culture, Community and Youth - Ministry Headquarter",2493900,Awarded to Suppliers,DDB Worldwide Pte Ltd
CCY000ETT16000009,2016-11-09,"REQUEST FOR PROPOSAL (RFP) FOR THE CONCEPTUALISATION, DEVELOPMENT AND IMPLEMENTATION OF INTEGRATED COMMUNICATIONS CAMPAIGNS TO STRENGTHEN THE SINGAPORE SPIRIT","Ministry of Culture, Community and Youth - Ministry Headquarter",1997945.5,Awarded to Suppliers,OGILVY & MATHER (SINGAPORE) PRIVATE LIMITED
CCY000ETT16000010,2017-02-21,"Invitation to Tender (""ITT"") for Environmental Impact Study for proposed Outdoor Adventure Centre at Coney Island","Ministry of Culture, Community and Youth - Ministry Headquarter",198000,Awarded to Suppliers,ENVIROSOLUTIONS & CONSULTING PTE. LTD.
CCY000ETT16000011,2017-01-13,"Invitation to Tender (""ITT"") for Citizen Engagement Evaluation Framework and Toolkit for Public Officers","Ministry of Culture, Community and Youth - Ministry Headquarter",146500,Awarded to Suppliers,CORPORATE CITIZENSHIP LIMITED
CCY000ETT16000013,2017-03-06,"Invitation to Tender (""ITT"") for the Provision of Consultancy Services to Conduct Governance Reviews/Follow-Up Reviews/Focus Reviews/Inquiries/Special Reviews/Agreed-Upon Procedures of Charities and Institutions of a Public Character","Ministry of Culture, Community and Youth - Ministry Headquarter",222760,Awarded to Suppliers,ASSURANCE PARTNERS LLP
CCY000ETT16000013,2017-03-06,"Invitation to Tender (""ITT"") for the Provision of Consultancy Services to Conduct Governance Reviews/Follow-Up Reviews/Focus Reviews/Inquiries/Special Reviews/Agreed-Upon Procedures of Charities and Institutions of a Public Character","Ministry of Culture, Community and Youth - Ministry Headquarter",308571,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
CCY000ETT16000013,2017-03-06,"Invitation to Tender (""ITT"") for the Provision of Consultancy Services to Conduct Governance Reviews/Follow-Up Reviews/Focus Reviews/Inquiries/Special Reviews/Agreed-Upon Procedures of Charities and Institutions of a Public Character","Ministry of Culture, Community and Youth - Ministry Headquarter",436370,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
