tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CCYNYCETT15000012,2015-05-18,RFP on the Provision of SHINE 2015 Festival Programming,"Ministry of Culture, Community and Youth - National Youth Council",665090,Awarded to Suppliers,THE EVENTS ARTERY PTE. LTD.
CCYNYCETT15000014,2015-05-29,INVITATION TO TENDER FOR CONCEPTUALISATION AND EVENT MANAGEMENT SERVICES FOR THE SINGAPORE YOUTH AWARD 2015 PRESENTATION CEREMONY ON 12 JULY 2015,"Ministry of Culture, Community and Youth - National Youth Council",149540,Awarded to Suppliers,TWIST MEDIA PTE. LTD.
CCYNYCETT15000015,2015-08-28,INVITATION TO TENDER FOR THE PROVISION OF SECURITY SERVICES FOR OUTWARD BOUND SINGAPORE FOR A PERIOD OF TWO (2) YEARS FROM 1 JULY 2015 TO 30 JUNE 2017 WITH OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS,"Ministry of Culture, Community and Youth - National Youth Council",1278000,Awarded to Suppliers,PRIMO GUARDS PRIVATE LIMITED
CCYNYCETT15000016,2015-07-22,"INVITATION TO TENDER FOR DESIGN SERVICES AND ALTERATION WORKS FOR THE NATIONAL YOUTH COUNCIL ACADEMY (NYCA) @ 113 SOMERSET ROAD, SINGAPORE 238165 AND YOUTH PARK @ 121 SOMERSET ROAD, SINGAPORE 238166","Ministry of Culture, Community and Youth - National Youth Council",127000,Awarded to Suppliers,DAVOE CREATIVE PTE. LTD.
CCYNYCETT15000016,2015-07-22,"INVITATION TO TENDER FOR DESIGN SERVICES AND ALTERATION WORKS FOR THE NATIONAL YOUTH COUNCIL ACADEMY (NYCA) @ 113 SOMERSET ROAD, SINGAPORE 238165 AND YOUTH PARK @ 121 SOMERSET ROAD, SINGAPORE 238166","Ministry of Culture, Community and Youth - National Youth Council",263885,Awarded to Suppliers,MU INTERIOR PTE LTD
CCYNYCETT15000019,2015-07-08,INVITATION TO TENDER FOR PROVISION OF LOGISTICS AND EVENT MANAGEMENT SERVICES FOR SHINE FESTIVAL 2015,"Ministry of Culture, Community and Youth - National Youth Council",460675,Awarded to Suppliers,THE EVENTS ARTERY PTE. LTD.
CCYNYCETT15000022,2015-10-30,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF FIBREGLASS SAILING CRAFTS FOR OUTWARD BOUND SINGAPORE,"Ministry of Culture, Community and Youth - National Youth Council",577000,Awarded to Suppliers,DYNAGLASS REINFORCED PLASTIC (PTE) LTD
CCYNYCETT15000023,2015-10-30,"INVITATION TO TENDER FOR THE PROVISION OF 24 HOURS SECURITY SERVICES AT NATIONAL YOUTH COUNCIL BUILDING, YOUTH PARK AND SKATE PARK FOR A PERIOD OF ONE YEAR WITH OPTION TO EXTEND FOR ONE YEAR","Ministry of Culture, Community and Youth - National Youth Council",163200,Awarded to Suppliers,K11 SECURITY ENGINEERING PTE. LTD.
CCYNYCETT15000024,2015-10-09,INVITATION TO TENDER FOR ONE YEAR TERM CONTRACT OF PROJECT MANAGER FOR OBS INFRASTRUCTURE AND BUILDING PROJECTS WITH THE OPTION TO EXTEND FOR ANOTHER ONE YEAR,"Ministry of Culture, Community and Youth - National Youth Council",0,Awarded to No Suppliers,na
CCYNYCETT15000025,2016-02-15,INVITATION TO TENDER FOR THE PROVISION OF SERVICES TO CONDUCT A JOB EVALUATION EXERCISE FOR NATIONAL YOUTH COUNCIL,"Ministry of Culture, Community and Youth - National Youth Council",110250,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.
CCYNYCETT15000026,2015-12-17,"INVITATION TO TENDER FOR THE DESIGN, BUILD AND UPGRADE OF FUEL STORAGE TANKS AND SYSTEMS AT OUTWARD BOUND SINGAPORE (OBS), PULAU UBIN","Ministry of Culture, Community and Youth - National Youth Council",0,Awarded to No Suppliers,na
