tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,1,Awarded to Suppliers,A-MOBILE PTE. LTD.
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,2,Awarded to Suppliers,ACP OFFICE SUPPLIES PTE. LTD.
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,5,Awarded to Suppliers,AGGASYS SOLUTIONS PTE. LTD.
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,2,Awarded to Suppliers,Acer Computer (Singapore) Pte Ltd
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,3,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,11,Awarded to Suppliers,BusinessIT Pte Ltd
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,2,Awarded to Suppliers,DATA TERMINATOR PTE. LTD.
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,13,Awarded to Suppliers,DELTEQ PTE LTD
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,2,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,6,Awarded to Suppliers,JK Technology Pte Ltd
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,10,Awarded to Suppliers,NCS PTE. LTD.
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,4,Awarded to Suppliers,RFNET TECHNOLOGIES PTE LTD
DEF000ETT14000085,2015-09-25,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",Ministry of Defence,1,Awarded to Suppliers,RICOH (SINGAPORE) PTE LTD
