tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
MOE000ETT14000034,2015-02-02,Provision of Illustration Services For Up To 30 Big Picture Books And Up To 55 Read-Aloud Books for Pre-School Children,Ministry of Education,53400,Awarded to Suppliers,CHENG PUAY KOON
MOE000ETT14000034,2015-02-02,Provision of Illustration Services For Up To 30 Big Picture Books And Up To 55 Read-Aloud Books for Pre-School Children,Ministry of Education,151200,Awarded to Suppliers,Child Educational Co. Pte Ltd
MOE000ETT14000034,2015-02-02,Provision of Illustration Services For Up To 30 Big Picture Books And Up To 55 Read-Aloud Books for Pre-School Children,Ministry of Education,22100,Awarded to Suppliers,ILLUSHROOMZ
MOE000ETT14000036,2015-07-06,DEVELOPMENT OF WRITTEN CORPUS FOR SINGAPORE TAMIL LANGUAGE,Ministry of Education,0,Awarded to No Suppliers,na
MOE000ETT14000064,2015-02-24,For the Provision of Wide Area Network (WAN) Connectivity and Internet Services for the Ministry of Education (MOE),Ministry of Education,37159424,Awarded to Suppliers,M1 NET LTD.
MOE000ETT14000092,2015-05-25,Proposed additions & alterations to existing Teck Whye Primary School and West View Primary School,Ministry of Education,23500000,Awarded to Suppliers,KWAN YONG CONSTRUCTION PTE LTD
MOE000ETT14000107,2015-11-30,Proposed addition and alteration to existing Teck Ghee Primary School and Zhonghua Primary School,Ministry of Education,15596000,Awarded to Suppliers,KUAN AIK HONG CONSTRUCTION PTE LTD
MOE000ETT14000118,2015-04-22,"PROPOSED ADDITIONS AND ALTERATIONS TO CASUARINA PRIMARY SCHOOL AT 30 PASIR RIS STREET 41, MERIDIAN PRIMARY SCHOOL AT 20 PASIR RIS STREET 71 AND EDGEFIELD PRIMARY SCHOOL AT 41 EDGEFIELD PLAINS",Ministry of Education,30280000,Awarded to Suppliers,FRONTBUILD ENGINEERING & CONSTRUCTION PTE LTD
MOE000ETT14000132,2015-01-02,"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF DIGITAL AUDIO PRODUCTION SUITES.",Ministry of Education,305070,Awarded to Suppliers,IMS Mahajak Pro Audio Pte. Ltd.
MOE000ETT14000132,2015-01-02,"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF DIGITAL AUDIO PRODUCTION SUITES.",Ministry of Education,72000,Awarded to Suppliers,VSolutions Pte Ltd
MOE000ETT14000135,2015-02-12,"Design & Layout, Printing, Packing And Delivery Of Malay Resources For Preschool Children",Ministry of Education,74120,Awarded to Suppliers,SALT CREATIVES PTE. LTD.
MOE000ETT14000170,2015-01-08,1-STAGE QFM FOR ARCHITECTURAL CONSULTANCY SERVICES FOR CONSTRUCTION OF A NEW PRIMARY SCHOOL IN SENGKANG SITE 21,Ministry of Education,568500,Awarded to Suppliers,ARCHITECTS VISTA PTE LTD
MOE000ETT14000207,2015-03-11,Invitation to Tender for Provision Of Administrative And Professional Services For Focused Language Assistance In Reading (FLAiR) Programme For Pre-School Children,Ministry of Education,4874838,Awarded to Suppliers,Association for Early Childhood Educators (Singapore)
MOE000ETT14000211,2015-01-08,1-STAGE QFM FOR CIVIL & STRUCTURAL CONSULTANCY SERVICES FOR CONSTRUCTION OF A NEW PRIMARY SCHOOL IN SENGKANG SITE 21,Ministry of Education,248400,Awarded to Suppliers,SEMBCORP ARCHITECTS & ENGINEERS PTE. LTD.
MOE000ETT14000212,2015-01-08,1-STAGE QFM FOR PROJECT MANAGEMENT CONSULTANCY SERVICES FOR CONSTRUCTION OF A NEW PRIMARY SCHOOL IN SENGKANG SITE 21,Ministry of Education,235800,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.
MOE000ETT14000213,2015-01-08,1-STAGE QFM FOR MECHANICAL & ELECTRICAL CONSULTANCY SERVICES FOR CONSTRUCTION OF A NEW PRIMARY SCHOOL in SENGKANG SITE 21,Ministry of Education,225000,Awarded to Suppliers,T.Y.LIN INTERNATIONAL PTE. LTD.
MOE000ETT14000214,2015-01-08,1-STAGE QFM FOR QUANTITY SURVEYING CONSULTANCY SERVICES FOR CONSTRUCTION OF A NEW PRIMARY SCHOOL IN SENGKANG SITE 21,Ministry of Education,147000,Awarded to Suppliers,BEC CONSULTANTS
MOE000ETT14000218,2015-01-23,"On behalf of The Secretary of Synod of the Diocese of Singapore, the Government of the Republic of Singapore is calling a 1-Stage QFM For Architectural Consultancy Services For The Proposed Upgrading Of Existing St Andrew's Junior School. The winning firm will be signing the contract with The Secretary of Synod of the Diocese of Singapore",Ministry of Education,288392,Awarded to Suppliers,VIVATA PTE. LTD.
MOE000ETT14000219,2015-01-23,"On behalf of The Secretary of Synod of the Diocese of Singapore, the Government of the Republic of Singapore is calling a 1-Stage QFM For Civil & Structural Consultancy Services For The Proposed Upgrading Of Existing St Andrew's Junior School. The winning firm will be signing the contract with The Secretary of Synod of the Diocese of Singapore",Ministry of Education,130390,Awarded to Suppliers,DE CONSULTANTS (S) PTE LTD
MOE000ETT14000220,2015-01-23,"On behalf of The Secretary of Synod of the Diocese of Singapore, the Government of the Republic of Singapore is calling a 1-Stage QFM For Mechanical & Electrical Consultancy Services For The Proposed Upgrading Of Existing St Andrew's Junior School. The winning firm will be signing the contract with The Secretary of Synod of the Diocese of Singapore",Ministry of Education,150332,Awarded to Suppliers,SURBANA JURONG INFRASTRUCTURE PTE. LTD.
MOE000ETT14000221,2015-01-23,"On behalf of The Secretary of Synod of the Diocese of Singapore, the Government of the Republic of Singapore is calling a 1-Stage QFM For Quantity Surveying Consultancy Services For The Proposed Upgrading Of Existing St Andrew's Junior School. The winning firm will be signing the contract with The Secretary of Synod of the Diocese of Singapore",Ministry of Education,107380,Awarded to Suppliers,RJ CONSULTANTS PTE LTD
MOE000ETT14000222,2015-01-23,"On behalf of The Secretary of Synod of the Diocese of Singapore, the Government of the Republic of Singapore is calling a 1-Stage QFM For Project Management Consultancy Services For The Proposed Upgrading Of Existing St Andrew's Junior School. The winning firm will be signing the contract with The Secretary of Synod of the Diocese of Singapore",Ministry of Education,188682,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.
MOE000ETT14000223,2015-05-19,APPOINTMENT OF PANEL SUPPLIERS TO UNDERTAKE THE SUPPLY OF CHINESE ORCHESTRA MUSICAL INSTRUMENTS AND ACCESSORIES FOR A CONTRACT PERIOD OF 2 YEARS,Ministry of Education,1,Awarded to Suppliers,D'ORITALE ENTERPRISE
MOE000ETT14000223,2015-05-19,APPOINTMENT OF PANEL SUPPLIERS TO UNDERTAKE THE SUPPLY OF CHINESE ORCHESTRA MUSICAL INSTRUMENTS AND ACCESSORIES FOR A CONTRACT PERIOD OF 2 YEARS,Ministry of Education,1,Awarded to Suppliers,EASON ENTERPRISES
MOE000ETT14000223,2015-05-19,APPOINTMENT OF PANEL SUPPLIERS TO UNDERTAKE THE SUPPLY OF CHINESE ORCHESTRA MUSICAL INSTRUMENTS AND ACCESSORIES FOR A CONTRACT PERIOD OF 2 YEARS,Ministry of Education,1,Awarded to Suppliers,GTAR ENTERPRISE
MOE000ETT14000223,2015-05-19,APPOINTMENT OF PANEL SUPPLIERS TO UNDERTAKE THE SUPPLY OF CHINESE ORCHESTRA MUSICAL INSTRUMENTS AND ACCESSORIES FOR A CONTRACT PERIOD OF 2 YEARS,Ministry of Education,1,Awarded to Suppliers,Gramercy Music (S) Pte Ltd
MOE000ETT14000223,2015-05-19,APPOINTMENT OF PANEL SUPPLIERS TO UNDERTAKE THE SUPPLY OF CHINESE ORCHESTRA MUSICAL INSTRUMENTS AND ACCESSORIES FOR A CONTRACT PERIOD OF 2 YEARS,Ministry of Education,1,Awarded to Suppliers,MUSICAL ARTS
