tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
FINVITETT14000010,2015-01-06,"2015 Hotel Corporate Rates to designated Ministries, Departments, Organs of State and Statutory Boards.",Ministry of Finance - Vital,0,Awarded to No Suppliers,na
FINVITETT14000011,2015-02-04,Tender Contract for the Provision of Travel Insurance Coverage to Public Sector,Ministry of Finance - Vital,25.1,Awarded to Suppliers,NTUC Income Insurance Co-operative Ltd
FINVITETT14000014,2015-02-13,Provision of off-site storage and records management service,Ministry of Finance - Vital,305380,Awarded to Suppliers,IRON MOUNTAIN SINGAPORE PTE. LIMITED
FINVITETT14000016,2015-07-07,Tender Contract for the Provision of Travel Management Services to Public Sector,Ministry of Finance - Vital,60,Awarded to Suppliers,PACIFIC ARENA PTE. LTD.
FINVITETT15000003,2015-06-24,INVITATION TO TENDER (ITT) FOR THE SUPPLY OF ELECTRONICS AND ELECTRICAL APPLIANCES,Ministry of Finance - Vital,1263544.39,Awarded to Suppliers,CATHAY PHOTO STORE (PRIVATE) LIMITED
FINVITETT15000003,2015-06-24,INVITATION TO TENDER (ITT) FOR THE SUPPLY OF ELECTRONICS AND ELECTRICAL APPLIANCES,Ministry of Finance - Vital,164509.41,Awarded to Suppliers,COURTS (SINGAPORE) PTE. LTD.
FINVITETT15000003,2015-06-24,INVITATION TO TENDER (ITT) FOR THE SUPPLY OF ELECTRONICS AND ELECTRICAL APPLIANCES,Ministry of Finance - Vital,802042.61,Awarded to Suppliers,ETRONIN ELECTROMART
FINVITETT15000003,2015-06-24,INVITATION TO TENDER (ITT) FOR THE SUPPLY OF ELECTRONICS AND ELECTRICAL APPLIANCES,Ministry of Finance - Vital,3643314.16,Awarded to Suppliers,LUCKY STORE
FINVITETT15000003,2015-06-24,INVITATION TO TENDER (ITT) FOR THE SUPPLY OF ELECTRONICS AND ELECTRICAL APPLIANCES,Ministry of Finance - Vital,1263544.39,Awarded to Suppliers,MAX PHOTO PTE LTD
FINVITETT15000003,2015-06-24,INVITATION TO TENDER (ITT) FOR THE SUPPLY OF ELECTRONICS AND ELECTRICAL APPLIANCES,Ministry of Finance - Vital,3643314.15,Awarded to Suppliers,PARISILK ELECTRONICS & COMPUTERS PTE LTD
FINVITETT15000003,2015-06-24,INVITATION TO TENDER (ITT) FOR THE SUPPLY OF ELECTRONICS AND ELECTRICAL APPLIANCES,Ministry of Finance - Vital,1927622.48,Awarded to Suppliers,Tai Sin Radio & Electrical Service
FINVITETT15000004,2015-05-12,"SPACE PLANNING, DESIGN & BUILD AND PROJECT MANAGEMENT SERVICES AT VITALS OFFICES LOCATED AT MND COMPLEX",Ministry of Finance - Vital,774115,Awarded to Suppliers,P & A LINK PTE LTD
FINVITETT15000006,2015-08-21,"SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL DEBT RECOVERY SYSTEM (DRS) WITH AN OPTION FOR MAINTENANCE",Ministry of Finance - Vital,0,Awarded to No Suppliers,na
FINVITETT15000010,2015-08-04,INVITATION TO TENDER FOR THE PROVISION OF VALUE FOR MONEY (VFM) AUDIT AND PRICING MODEL STUDY SERVICES,Ministry of Finance - Vital,155500,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
FINVITETT15000012,2015-12-02,"Invitation to Tender for the provision to supply, design, develop, customize, configure, test, deliver, install, train and commission a complete and fully functional eTraining system, including the learning courseware.",Ministry of Finance - Vital,395675.28,Awarded to Suppliers,ST ELECTRONICS (E-SERVICES) PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,64420.78,Awarded to Suppliers,01 COMPUTER SYSTEM PTE LTD
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,923677.53,Awarded to Suppliers,ABTUS SINGAPORE PTE LTD
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,2436533.47,Awarded to Suppliers,AR VISUAL PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,2744360.17,Awarded to Suppliers,AV Media PTE LTD
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,1506513.69,Awarded to Suppliers,AV-SCIENCE MARKETING PTE LTD
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,533147.79,Awarded to Suppliers,COMM PRODUCTS TECHNOLOGIES PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,3540030.36,Awarded to Suppliers,Epson Singapore Pte Ltd
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,1249422.48,Awarded to Suppliers,HAWKO TRADING CO. PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,624711.24,Awarded to Suppliers,HITACHI HOME ELECTRONICS ASIA (S) PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,25944.42,Awarded to Suppliers,MEDIATECHNIC SOLUTIONS PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,1686652.18,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,737986.16,Awarded to Suppliers,OPTVIO PTE. LTD.
FINVITETT15000014,2015-12-10,"INVITATION TO TENDER FOR 3-YEAR PERIOD CONTRACT FOR: (1) THE SUPPLY AND INSTALLATION OF AUDIO VISUAL EQUIPMENT, PORTABLE PUBLIC ADDRESS SYSTEMS AND ACCESSORIES; AND (2) THE PROVISION OF RELATED WARRANTY AND MAINTENANCE SERVICES",Ministry of Finance - Vital,1249422.48,Awarded to Suppliers,SONY ELECTRONICS (SINGAPORE) PTE. LTD.
FINVITETT15000016,2016-02-03,Invitation to Tender for the provision of a Electronic Document & Knowledge Management System (eDKMs).,Ministry of Finance - Vital,2124985.31,Awarded to Suppliers,DELAWARE CONSULTING ASIA PACIFIC PTE. LTD.
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,181,Awarded to Suppliers,BEACH ROAD HOTEL (1886) LTD.
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,143,Awarded to Suppliers,CITY HOTELS PTE. LTD.
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,132,Awarded to Suppliers,CONCORDE HOTEL SINGAPORE
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,190.3,Awarded to Suppliers,CONRAD CENTENNIAL SINGAPORE
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,121,Awarded to Suppliers,COPTHORNE KING'S HOTEL SINGAPORE
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,143,Awarded to Suppliers,CROWNE PLAZA CHANGI AIRPORT
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,176,Awarded to Suppliers,FOUR SEASONS HOTEL SINGAPORE
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,132,Awarded to Suppliers,FURAMA CITY CENTRE SINGAPORE
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,123.2,Awarded to Suppliers,FURAMA RIVERFRONT SINGAPORE
FINVITETT15000018,2016-01-21,"Provision of 2016 Meeting/Event Spaces and Related Services to Government Ministries and Departments, Organs of State, Statutory Boards and Other Entities",Ministry of Finance - Vital,176,Awarded to Suppliers,GOODWOOD PARK HOTEL PRIVATE LIMITED
