tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
FINAGDETT14000008,2015-01-22,APPOINTMENT OF INVESTMENT CONSULTANT TO PROVIDE INVESTMENT CONSULTING SERVICES FOR STATUTORY BOARDS AND MINISTRIES.,Ministry of Finance-Accountant-General's Department,1565000,Awarded to Suppliers,MERCER (SINGAPORE) PTE. LTD.
FINAGDETT14000008,2015-01-22,APPOINTMENT OF INVESTMENT CONSULTANT TO PROVIDE INVESTMENT CONSULTING SERVICES FOR STATUTORY BOARDS AND MINISTRIES.,Ministry of Finance-Accountant-General's Department,190000,Awarded to Suppliers,MORNINGSTAR RESEARCH PTE. LIMITED
FINAGDETT15000001,2015-07-24,Appointment Of Fund Managers To Provide Fund Management Services To Government Agencies And Statutory Boards.,Ministry of Finance-Accountant-General's Department,3310000,Awarded to Suppliers,AMUNDI SINGAPORE LIMITED
FINAGDETT15000001,2015-07-24,Appointment Of Fund Managers To Provide Fund Management Services To Government Agencies And Statutory Boards.,Ministry of Finance-Accountant-General's Department,1580000,Awarded to Suppliers,FIRST STATE INVESTMENTS (SINGAPORE)
FINAGDETT15000001,2015-07-24,Appointment Of Fund Managers To Provide Fund Management Services To Government Agencies And Statutory Boards.,Ministry of Finance-Accountant-General's Department,1770000,Awarded to Suppliers,Schroder Investment Management (Singapore) Ltd
FINAGDETT15000001,2015-07-24,Appointment Of Fund Managers To Provide Fund Management Services To Government Agencies And Statutory Boards.,Ministry of Finance-Accountant-General's Department,1580000,Awarded to Suppliers,WELLINGTON MANAGEMENT SINGAPORE PTE. LTD.
FINAGDETT15000004,2015-09-21,"Application Software Development, Maintenance And Support Services For Accountant-General's Department.",Ministry of Finance-Accountant-General's Department,11490000,Awarded to Suppliers,NCS PTE. LTD.
FINAGDETT15000008,2015-12-22,Procurement of Medical and Dental Claim Administration Services for Pensioners,Ministry of Finance-Accountant-General's Department,64800,Awarded to Suppliers,INTEGRATED HEALTH PLANS PTE LTD
FINAGDETT16000001,2016-04-06,Office Renovation Works At Accountant-General's Department,Ministry of Finance-Accountant-General's Department,156880,Awarded to Suppliers,GRAND BUILD INTERIOR PTE. LTD.
FINAGDETT16000004,2016-07-14,Provision of Audit Services under a Framework Agreement for Accountant-General's Department,Ministry of Finance-Accountant-General's Department,72000,Awarded to Suppliers,BDO LLP
FINAGDETT16000004,2016-07-14,Provision of Audit Services under a Framework Agreement for Accountant-General's Department,Ministry of Finance-Accountant-General's Department,72000,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
FINAGDETT16000004,2016-07-14,Provision of Audit Services under a Framework Agreement for Accountant-General's Department,Ministry of Finance-Accountant-General's Department,72000,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
FINAGDETT16000004,2016-07-14,Provision of Audit Services under a Framework Agreement for Accountant-General's Department,Ministry of Finance-Accountant-General's Department,72000,Awarded to Suppliers,"KONG, LIM & PARTNERS LLP"
FINAGDETT16000004,2016-07-14,Provision of Audit Services under a Framework Agreement for Accountant-General's Department,Ministry of Finance-Accountant-General's Department,72000,Awarded to Suppliers,RSM RISK ADVISORY PTE. LTD.
FINAGDETT16000006,2016-12-15,Provision of Training Services in Leadership Development for The Accountant-General's Department,Ministry of Finance-Accountant-General's Department,109800,Awarded to Suppliers,ROFFEY PARK ASIA PACIFIC PTE. LTD.
FINAGDETT17000001,2017-10-16,PROVISION OF RECORDS MANAGEMENT SERVICES (INCLUDING DOCUMENT STORAGE SPACE) FOR ACCOUNTANT-GENERALS DEPARTMENT,Ministry of Finance-Accountant-General's Department,43700,Awarded to Suppliers,Crown Worldwide Pte Ltd
FINAGDETT17000002,2017-10-25,Provision of pension administration and payment services to overseas pensioners,Ministry of Finance-Accountant-General's Department,158358.2,Awarded to Suppliers,DBS BANK LTD.
