tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
FINHQ0ETT14000009,2015-04-17,"Invitation To Tender for The Implementation of a Fully Operational Budgeting System with an Option for Maintenance, Helpdesk and Disaster Recovery",Ministry of Finance-Ministry Headquarter,14448036,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
FINHQ0ETT14000012,2015-01-07,"Invitation To Tender for Provision of Services for Content Delivery Network (CDN) for the Singapore Budget Website and MOF Website, and Webcast and Mobile Streaming Services for Singapore Budget Website",Ministry of Finance-Ministry Headquarter,532426.69,Awarded to Suppliers,1-NET SINGAPORE PTE LTD
FINHQ0ETT14000013,2015-01-12,Invitation To Tender For Application Maintenance and Support for Ministry Of Finance,Ministry of Finance-Ministry Headquarter,3402157,Awarded to Suppliers,DXC TECHNOLOGY SINGAPORE PTE. LTD.
FINHQ0ETT14000014,2015-04-16,Invitation To Tender For Provision of Design and Build Services to Upgrade Toilet Facilities and Systems in The Treasury,Ministry of Finance-Ministry Headquarter,2487202,Awarded to Suppliers,FULL HOUSE BUILDING CONSTRUCTION PTE. LTD.
FINHQ0ETT14000015,2015-03-09,"Invitation To Tender For The Supply, Delivery, Support Of Data Visualisation Software With An Option For Maintenance Of Software",Ministry of Finance-Ministry Headquarter,77758,Awarded to Suppliers,OAK CONSULTING PTE. LTD.
FINHQ0ETT14000016,2015-05-19,Invitation To Tender For Provision of Guaranteed Energy Savings Performance Contracting Services for Ministry of Finance - The Treasury,Ministry of Finance-Ministry Headquarter,2692000,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.
FINHQ0ETT14000017,2015-03-18,REQUEST FOR PROPOSAL - CONSULTANCY STUDY FOR THE SINGAPORE ACCOUNTANCY COMMISSION,Ministry of Finance-Ministry Headquarter,88600,Awarded to Suppliers,DELOITTE CONSULTING PTE. LTD.
FINHQ0ETT14000018,2015-01-16,"Invitation to Tender for the supply, delivery, installation, testing and commissioning of a fully operational FAQ System with an option for maintenance",Ministry of Finance-Ministry Headquarter,0,Awarded to No Suppliers,na
FINHQ0ETT15000005,2015-05-25,"INVITATION TO TENDER FOR THE PROVISION OF VENUE, MEETING PACKAGE AND FOOD & BEVERAGES FOR A SERIES OF INTERNATIONAL MEETINGS",Ministry of Finance-Ministry Headquarter,105948.6,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.
FINHQ0ETT15000007,2015-06-22,Invitation To Tender For Supply of Envelopes and Lettershopping Services for MOF,Ministry of Finance-Ministry Headquarter,90301.86,Awarded to Suppliers,JK TRUDATA SOLUTIONS PTE. LTD.
FINHQ0ETT15000010,2015-09-04,TERM CONTRACT FOR PROVISION OF HORTICULTURAL SERVICES AT THE TREASURY FOR A BASE PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS,Ministry of Finance-Ministry Headquarter,366290,Awarded to Suppliers,PRINCE'S LANDSCAPE AND CONSTRUCTION PTE LTD
FINHQ0ETT15000012,2015-10-01,REPLACEMENT OF THE CARD ACCESS SYSTEM TO SUPPORT SSID-BASED PS CARD AND PROVISION OF COMPREHENSIVE MAINTENANCE OF THE CARD ACCESS AND INTRUSION DETECTION SYSTEM FOR A BASE PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS,Ministry of Finance-Ministry Headquarter,533961,Awarded to Suppliers,"TYCO FIRE, SECURITY & SERVICES PTE. LTD."
