tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
FOR000ETT14000024,2015-02-04,"Tender for the proposed addition and alteration works to office space at the Ministry of Foreign Affairs Building at 1 Sherwood Road, Singapore 248163",Ministry of Foreign Affairs,7866591,Awarded to Suppliers,DB & B PTE LTD
FOR000ETT14000036,2015-02-17,Provision of unarmed guard services at the Ministry of Foreign Affairs Complex for a period of 13 months with an option to extend for a further two (2) one-month periods,Ministry of Foreign Affairs,0,Awarded to No Suppliers,na
FOR000ETT14000041,2015-01-28,"Provision of branding and marketing communication services for the Ministry of Foreign Affairs, Singapore for a period of one(1) year with an option to extend for an additional year",Ministry of Foreign Affairs,354580,Awarded to Suppliers,Core Communications
FOR000ETT14000043,2015-02-24,Landscaping and Gardening Services for the Chancery and Ambassadors Residence for a period of two(2) years with an option to extend for a further one(1) year period,Ministry of Foreign Affairs,97416.3,Awarded to Suppliers,PROPERTY MAINTENANCE & GARDENS INCORPORATED
FOR000ETT14000045,2015-07-08,"Provision for Security Services for the Singapore Chancery and Ambassador's Residence for a period of two(2) years, with an option to extend for another one(1) year",Ministry of Foreign Affairs,595403.31,Awarded to Suppliers,G4S HOLDING INC
FOR000ETT14000048,2015-05-06,Provision of Maintenance of Mechanical and Electrical Services at the Singapore Embassy in Phnom Penh for a period of two years from 1st April 2015 to 31st March 2017 with an option to renew for a further one year period.,Ministry of Foreign Affairs,193037.64,Awarded to Suppliers,KRAM ELECTRICAL INDUSTRIES LTD
FOR000ETT14000049,2015-01-08,"Tender for the provision of accommodation, seminar facilities, and secretariat facilities for the Seventh Collective Meeting of Honorary Consuls-General",Ministry of Foreign Affairs,116931.04,Awarded to Suppliers,SHANGRI-LA HOTEL LIMITED
FOR000ETT14000050,2015-03-09,Provision of Janitorial Services for the Chancery of the Permanent Mission of the Republic of Singapore to the United Nations (New York) for a period of One year with an Option to extend for another One year.,Ministry of Foreign Affairs,268442.24,Awarded to Suppliers,ACCURATE GENERAL CORP.
FOR000ETT14000051,2015-06-24,"Provision for the supply and delivery of Plain Crystal Stemware and Plain Crystal Non-Stemware for the Ministry of Foreign Affairs, Singapore.",Ministry of Foreign Affairs,189475.2,Awarded to Suppliers,K L INDUSTRIES PTE LTD
FOR000ETT14000052,2015-04-01,"Provision of Managing Agent Services at the Singapore Embassy in Bangkok, Thailand for a period of two(2) years from 01 April 2015 to 31 March 2017, with an option to extend for a further one(1) year.",Ministry of Foreign Affairs,171612,Awarded to Suppliers,DTZ FACILITIES & ENGINEERING (THAILAND) CO. LTD.
FOR000ETT14000053,2015-03-10,Contractor services for the renovation and refurbishment of a vocational training institute in Myanmar.,Ministry of Foreign Affairs,16801617.2,Awarded to Suppliers,CHANG HUA CONSTRUCTION PTE LTD
FOR000ETT14000054,2015-04-01,"Provision of Property Provision of Property Managing Agent Services for the Chancery in Vientiane, Lao PDR and the Official Residence for a period of 2 years, with an option to extend an additional year.",Ministry of Foreign Affairs,496266,Awarded to Suppliers,PROPERTY FACILITY SERVICES PTE. LTD.
FOR000ETT14000055,2015-04-01,Provision of Property Managing Agent Services at the Singapore Embassy in Phnom Penh for a period of 2 years with the Option to extend for another one year.,Ministry of Foreign Affairs,611520.91,Awarded to Suppliers,PROPERTY FACILITY SERVICES PTE. LTD.
FOR000ETT14000056,2015-02-25,Provision of Security Services for the Singapore High Commission in New Delhi for a period of 2 years with an option to extend for another 1 year.,Ministry of Foreign Affairs,366289.94,Awarded to Suppliers,PRO INTERACTIVE SERVICES INDIA PVT LTD
FOR000ETT15000001,2015-03-05,Supply and delivery of Laserjet Printers for Ministry of Foreign Affairs,Ministry of Foreign Affairs,172800,Awarded to Suppliers,DATA TERMINATOR PTE. LTD.
FOR000ETT15000002,2015-07-10,Tender for the contract to renovate a residential property (dining room and kitchen).,Ministry of Foreign Affairs,187490.03,Awarded to Suppliers,SQUARE2 SPRL
FOR000ETT15000003,2015-03-09,Purchase of Small Form Factor PCs,Ministry of Foreign Affairs,789600,Awarded to Suppliers,DATA TERMINATOR PTE. LTD.
FOR000ETT15000004,2015-03-25,"Tender for the provision of social programmes and guided tours for SCP Participants for a period of 2 years, with an option to extend for a further 1 year period.",Ministry of Foreign Affairs,2612,Awarded to Suppliers,PACIFIC ARENA PTE. LTD.
FOR000ETT15000006,2015-04-27,"Supply and delivery of a saloon car not exceeding 3,500cc for official use by the Embassy of the Republic of Singapore in France.",Ministry of Foreign Affairs,0,Awarded to No Suppliers,na
