tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
HLTHQ0ETT14000078,2015-01-19,Invitation to Tender for the Supply of Influenza A (H5N1) Vaccine for Human Use to the Ministry of Health (MOH),Ministry of Health-Ministry Headquarter,13616000,Awarded to Suppliers,NOVARTIS (SINGAPORE) PTE LTD
HLTHQ0ETT14000079,2015-01-30,TENDER FOR THE REPLACEMENT OF COOLING TOWERS AND CONDENSER WATER PUMPS AT THE COLLEGE OF MEDICINE BUILDING FOR THE MINISTRY OF HEALTH (MOH),Ministry of Health-Ministry Headquarter,0,Awarded to No Suppliers,na
HLTHQ0ETT14000084,2015-01-05,"NOMINATED SUB-CONTRACT TENDER FOR SUPPLY AND INSTALLATION OF AIR-CONDITIONING, MECHANICAL VENTILATION AND MEDICAL GAS SYSTEMS FOR PROPOSED DEVELOPMENT OF AN INTEGRATED REGIONAL HOSPITAL, A COMMUNITY HOSPITAL AND SPECIALIST OUTPATIENT CLINICS ON LOT 02019N PT & LOT 02466A PT MK21 AT SENGKANG EAST WAY / SENGKANG EAST ROAD / ANCHORVALE STREET (SENGKANG PLANNING AREA), SINGAPORE",Ministry of Health-Ministry Headquarter,105700000,Awarded to Suppliers,KILOWATTS ENGINEERING AND CONSTRUCTION PTE LTD
HLTHQ0ETT14000086,2015-01-14,"THE PROVISION OF MASTER SYSTEM INTEGRATOR CONSULTANCY SERVICES TO THE MINISTRY OF HEALTH FOR THE PROPOSED DEVELOPMENT OF AN INTEGRATED REGIONAL HOSPITAL, A COMMUNITY HOSPITAL AND SPECIALIST OUTPATIENT CLINICS AT SENGKANG, SINGAPORE",Ministry of Health-Ministry Headquarter,0,Awarded to No Suppliers,na
HLTHQ0ETT14000087,2015-05-05,"THE SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF HIGH VOLTAGE(HV)SWITCHBOARDS, LOW VOLTAGE (LV) MAIN SWITCHBOARD AND TRANSFORMERS AT THE COLLEGE OF MEDICINE BUILDING FOR THE MINISTRY OF HEALTH (MOH)",Ministry of Health-Ministry Headquarter,0,Awarded to No Suppliers,na
HLTHQ0ETT14000096,2015-02-03,"INVITATION TO TENDER FOR THE PROPOSED ERECTION OF NATIONAL CENTRE FOR INFECTIOUS DISEASES, CENTRE FOR HEALTHCARE INNOVATION WITH BASEMENTS AND ANCILLARY WORKS AT JALAN TAN TOCK SENG",Ministry of Health-Ministry Headquarter,595800000,Awarded to Suppliers,KAJIMA OVERSEAS ASIA PTE LTD
HLTHQ0ETT14000102,2015-05-07,REQUEST FOR PROPOSAL FOR THE PROVISION OF ELDERCARE SERVICES FOR THE ELDERCARE FACILITIES AT GEYLANG EAST CENTRAL AND CHAI CHEE STREET,Ministry of Health-Ministry Headquarter,1,Awarded to Suppliers,NTUC HEALTH CO-OPERATIVE LTD
HLTHQ0ETT14000105,2015-01-02,"INVITATION TO TENDER FOR THE PROVISION OF SOIL INVESTIGATION WORKS TO THE MINISTRY OF HEALTH FOR THE PROPOSED DEVELOPMENT OF THE INTEGRATED INTERMEDIATE CARE HUB AT HEALTH CITY NOVENA, SINGAPORE",Ministry of Health-Ministry Headquarter,259800,Awarded to Suppliers,GROUND INSTRUMENTATION & ENGINEERING PTE. LTD.
HLTHQ0ETT14000106,2015-01-06,INVITATION TO TENDER FOR THE SUPPLY OF STERILE SINGLE-USE 3ML SYRINGES,Ministry of Health-Ministry Headquarter,150000,Awarded to Suppliers,B. Braun Singapore Pte Ltd
HLTHQ0ETT14000110,2015-04-01,INVITATION TO TENDER NOMINATED SUB-CONTRACT FOR SUPPLY AND INSTALLATION OF ELECTRICAL SERVICES TO THE PROPOSED DEVELOPMENT OF THE CHANGI GENERAL HOSPITAL MEDICAL CENTRE WITH BASEMENT AND CARPARKS FOR CGH ON LOTS 06894M MK 28 AT SIMEI STREET 3 (TAMPINES),Ministry of Health-Ministry Headquarter,19280000,Awarded to Suppliers,NGEE CHENG ELECTRIC COMPANY (PRIVATE) LIMITED
