tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
HOMHQ0ETT14000022,2015-06-29,Supply and Maintenance of Desktop Mail Screening Machine (DMSM) and Mail Bomb Detector (MBD),Ministry of Home Affairs-Ministry Headquarter,1102000,Awarded to Suppliers,PRECISION TECHNOLOGIES PTE LTD
HOMHQ0ETT14000028,2015-01-19,Provision of Release Preparation Programme for Singapore Prison Service (SPS),Ministry of Home Affairs-Ministry Headquarter,4683318.64,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES
HOMHQ0ETT14000043,2015-05-20,2-Year Period Contract for the supply of Tamper Polymer Bags with an option to extend for another 1 year,Ministry of Home Affairs-Ministry Headquarter,656796.95,Awarded to Suppliers,POTENTIAL HITECH INDUSTRIES (S) PTE. LTD.
HOMHQ0ETT14000045,2015-03-18,Additions & Alterations (A&A) Works to Review and Enhance Tuas Checkpoint Entrance and Security Pass Office,Ministry of Home Affairs-Ministry Headquarter,0,Awarded to No Suppliers,na
HOMHQ0ETT14000057,2015-04-08,Supply and Installation of Dental Equipment to Singapore Prison Service with Options for up to 5 Years Post Warranty Maintenance,Ministry of Home Affairs-Ministry Headquarter,226080,Awarded to Suppliers,FONDACO PTE LTD
HOMHQ0ETT14000059,2015-01-29,Supply And Delivery Of Socks For Home Team Departments,Ministry of Home Affairs-Ministry Headquarter,56235,Awarded to Suppliers,A.G.T Marketing Pte Ltd
HOMHQ0ETT14000059,2015-01-29,Supply And Delivery Of Socks For Home Team Departments,Ministry of Home Affairs-Ministry Headquarter,446850,Awarded to Suppliers,Lin Ho (Private) Limited
HOMHQ0ETT14000063,2015-02-12,Provision of Customised Lifeskills Programme: Thinking For Change,Ministry of Home Affairs-Ministry Headquarter,1512000,Awarded to Suppliers,KO'ACH DEVELOPMENT PTE. LTD.
HOMHQ0ETT14000076,2015-01-15,OPERATION OF VISIT SHOP AND COUNTERS FOR SINGAPORE PRISON SERVICE FOR A CONFIRMED PERIOD OF 2 YEARS WITH AN OPTION TO EXTEND FOR ANOTHER 2 YEARS,Ministry of Home Affairs-Ministry Headquarter,0,Awarded to No Suppliers,na
HOMHQ0ETT14000088,2015-02-03,"Comprehensive Maintenance OF Facilities At Mandai Police Tactical Training Camp (PTTC), Special Operations Command For A Period Of Eight (8) Months And Queensway Base, Special Operations Command For A Period Of Two (2) Years",Ministry of Home Affairs-Ministry Headquarter,60336,Awarded to Suppliers,CLD CONSTRUCTION PTE. LTD.
