tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
LAWHQ0ETT14000012,2015-01-06,"PROVISION FOR DESIGNING, PROPOSING, SUPPLYING, DELIVERING, INSTALLING, INTEGRATING, TESTING AND COMMISSIONING VOICE OVER INTERNET PROTOCOL (""VOIP"") TELEPHONY SYSTEM",Ministry of Law-Ministry Headquarter,0,Awarded to No Suppliers,na
LAWHQ0ETT14000023,2015-07-29,"INVITATION TO TENDER FOR THE PROVISION OF PROJECT CONSULTANCY AND OTHER SERVICES FOR ENVIRONMENTAL SITE ASSESSMENT AND THE PROPOSED REMEDIATION OF THE FORMER BRITISH PETROLEUM REFINERY SITE AT 1 PASIR PANJONG ROAD, SINGAPORE 118479",Ministry of Law-Ministry Headquarter,1888888,Awarded to Suppliers,ENVIRONMENTAL RESOURCES MANAGEMENT (S) PTE LTD
LAWHQ0ETT14000024,2015-04-14,"Design, Development, Supply, Delivery, Installation, Testing, Training and Commissioning with the option to maintain, the ROMP II System",Ministry of Law-Ministry Headquarter,1080240,Awarded to Suppliers,NCS PTE. LTD.
LAWHQ0ETT14000025,2015-04-07,INVITATION TO TENDER FOR THE DEMOLITION WORKS AT 30 PASIR RIS COAST INDUSTRIAL PARK 3,Ministry of Law-Ministry Headquarter,210800,Awarded to Suppliers,TANG'S ENGINEERING PTE LTD
LAWHQ0ETT14000026,2015-05-19,"Design, Development, Supply, Delivery, Installation, Testing, Migration, Training, Documentation, Commissioning and Maintenance of a New File Registry System (eFRS)",Ministry of Law-Ministry Headquarter,1479838,Awarded to Suppliers,I-MAGINATION SOLUTION PTE. LTD.
LAWHQ0ETT15000002,2015-06-09,INVITATION TO TENDER FOR THE DEMOLITION OF 305 BEDOK NORTH ROAD (FORMER FENG SHAN PRIMARY SCHOOL),Ministry of Law-Ministry Headquarter,33000,Awarded to Suppliers,ZHENG CONSTRUCTION EQUIPMENTS PTE. LTD.
LAWHQ0ETT15000004,2015-07-08,Provision of Consultancy Services to carry out a Business Process Review Study for the Insolvency Office,Ministry of Law-Ministry Headquarter,786000,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
LAWHQ0ETT15000010,2015-06-16,Provision for integrated facilities management services for a period of one year with an option to extend for another two years,Ministry of Law-Ministry Headquarter,1034313,Awarded to Suppliers,EXCELTEC PROPERTY MANAGEMENT PTE LTD
LAWHQ0ETT15000011,2016-09-29,"Invitation to Tender for the Provision of Multi-Disciplinary Consultancy Services for the Proposed Construction and Renovation Works to No.14,16,18,20,22 and 24 Kay Siang Road",Ministry of Law-Ministry Headquarter,535833.51,Awarded to Suppliers,FORMWERKZ ARCHITECTS LLP
LAWHQ0ETT15000012,2015-11-12,Provision of records & mail management services for a period of 2 years with an option to extend for another 2 years.,Ministry of Law-Ministry Headquarter,3991650.3,Awarded to Suppliers,ST Logistics Pte. Ltd.
LAWHQ0ETT15000013,2015-09-21,"The Contractor is expected to first review the draft survey questionnaire (provided by the Authority) according to the Authority's requirements. The Contractor should then conduct a 1st round of Focus Group Discussions (FGDs) to help refine the survey, and then conduct door-to-door interviews with respondents at their residence. The Contractor should conduct a 2nd round of FGDs to provide richer context for interpretation of the statistical results obtained through the survey.",Ministry of Law-Ministry Headquarter,145470,Awarded to Suppliers,FORBES RESEARCH PTE LTD
LAWHQ0ETT15000014,2015-07-15,Provision of Perception Studies and Survey Services,Ministry of Law-Ministry Headquarter,649200,Awarded to Suppliers,XPRESSWORKS PTE LTD
LAWHQ0ETT15000015,2015-11-18,INVITATION TO TENDER FOR REPAIR OF STATE PROPERTY AT 198 TURF CLUB ROAD,Ministry of Law-Ministry Headquarter,91000,Awarded to Suppliers,NAT AIRE BUILDER & DISTRIBUTION PTE. LTD.
LAWHQ0ETT15000016,2015-07-31,Provision of IT Disaster Recovery Services from 1 Aug 2015 for three (3) Years with an option to extend one (1) Year,Ministry of Law-Ministry Headquarter,382128,Awarded to Suppliers,HEWLETT-PACKARD SINGAPORE (SALES) PTE. LTD.
LAWHQ0ETT15000018,2015-08-24,"Request for Proposal to Design, Develop, Establish and Operate a Moneylenders Credit Bureau",Ministry of Law-Ministry Headquarter,0.5,Awarded to Suppliers,DP INFORMATION NETWORK PTE LTD
LAWHQ0ETT15000019,2015-10-09,"Invitation to Tender for Provision of Internal Audit Services on Financial, Business and IT Processes for Ministry of Law for FY2015 to FY2017 with an Option to Extend to FY2019",Ministry of Law-Ministry Headquarter,785700,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
LAWHQ0ETT15000020,2015-10-21,INVITATION TO TENDER FOR THE DEMOLITION OF STATE PROPERTY AT 151 TOWNER ROAD (FORMER ITE BALESTIER),Ministry of Law-Ministry Headquarter,86000,Awarded to Suppliers,AIK SUN DEMOLITION & ENGINEERING PTE LTD
LAWHQ0ETT15000021,2015-12-02,INVITATION TO TENDER FOR PROJECT CONSULTANCY SERVICES FOR THE PROPOSED CONSTRUCTION AND RENOVATION WORKS TO NO.2 SETON CLOSE,Ministry of Law-Ministry Headquarter,63168.79,Awarded to Suppliers,HYLA ARCHITECTS
LAWHQ0ETT15000022,2015-09-25,INVITATION TO TENDER FOR TERM CONTRACT TO PROVIDE E-HELPER SERVICE FOR ASSISTING MEMBERS OF THE PUBLIC TO E-FILE DOCUMENTS AT MINLAW SERVICES CENTRE,Ministry of Law-Ministry Headquarter,402.8,Awarded to Suppliers,CRIMSONLOGIC PTE LTD
LAWHQ0ETT15000023,2016-01-21,"PROVISION OF SERVICES FOR THE SALE OF A TWO- STOREY SHOPHOUSE LOCATED AT GEYLANG ROAD, SINGAPORE",Ministry of Law-Ministry Headquarter,0.28,Awarded to Suppliers,EDMUND TIE & COMPANY (SEA) PTE. LTD
LAWHQ0ETT15000024,2016-01-11,Invitation to Tender (ITT) for Digital Communications Services,Ministry of Law-Ministry Headquarter,78000,Awarded to Suppliers,"WAGGENER EDSTROM WORLDWIDE, INC."
LAWHQ0ETT15000025,2016-03-21,"INVITATION TO TENDER FOR THE DEMOLITION OF STATE PROPERTY AT SELETAR WEST FARMWAY 6 (BLOCKS 1, 6, 7 BIN CENTRE AND ELECTRICAL SUBSTATION AT FORMER SELETAR FLATS)",Ministry of Law-Ministry Headquarter,75000,Awarded to Suppliers,BENG HENG ENGINEERING PTE LTD
LAWHQ0ETT15000027,2016-07-28,"Supply, Design, Delivery, Installation, Configuration, Agile Development in Sprints, Testing, Training, Security Audit and Commissioning of a Fully Operational Enterprise Customer Relationships Management System (eCRM) with an Option for Maintenance and Support, enhancement and Additional Training Services",Ministry of Law-Ministry Headquarter,2076205,Awarded to Suppliers,NCS PTE. LTD.
LAWHQ0ETT16000001,2016-04-28,INVITATION TO TENDER FOR THE DEMOLITION OF VACANT STATE PROPERTIES AT PUNGGOL ROAD (FORMER PUNGGOL FISH FARM),Ministry of Law-Ministry Headquarter,20500,Awarded to Suppliers,BENLY CONSTRUCTION COMPANY PTE. LTD.
LAWHQ0ETT16000002,2016-02-26,Invitation to Tender for provision of Maintenance for IBM Blade Servers and V7000 Hardware,Ministry of Law-Ministry Headquarter,253736,Awarded to Suppliers,NCS PTE. LTD.
LAWHQ0ETT16000003,2016-04-18,PROVISION FOR SSID CARD ACCESS CONTROL SYSTEM WITH CENTRAL ALARM MONITORING SERVICES,Ministry of Law-Ministry Headquarter,141990,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.
LAWHQ0ETT16000004,2016-07-05,ENVIRONMENTAL SITE ASSESSMENT AND CONSULTANCY SERVICES,Ministry of Law-Ministry Headquarter,1571345,Awarded to Suppliers,AECOM SINGAPORE PTE. LTD.
LAWHQ0ETT16000005,2016-06-09,PROVISION OF QUANTITY SURVEYING CONSULTANCY SERVICES FOR THE PROPOSED ADDITION AND ALTERATION WORKS TO RED DOT BUILDING AT 28 MAXWELL ROAD,Ministry of Law-Ministry Headquarter,1.01,Awarded to Suppliers,ARCADIS SINGAPORE PTE. LTD.
