tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
MOMLINETT14000006,2015-04-01,PERIOD CONTRACT FOR THE SUPPLY OF PROFESSIONAL SERVICES TO MINISTRY OF MANPOWER FOR THE DEVELOPMENT OF BUSINESS ANALYTICS APPLICATIONS,Ministry of Manpower - Foreign Manpower Management Division,5430,Awarded to Suppliers,ACCENTURE PTE LTD
MOMLINETT14000006,2015-04-01,PERIOD CONTRACT FOR THE SUPPLY OF PROFESSIONAL SERVICES TO MINISTRY OF MANPOWER FOR THE DEVELOPMENT OF BUSINESS ANALYTICS APPLICATIONS,Ministry of Manpower - Foreign Manpower Management Division,2440,Awarded to Suppliers,COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.
MOMLINETT14000006,2015-04-01,PERIOD CONTRACT FOR THE SUPPLY OF PROFESSIONAL SERVICES TO MINISTRY OF MANPOWER FOR THE DEVELOPMENT OF BUSINESS ANALYTICS APPLICATIONS,Ministry of Manpower - Foreign Manpower Management Division,1690,Awarded to Suppliers,DXC TECHNOLOGY SINGAPORE PTE. LTD.
MOMLINETT14000006,2015-04-01,PERIOD CONTRACT FOR THE SUPPLY OF PROFESSIONAL SERVICES TO MINISTRY OF MANPOWER FOR THE DEVELOPMENT OF BUSINESS ANALYTICS APPLICATIONS,Ministry of Manpower - Foreign Manpower Management Division,5520,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
MOMLINETT14000006,2015-04-01,PERIOD CONTRACT FOR THE SUPPLY OF PROFESSIONAL SERVICES TO MINISTRY OF MANPOWER FOR THE DEVELOPMENT OF BUSINESS ANALYTICS APPLICATIONS,Ministry of Manpower - Foreign Manpower Management Division,5000,Awarded to Suppliers,SIFT ANALYTICS GROUP PTE. LTD.
MOMLINETT14000006,2015-04-01,PERIOD CONTRACT FOR THE SUPPLY OF PROFESSIONAL SERVICES TO MINISTRY OF MANPOWER FOR THE DEVELOPMENT OF BUSINESS ANALYTICS APPLICATIONS,Ministry of Manpower - Foreign Manpower Management Division,1680,Awarded to Suppliers,TATA CONSULTANCY SERVICES ASIA PACIFIC PTE. LTD.
MOMLINETT14000007,2015-05-21,"SUPPLY, DESIGN, DEVELOPMENT, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL MULTIMEDIA CONTENT MANAGEMENT SYSTEM WITH AN OPTION FOR ADDITIONAL SCOPE OF WORK. PLEASE REFER TO ATTACH DOCUMENTS FOR DETAILS",Ministry of Manpower - Foreign Manpower Management Division,1446464,Awarded to Suppliers,PCS SECURITY PRIVATE LIMITED
MOMLINETT15000001,2016-01-29,Tender for the Supply and Delivery of 3 Saloon Cars and 4 Multi-Purpose Vehicles (MPVs).,Ministry of Manpower - Foreign Manpower Management Division,235472,Awarded to Suppliers,BORNEO MOTORS (SINGAPORE) PTE. LTD.
MOMLINETT15000001,2016-01-29,Tender for the Supply and Delivery of 3 Saloon Cars and 4 Multi-Purpose Vehicles (MPVs).,Ministry of Manpower - Foreign Manpower Management Division,102000,Awarded to Suppliers,Komoco Motors Pte Ltd
MOMLINETT15000002,2015-12-04,ENGAGING A CONTRACTOR TO CONDUCT AND DEVELOP AN EDUCATIONAL PROGRAMME,Ministry of Manpower - Foreign Manpower Management Division,199800,Awarded to Suppliers,GRACE MANAGEMENT & CONSULTANCY SERVICES PTE. LTD.
MOMLINETT16000001,2016-06-01,Provision of Inspection Services by Auxiliary Enforcement Officers for a Period of Three Years,Ministry of Manpower - Foreign Manpower Management Division,1842048,Awarded to Suppliers,POLWEL Co-operative Society Limited
MOMLINETT16000002,2016-12-19,Appointment of an operator to provide housing and meals for female foreign workers for a period of one year with an option for six months and another six months extension,Ministry of Manpower - Foreign Manpower Management Division,0,Awarded to No Suppliers,na
MOMLINETT17000002,2017-06-20,Provision of subscription-based survey service for Ministry of Manpower,Ministry of Manpower - Foreign Manpower Management Division,577100,Awarded to Suppliers,GLOBALSIGN.IN PTE. LTD.
MOMLINETT17300001,2017-11-09,Invitation to Tender for the Provision of Housing and Meals for FMMD's Female Foreigners,Ministry of Manpower - Foreign Manpower Management Division,1382373.6,Awarded to Suppliers,TS GROUP PTE. LTD.
