tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
MOMISDETT15000001,2015-06-26,Invitation to Tender for Provision of Telephony Systems Maintenance and Support Services with Options,Ministry of Manpower-Information Systems & Technology Department,449056,Awarded to Suppliers,3D NETWORKS SINGAPORE PTE. LTD.
MOMISDETT15000001,2015-06-26,Invitation to Tender for Provision of Telephony Systems Maintenance and Support Services with Options,Ministry of Manpower-Information Systems & Technology Department,488928,Awarded to Suppliers,JEBSEN & JESSEN COMMUNICATIONS (S) PTE LTD
MOMISDETT15000002,2015-09-08,"Invitation to Tender for the Supply, Delivery and Support of CRM Software Maintenance with Option to Purchase Additional CRM Software License.",Ministry of Manpower-Information Systems & Technology Department,477781.5,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd
MOMISDETT16000001,2016-08-01,Invitation to Tender for the Provision of Software Maintenance and Support Services For a Period of Base One(1) Year and Option to Extend on Yearly Basis Up to Two(2) Years.,Ministry of Manpower-Information Systems & Technology Department,402993,Awarded to Suppliers,JARDINE ONESOLUTION (2001) PTE LTD
MOMISDETT16000001,2016-08-01,Invitation to Tender for the Provision of Software Maintenance and Support Services For a Period of Base One(1) Year and Option to Extend on Yearly Basis Up to Two(2) Years.,Ministry of Manpower-Information Systems & Technology Department,6531015.7,Awarded to Suppliers,NCS PTE. LTD.
MOMISDETT16000001,2016-08-01,Invitation to Tender for the Provision of Software Maintenance and Support Services For a Period of Base One(1) Year and Option to Extend on Yearly Basis Up to Two(2) Years.,Ministry of Manpower-Information Systems & Technology Department,4251,Awarded to Suppliers,ST ELECTRONICS (ENTERPRISE 1) PTE. LTD.
MOMISDETT17000002,2017-07-12,Invitation to Tender for the Provision of Usability Services for the Ministry of Manpower,Ministry of Manpower-Information Systems & Technology Department,440270,Awarded to Suppliers,MIND LENS WORLDWIDE PTE. LTD.
MOMISDETT17000003,2017-08-31,Invitation to Tender for the Provision of Hardware and System Software Maintenance Services.,Ministry of Manpower-Information Systems & Technology Department,725327,Awarded to Suppliers,AXENTEL TECHNOLOGIES PTE. LTD.
MOMISDETT17000003,2017-08-31,Invitation to Tender for the Provision of Hardware and System Software Maintenance Services.,Ministry of Manpower-Information Systems & Technology Department,544160,Awarded to Suppliers,JARDINE ONESOLUTION (2001) PTE LTD
MOMISDETT17000003,2017-08-31,Invitation to Tender for the Provision of Hardware and System Software Maintenance Services.,Ministry of Manpower-Information Systems & Technology Department,1142635.29,Awarded to Suppliers,NCS PTE. LTD.
