tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
MOMHQ0ETT14000010,2015-06-12,"Request for Proposal for the Appointment of agency(s) for the development, management and implementation of an integrated public and marketing communications plan for two broad themes, with the option to work on additional themes (up to three) under the Ministry of Manpower, for a period of one (1) year, with the option to extend for another one (1) year.",Ministry of Manpower-Ministry Headquarter,1120586.32,Awarded to Suppliers,BRIQ PTE. LTD.
MOMHQ0ETT14000010,2015-06-12,"Request for Proposal for the Appointment of agency(s) for the development, management and implementation of an integrated public and marketing communications plan for two broad themes, with the option to work on additional themes (up to three) under the Ministry of Manpower, for a period of one (1) year, with the option to extend for another one (1) year.",Ministry of Manpower-Ministry Headquarter,556500,Awarded to Suppliers,BURSON-MARSTELLER (S.E.A.) PTE. LTD.
MOMHQ0ETT14000010,2015-06-12,"Request for Proposal for the Appointment of agency(s) for the development, management and implementation of an integrated public and marketing communications plan for two broad themes, with the option to work on additional themes (up to three) under the Ministry of Manpower, for a period of one (1) year, with the option to extend for another one (1) year.",Ministry of Manpower-Ministry Headquarter,1181464.35,Awarded to Suppliers,"DENTSU, YOUNG & RUBICAM PTE LTD"
MOMHQ0ETT14000010,2015-06-12,"Request for Proposal for the Appointment of agency(s) for the development, management and implementation of an integrated public and marketing communications plan for two broad themes, with the option to work on additional themes (up to three) under the Ministry of Manpower, for a period of one (1) year, with the option to extend for another one (1) year.",Ministry of Manpower-Ministry Headquarter,113375,Awarded to Suppliers,EDELMAN PUBLIC RELATIONS WORLDWIDE PTE LTD
MOMHQ0ETT14000010,2015-06-12,"Request for Proposal for the Appointment of agency(s) for the development, management and implementation of an integrated public and marketing communications plan for two broad themes, with the option to work on additional themes (up to three) under the Ministry of Manpower, for a period of one (1) year, with the option to extend for another one (1) year.",Ministry of Manpower-Ministry Headquarter,1960364,Awarded to Suppliers,GROUPM SINGAPORE PTE. LTD.
MOMHQ0ETT14000010,2015-06-12,"Request for Proposal for the Appointment of agency(s) for the development, management and implementation of an integrated public and marketing communications plan for two broad themes, with the option to work on additional themes (up to three) under the Ministry of Manpower, for a period of one (1) year, with the option to extend for another one (1) year.",Ministry of Manpower-Ministry Headquarter,137950,Awarded to Suppliers,TACTIC PUBLIC RELATIONS
MOMHQ0ETT14000016,2015-02-23,Invitation to Tender For The Provision Of Call And Email Services And Management For Ministry Of Manpower (MOM),Ministry of Manpower-Ministry Headquarter,223028240,Awarded to Suppliers,NCS PTE. LTD.
MOMHQ0ETT14000018,2015-05-26,"Provision of Cleaning Services to the Ministry of Manpower at MOMSC & MOMHQ for a base period of three(3) years with an option to extend on a yearly basis, for a maximum of two(2) years.",Ministry of Manpower-Ministry Headquarter,6923680,Awarded to Suppliers,NAFA SYSTEM SERVICES PTE LTD
MOMHQ0ETT14000021,2015-05-04,"Invitation to Tender for the Supply, Delivery, Installation, Testing, Commissioning of a Fully Operational Video Conferencing System for Ministry of Manpower",Ministry of Manpower-Ministry Headquarter,241270.45,Awarded to Suppliers,NCS PTE. LTD.
MOMHQ0ETT14000022,2015-11-25,Request for Proposal for the Provision of Legal Services,Ministry of Manpower-Ministry Headquarter,29060,Awarded to Suppliers,LEE & LEE
MOMHQ0ETT14000022,2015-11-25,Request for Proposal for the Provision of Legal Services,Ministry of Manpower-Ministry Headquarter,79540,Awarded to Suppliers,TITO ISAAC & CO LLP
MOMHQ0ETT14000022,2015-11-25,Request for Proposal for the Provision of Legal Services,Ministry of Manpower-Ministry Headquarter,40800,Awarded to Suppliers,YEO-LEONG & PEH LLC
MOMHQ0ETT15000002,2015-07-20,"Term contract for maintenance of mechanical, electrical systems and building works to MOM for a period of 2 years with an option to extend on a yearly basis, for a maximum of 2 years",Ministry of Manpower-Ministry Headquarter,3253366,Awarded to Suppliers,VICTOR ENGINEERING & TRADING PTE LTD
MOMHQ0ETT15000005,2015-09-17,Provision of Comprehensive Maintenance of Lifts and Escalators to MOMHQ & MOMSC for a period of two (2)years with an option to extend on a yearly basis up to a maximum of two (2) years.,Ministry of Manpower-Ministry Headquarter,406347.6,Awarded to Suppliers,LIFT HUB ENGINEERING PTE. LTD.
MOMHQ0ETT15000006,2015-10-22,Request for Proposal (RFP) for the Provision of Managed Print Services (MPS) for Three years with an option to extend on a yearly basis up to a maximum of Two years,Ministry of Manpower-Ministry Headquarter,1737470,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
MOMHQ0ETT15000007,2015-09-25,"Provision of horticulture services for the Ministry of Manpower Services Centre at 1500 Bendemeer Road, Singapore 339946 and Ministry of Manpower HQ at 18 Havelock Road, Singapore 059764 for a base period of 2 years with an option to extend on a yearly basis up to a maximum of 2 years",Ministry of Manpower-Ministry Headquarter,157624,Awarded to Suppliers,BAN NEE CHEN PTE. LTD.
MOMHQ0ETT15000007,2015-09-25,"Provision of horticulture services for the Ministry of Manpower Services Centre at 1500 Bendemeer Road, Singapore 339946 and Ministry of Manpower HQ at 18 Havelock Road, Singapore 059764 for a base period of 2 years with an option to extend on a yearly basis up to a maximum of 2 years",Ministry of Manpower-Ministry Headquarter,289600,Awarded to Suppliers,LOVELY LANDSCAPE AND CONSTRUCTION PTE. LTD.
MOMHQ0ETT15000008,2015-11-03,Provision of Non-Comprehensive Maintenance Services of Security Systems at MOMSC & MOMHQ for 2 years with 2 options to extend on a yearly basis for a period of 1 year each,Ministry of Manpower-Ministry Headquarter,1056289,Awarded to Suppliers,ADEMCO (FAR EAST) PTE LTD
MOMHQ0ETT15000009,2015-09-30,Invitation to Tender for the Conduct of Resource Planning Study.,Ministry of Manpower-Ministry Headquarter,380000,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.
MOMHQ0ETT15000010,2016-02-25,Invitation to Tender for the Provision of Off-Site Storage Services For the Ministry of Manpower.,Ministry of Manpower-Ministry Headquarter,0.37,Awarded to Suppliers,IRON MOUNTAIN SINGAPORE PTE. LIMITED
