tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NATHQ0ETT14000020,2015-02-15,PUBLIC COMMUNICATIONS CAMPAIGN OF MNDS POLICIES AND PROGRAMMES,Ministry of National Development-Ministry Headquarter,3429595,Awarded to Suppliers,DDB Worldwide Pte Ltd
NATHQ0ETT14000026,2015-04-02,"INVITATION TO TENDER FOR THE APPOINTMENT OF A VENDOR FOR THE DESIGN, LAYOUT, PRINTING AND DELIVERY OF EIGHT URBAN SYSTEM STUDIES BOOKS",Ministry of National Development-Ministry Headquarter,182400,Awarded to Suppliers,REDBEAN DE PTE. LTD.
NATHQ0ETT14000027,2015-01-07,RESEARCH GRANT PROGRAMME MANAGEMENT SERVICES FOR MINISTRY OF NATIONAL DEVELOPMENT (MND) FOR A PERIOD OF TWO YEARS,Ministry of National Development-Ministry Headquarter,1477632,Awarded to Suppliers,CONEX SYSTEMS AND SERVICES (PTE. LTD.)
NATHQ0ETT14000029,2015-02-17,PROVISION OF OUTDOOR ADVERTISING SERVICES,Ministry of National Development-Ministry Headquarter,164271.6,Awarded to Suppliers,THE MEDIA SHOP GROUP PTE. LTD.
NATHQ0ETT15000001,2015-03-12,INVITATION TO TENDER FOR THE PRODUCTION OF URBAN SOLUTIONS MAGAZINE (EDITORIAL SERVICES),Ministry of National Development-Ministry Headquarter,121000,Awarded to Suppliers,TUBER PRODUCTIONS PTE. LTD.
NATHQ0ETT15000005,2015-04-24,INVITATION TO TENDER FOR THE APPOINTMENT of event organiser(s) to support CLC's work for a period of 12 months,Ministry of National Development-Ministry Headquarter,378120,Awarded to Suppliers,EUREKA! CAMPAIGN ASSOCIATES PTE. LTD.
NATHQ0ETT15000006,2015-05-28,INVITATION TO TENDER FOR THE APPOINTMENT OF A VENDOR FOR THE PROVISION OF 1) EDITORIAL 2) DESIGN AND LAYOUT AND 3) PRINTING AND DELIVERY FOR CLC'S URBAN PIONEERS BOOK.,Ministry of National Development-Ministry Headquarter,131289,Awarded to Suppliers,Green House Design & Communications Pte. Ltd.
NATHQ0ETT15000007,2015-06-18,"INVITATION TO TENDER FOR THE DESIGN, PRODUCTION AND DISTRIBUTION OF EVENT COLLATERALS",Ministry of National Development-Ministry Headquarter,78550,Awarded to Suppliers,LIQUIDLAB COMMUNICATIONS PTE. LTD.
NATHQ0ETT15000008,2015-06-17,INVITATION TO TENDER FOR LAND AND LIVEABILITY NATIONAL INNOVATION CHALLENGE (L2NIC) INTERNATIONAL ADVISORY PANEL (IAP) MEETING 2015,Ministry of National Development-Ministry Headquarter,111777.53,Awarded to Suppliers,SHANGRI-LA HOTEL LIMITED
NATHQ0ETT15000009,2015-05-28,INVITATION TO TENDER FOR THE PROVISION OF SURVEY fieldwork and data entry services,Ministry of National Development-Ministry Headquarter,296000,Awarded to Suppliers,FORBES RESEARCH PTE LTD
NATHQ0ETT15000010,2015-05-13,INVITATION TO TENDER FOR THE PROVISION OF DAILY NEWS MONITORING SERVICES,Ministry of National Development-Ministry Headquarter,490400,Awarded to Suppliers,INSIGHTMATRIX
NATHQ0ETT15000011,2015-06-07,INVITATION TO TENDER FOR EXHIBITION SERVICES FOR A MND FAMILY EXHIBITION,Ministry of National Development-Ministry Headquarter,630411.11,Awarded to Suppliers,Pico Art International Pte Ltd
NATHQ0ETT15000012,2015-08-03,INVITATION TO TENDER RESEARCH GRANT PROGRAMME MANAGEMENT SERVICES FOR MINISTRY OF NATIONAL DEVELOPMENT (MND) FOR A PERIOD OF TWENTY MONTHS,Ministry of National Development-Ministry Headquarter,300000,Awarded to Suppliers,CONEX SYSTEMS AND SERVICES (PTE. LTD.)
NATHQ0ETT15000013,2015-09-15,INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT OF MYHOMETOWN.SG PORTAL (Ministry of National Development),Ministry of National Development-Ministry Headquarter,209600,Awarded to Suppliers,WHOOSHPRO PTE. LTD.
NATHQ0ETT15000014,2016-01-04,"INVITATION TO TENDER FOR RENOVATION WORKS TO OFFICE AT LEVEL 7, THE URBAN REDEVELOPMENT AUTHORITY (URA) CENTRE",Ministry of National Development-Ministry Headquarter,337000,Awarded to Suppliers,SLA DESIGN CONSULTANTS (S) PTE LTD
NATHQ0ETT15000015,2016-01-02,Invitation to Tender Provision of Outdoor Advertising Services for a period of (6) Months,Ministry of National Development-Ministry Headquarter,147190.88,Awarded to Suppliers,LINS ADVERTISING & MARKETING PTE LTD
NATHQ0ETT15000016,2016-01-25,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,Ministry of National Development-Ministry Headquarter,2,Awarded to Suppliers,CBRE PTE. LTD.
NATHQ0ETT15000016,2016-01-25,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,Ministry of National Development-Ministry Headquarter,2,Awarded to Suppliers,CORPORATE VISIONS PTE. LTD.
NATHQ0ETT15000016,2016-01-25,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,Ministry of National Development-Ministry Headquarter,1,Awarded to Suppliers,EDMUND TIE & COMPANY (SEA) PTE. LTD
NATHQ0ETT15000016,2016-01-25,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,Ministry of National Development-Ministry Headquarter,2,Awarded to Suppliers,KNIGHT FRANK PTE LTD
NATHQ0ETT15000017,2016-01-12,Invitation to Tender for Provision of Horticulture Services for the Ministry of National Development (MND) Complex for a period of Four (4) Years with an Option to Renew for one (1) year,Ministry of National Development-Ministry Headquarter,542000,Awarded to Suppliers,BSG LANDSCAPE & CONSTRUCTION PTE. LTD.
