tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CDVECDETT14000003,2015-01-25,Invitation to Tender for the Provision of Venue and Related Services for the ECDA Early Childhood Conference & Carnival 2015 (ECCC 2015),Ministry of Social and Family Development - Early Childhood Development Agency,890017.59,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE
CDVECDETT15000001,2015-05-13,Invitation to Tender for the Provision of Training on the Nurturing Early Learners (NEL) Framework for Mother Tongue Languages (MTLs),Ministry of Social and Family Development - Early Childhood Development Agency,1983000,Awarded to Suppliers,NATIONAL INSTITUTE OF EDUCATION
CDVECDETT15000003,2015-05-21,"Provision of Social Workers, Social Work Assistants Or Community Workers To Conduct Pre-School Outreach For 5 And 6 Years Old Singaporean Children Who Are Identified As Not Attending Pre-School Or Having Poor Attendance In The Pre-School In 2015",Ministry of Social and Family Development - Early Childhood Development Agency,63300,Awarded to Suppliers,ASSOCIATION OF MUSLIM PROFESSIONALS
CDVECDETT15000003,2015-05-21,"Provision of Social Workers, Social Work Assistants Or Community Workers To Conduct Pre-School Outreach For 5 And 6 Years Old Singaporean Children Who Are Identified As Not Attending Pre-School Or Having Poor Attendance In The Pre-School In 2015",Ministry of Social and Family Development - Early Childhood Development Agency,116700,Awarded to Suppliers,SINGAPORE CHILDREN'S SOCIETY
CDVECDETT15000003,2015-05-21,"Provision of Social Workers, Social Work Assistants Or Community Workers To Conduct Pre-School Outreach For 5 And 6 Years Old Singaporean Children Who Are Identified As Not Attending Pre-School Or Having Poor Attendance In The Pre-School In 2015",Ministry of Social and Family Development - Early Childhood Development Agency,51750,Awarded to Suppliers,SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA)
CDVECDETT15000004,2015-05-13,Invitation to Tender for the Provision of Event Management (EM) for Early Childhood Development Agency (ECDA) Early Childhood Conference & Carnival (ECCC) 2015,Ministry of Social and Family Development - Early Childhood Development Agency,162050,Awarded to Suppliers,FIRST WAVE PTE. LTD.
CDVECDETT15000005,2015-08-12,Invitation to Tender for the Provision of Audit Service on Child Care Subsidy Claims by Centres for the Period April 2014 to March 2015 and April 2015 to Mar 2016 (FY 2014 and FY 2015) with an Option to Renew Service for Another Year,Ministry of Social and Family Development - Early Childhood Development Agency,617320,Awarded to Suppliers,YONG FAN KIONG & CO
CDVECDETT15000006,2015-08-28,INVITATION TO TENDER FOR THE ORGANISATION OF EXHIBITION AND FRINGE ACTIVITIES FOR EARLY CHILDHOOD CONFERENCE & CARNIVAL (ECCC) 2015,Ministry of Social and Family Development - Early Childhood Development Agency,164100,Awarded to Suppliers,MACRO EVENTS PTE LTD
CDVECDETT15000007,2015-10-06,INVITATION TO TENDER FOR THE PROVISION OF CONSULTANCY SERVICES FOR AN EARLY CHILDHOOD SECTOR MANPOWER STUDY,Ministry of Social and Family Development - Early Childhood Development Agency,240000,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.
CDVECDETT15000008,2016-01-04,Invitation to Tender for the Provision of Venue and Related Services for the ECDA Early Childhood Conference 2016 (ECC2016),Ministry of Social and Family Development - Early Childhood Development Agency,487633.85,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE
CDVECDETT16000001,2016-05-10,"Invitation to Tender for the Provision of Service(s) To Conduct Pre-School Outreach to Families of Singaporean Children, Aged 3 6 Years Old, Who Are Identified As Not In Pre-School or Have Poor Pre-School Attendance",Ministry of Social and Family Development - Early Childhood Development Agency,608400,Awarded to Suppliers,SINGAPORE CHILDREN'S SOCIETY
CDVECDETT16000001,2016-05-10,"Invitation to Tender for the Provision of Service(s) To Conduct Pre-School Outreach to Families of Singaporean Children, Aged 3 6 Years Old, Who Are Identified As Not In Pre-School or Have Poor Pre-School Attendance",Ministry of Social and Family Development - Early Childhood Development Agency,130000,Awarded to Suppliers,SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA)
CDVECDETT16000002,2016-05-09,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT (EM) SERVICES TO EARLY CHILDHOOD DEVELOPMENT AGENCY (ECDA) FOR EARLY CHILDHOOD CONFERENCE (ECC) 2016,Ministry of Social and Family Development - Early Childhood Development Agency,218370,Awarded to Suppliers,MACRO EVENTS PTE LTD
CDVECDETT16000003,2016-08-04,"INVITATION TO TENDER FOR THE PROVISION OF EDITORIAL, DESIGN, PRODUCTION AND DELIVERY SERVICES OF THE QUARTERLY EARLY CHILDHOOD MAGAZINE",Ministry of Social and Family Development - Early Childhood Development Agency,151200,Awarded to Suppliers,MEDIACORP PTE. LTD.
CDVECDETT16000004,2016-08-24,INVITATION TO TENDER FOR THE PROVISION OF TRAINING ON THE NURTURING EARLY LEARNERS (NEL) EDUCATORS GUIDE FOR MOTHER TONGUE LANGUAGES,Ministry of Social and Family Development - Early Childhood Development Agency,452000,Awarded to Suppliers,SEED INSTITUTE PTE. LTD.
CDVECDETT16000005,2016-10-28,Invitation to Tender for the Provision of digital services for the 1-year maintenance of Beanstalk Facebook Page,Ministry of Social and Family Development - Early Childhood Development Agency,197480,Awarded to Suppliers,TECHLYON PTE. LTD.
CDVECDETT16000006,2017-01-20,Invitation to Tender for the Provision of Grant Audit Services,Ministry of Social and Family Development - Early Childhood Development Agency,173000,Awarded to Suppliers,ECOVIS ASSURANCE LLP
CDVECDETT16000007,2017-02-01,Invitation to Tender for the Provision of Venue and Related Services for the ECDA Early Childhood Conference 2017 (ECC2017),Ministry of Social and Family Development - Early Childhood Development Agency,489311.15,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE
CDVECDETT17000002,2017-05-19,INVITATION TO TENDER FOR THE OUTCOME EVALUATION STUDY ON KIDSTART PILOT PROGRAMME,Ministry of Social and Family Development - Early Childhood Development Agency,5833236.96,Awarded to Suppliers,SAVE THE CHILDREN AUSTRALIA
CDVECDETT17000003,2017-09-22,INVITATION TO TENDER FOR THE PROVISION OF APPLICATION DEVELOPMENT AND MAINTENANCE SERVICES FOR THE CENTRE MANAGEMENT SYSTEM,Ministry of Social and Family Development - Early Childhood Development Agency,9699659,Awarded to Suppliers,NCS PTE. LTD.
CDVECDETT17000004,2017-06-05,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT (EM) SERVICES TO EARLY CHILDHOOD DEVELOPMENT AGENCY (ECDA) FOR EARLY CHILDHOOD CONFERENCE (ECC) 2017,Ministry of Social and Family Development - Early Childhood Development Agency,335502.5,Awarded to Suppliers,FIRST WAVE PTE. LTD.
CDVECDETT17000005,2017-07-10,"Invitation to Tender for the Provision of Services to Recruit, Manage and Train Facilitators and Oversee the Delivery and Operations of KidSTART Groups",Ministry of Social and Family Development - Early Childhood Development Agency,1418230,Awarded to Suppliers,Association for Early Childhood Educators (Singapore)
CDVECDETT17000005,2017-07-10,"Invitation to Tender for the Provision of Services to Recruit, Manage and Train Facilitators and Oversee the Delivery and Operations of KidSTART Groups",Ministry of Social and Family Development - Early Childhood Development Agency,1090200,Awarded to Suppliers,Life Community Services Society
