tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CDVFDMETT14000035,2015-04-21,PROVISION OF AN INTEGRATED ONLINE COMMUNICATIONS STRATEGY,Ministry of Social and Family Development - Family Development Group,402158.96,Awarded to Suppliers,SPLASH INTERACTIVE PTE. LTD.
CDVFDMETT15000001,2015-03-30,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,27700,Awarded to Suppliers,ADELE EDUCATIONAL PSYCHOLOGY SERVICES
CDVFDMETT15000001,2015-03-30,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,198000,Awarded to Suppliers,FAMILYWISE
CDVFDMETT15000001,2015-03-30,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,249600,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES
CDVFDMETT15000001,2015-03-30,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,41600,Awarded to Suppliers,Filos Community Services Ltd
CDVFDMETT15000001,2015-03-30,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,153300,Awarded to Suppliers,INNERWORKZ
CDVFDMETT15000001,2015-03-30,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,43000,Awarded to Suppliers,METHODIST WELFARE SERVICES
CDVFDMETT15000001,2015-03-30,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,411400,Awarded to Suppliers,Morning Star Community Services
CDVFDMETT15000029,2015-04-06,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,51520,Awarded to Suppliers,CARE CORNER SINGAPORE LTD
CDVFDMETT15000029,2015-04-06,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,66000,Awarded to Suppliers,Cornerstone Community Services
CDVFDMETT15000029,2015-04-06,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,120000,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES
CDVFDMETT15000029,2015-04-06,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,78720,Awarded to Suppliers,SOCIETY OF SHENG HONG WELFARE SERVICES
CDVFDMETT15000033,2015-05-29,PROVISION OF A PUBLISHING AGENCY TO PRODUCE SOCIAL DEVELOPMENT NETWORK (SDN)S QUARTERLY MAGAZINE DUET,Ministry of Social and Family Development - Family Development Group,664664,Awarded to Suppliers,NOVUS DIGITAL SOLUTIONS PTE. LTD.
CDVFDMETT15000035,2015-06-12,Provision of Services to Organise Families for Life Celebrations 2015 (FFLC15) Main Event and Families for Life SG50 Picnics,Ministry of Social and Family Development - Family Development Group,467266.36,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.
CDVFDMETT15000035,2015-06-12,Provision of Services to Organise Families for Life Celebrations 2015 (FFLC15) Main Event and Families for Life SG50 Picnics,Ministry of Social and Family Development - Family Development Group,688880,Awarded to Suppliers,SPHERE EXHIBITS PTE. LTD.
CDVFDMETT15000036,2015-06-12,Provision of Call Answering and Hotline Management Service for Government-paid Leave Schemes,Ministry of Social and Family Development - Family Development Group,1478060,Awarded to Suppliers,TERRA SYSTEMS PTE. LTD.
CDVFDMETT15000037,2015-06-22,REQUEST FOR PROPOSAL (RFP) FOR THE STUDY ON EXTENDED FAMILIES IN SINGAPORE,Ministry of Social and Family Development - Family Development Group,178000,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,16000,Awarded to Suppliers,APKIM RESOURCES
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,8000,Awarded to Suppliers,CAROLINA EDUCATION CONSULTANCY PTE. LTD.
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,8000,Awarded to Suppliers,En Community Services Society
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,40000,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,16000,Awarded to Suppliers,Morning Star Community Services
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,16000,Awarded to Suppliers,SPARKZ CONSULTANTS PTE. LTD.
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,8000,Awarded to Suppliers,Suchi Success Initiatives Pte Ltd
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,37500,Awarded to Suppliers,TOUCH COMMUNITY SERVICES LIMITED
CDVFDMETT15000038,2015-10-06,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,43500,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED
CDVFDMETT15000039,2015-07-03,Provision of Families for Life (FFL) collaterals and resource materials,Ministry of Social and Family Development - Family Development Group,1500,Awarded to Suppliers,AMPHASIS DESIGN PTE LTD
CDVFDMETT15000039,2015-07-03,Provision of Families for Life (FFL) collaterals and resource materials,Ministry of Social and Family Development - Family Development Group,39370,Awarded to Suppliers,Graphic Masters & Advertising Pte Ltd
CDVFDMETT15000039,2015-07-03,Provision of Families for Life (FFL) collaterals and resource materials,Ministry of Social and Family Development - Family Development Group,68170,Awarded to Suppliers,LEE & LIM INTERNATIONAL
CDVFDMETT15000045,2015-08-04,Social Survey about Care Arrangements for Infants,Ministry of Social and Family Development - Family Development Group,109200,Awarded to Suppliers,EA RESEARCH & CONSULTING PTE. LTD.
CDVFDMETT15000049,2015-12-02,Invitation to Tender for the Provision of Services to Organise Families for Life Monthly Picnics,Ministry of Social and Family Development - Family Development Group,0,Awarded to No Suppliers,na
CDVFDMETT15000051,2015-10-30,Invitation to Tender for the Administration of Cinta Abadi Marriage Preparation Programme,Ministry of Social and Family Development - Family Development Group,562710,Awarded to Suppliers,MENDAKI SOCIAL ENTERPRISE NETWORK SINGAPORE PTE. LTD.
CDVFDMETT15000052,2015-12-11,INVITATION TO TENDER FOR THE PROVISION OF ADMINISTRATION AND TRAINING SERVICES FOR LOCAL DATING INDUSTRY,Ministry of Social and Family Development - Family Development Group,251360,Awarded to Suppliers,SINGAPORE NATIONAL EMPLOYERS FEDERATION
CDVFDMETT15000053,2015-11-09,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,147000,Awarded to Suppliers,COMPASS LIFE
CDVFDMETT15000053,2015-11-09,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,155100,Awarded to Suppliers,En Community Services Society
CDVFDMETT15000053,2015-11-09,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,439200,Awarded to Suppliers,FAMILYWISE
CDVFDMETT15000053,2015-11-09,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,250200,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES
CDVFDMETT15000053,2015-11-09,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,783200,Awarded to Suppliers,Morning Star Community Services
CDVFDMETT15000053,2015-11-09,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,35772.5,Awarded to Suppliers,Reach Community Services Society
CDVFDMETT15000053,2015-11-09,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,557840,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED
