tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CDVHQ0ETT14000061,2015-01-30,APPOINTMENT OF A MANAGING CONTRACTOR FOR THE PROVISION OF FACILITIES MANAGEMENT SERVICES FOR MSF VOID DECK FACILITIES AND OFFICE SPACES FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND BY A FURTHER ONE (1) YEAR,Ministry of Social and Family Development - Ministry Headquarter,3153335,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.
CDVHQ0ETT14000066,2015-03-10,Invitation to Tender for the Provision of Services for Write In Simple English Movement,Ministry of Social and Family Development - Ministry Headquarter,826680,Awarded to Suppliers,BRITISH COUNCIL (SINGAPORE) LIMITED
CDVHQ0ETT14000072,2015-01-28,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of Data Collection Services for the Evaluative Study on Elderly Support Facilities. The details of the services required are set out in the Requirement Specifications.,Ministry of Social and Family Development - Ministry Headquarter,162500,Awarded to Suppliers,ML Research Consultants Pte Ltd
CDVHQ0ETT14000079,2015-01-12,Provision of Event Management Services for MSF Volunteer Awards 2015,Ministry of Social and Family Development - Ministry Headquarter,294480,Awarded to Suppliers,Pico Art International Pte Ltd
CDVHQ0ETT14000082,2015-01-05,TENDER FOR CONDUCTING SOCIAL INVESTIGATION FOR 2 YEARS WITH THE OPTION TO EXTEND FOR 2 YEARS,Ministry of Social and Family Development - Ministry Headquarter,428400,Awarded to Suppliers,THYE HUA KWAN MORAL CHARITIES LIMITED
CDVHQ0ETT14000084,2015-02-06,"Provision of data collection and analysis services for the Social Service Office Division, Ministry of Social and Family Development, for a period of 6 months",Ministry of Social and Family Development - Ministry Headquarter,0,Awarded to No Suppliers,na
CDVHQ0ETT14000087,2015-02-04,"Proposed New Erection Of A 2 Storey Social Service Office (SSO) On Lot Mk06-00931m(Pt) At Corporation Drive, Taman Jurong, Singapore",Ministry of Social and Family Development - Ministry Headquarter,2992850,Awarded to Suppliers,SH INTEGRATED SERVICES PTE. LTD.
CDVHQ0ETT14000088,2015-01-30,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,50000,Awarded to Suppliers,GOLDEN VILLAGE MULTIPLEX PTE LTD
CDVHQ0ETT14000088,2015-01-30,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,106200,Awarded to Suppliers,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.
CDVHQ0ETT14000088,2015-01-30,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,372497.38,Awarded to Suppliers,MEDIACORP PTE. LTD.
CDVHQ0ETT14000088,2015-01-30,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,155432,Awarded to Suppliers,SINGAPORE PRESS HOLDINGS LIMITED
CDVHQ0ETT14000088,2015-01-30,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,157731.65,Awarded to Suppliers,STARLIGHT ADVERTISING (PTE) LTD.
CDVHQ0ETT14000090,2015-04-07,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of services for Revocation of Casino Self-Exclusion and Voluntary Visit Limit.,Ministry of Social and Family Development - Ministry Headquarter,516840,Awarded to Suppliers,INSTITUTE OF MENTAL HEALTH
CDVHQ0ETT14000090,2015-04-07,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of services for Revocation of Casino Self-Exclusion and Voluntary Visit Limit.,Ministry of Social and Family Development - Ministry Headquarter,382000,Awarded to Suppliers,THE RESILIENZ CLINIC PTE. LTD.
CDVHQ0ETT14000091,2015-04-17,Invitation To Tender (ITT) for the Provision of Counter and Administration Support Services for Ministry of Social and Family Development.,Ministry of Social and Family Development - Ministry Headquarter,3516960,Awarded to Suppliers,ST ELECTRONICS (E-SERVICES) PTE. LTD.
CDVHQ0ETT14000094,2015-03-12,"Invitation to Tender for the supply, delivery, installation, testing, commissioning, operations and maintenance of an Enterprise Single Sign-On (ESSO) Software, Hardware and Services for Ministry of Social and Family Development (MSF).",Ministry of Social and Family Development - Ministry Headquarter,0,Awarded to No Suppliers,na
CDVHQ0ETT14000096,2015-03-04,"Proposed A&A works to existing vacant premises on 2nd storey of Blk 5 Beach Rd and to part of the existing void deck on 1st storey at Blk 13 Bedok South Rd, Blk 121 Bt Merah View and Blk 190 Boon Lay Drive to Senior Activity Centre",Ministry of Social and Family Development - Ministry Headquarter,897000,Awarded to Suppliers,ASA CONTRACTS PTE. LTD.
CDVHQ0ETT15000001,2015-03-24,ITT for the provision of corporate mobile phones and lines for Ministry of Social and Family Development,Ministry of Social and Family Development - Ministry Headquarter,240000,Awarded to Suppliers,M1 LIMITED
CDVHQ0ETT15000007,2015-03-11,MSF will be conducting 9 runs (6 confirmed and 3 optional) of Career Conversations Workshops to enable MSF People Managers to engage their direct reports positively and effectively in performance and development discussions. The workshop will equip participants with the skills to plan and conduct effective career conversations by leveraging on the framework provided by the new HRMS Staff Appraisal Report and Individual Development Plan modules.,Ministry of Social and Family Development - Ministry Headquarter,0,Awarded to No Suppliers,na
CDVHQ0ETT15000012,2015-04-23,EVALUATIVE STUDY ON EFFECTIVENESS OF SOCIAL ASSISTANCE SCHEME TO IMPROVE FAMILIES FINANCIAL AND SOCIAL SITUATION,Ministry of Social and Family Development - Ministry Headquarter,118000,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
CDVHQ0ETT15000016,2015-07-08,MSF will be conducting 9 runs (6 confirmed and 3 optional) of Career Conversations Workshops to enable MSF People Managers to engage their direct reports positively and effectively in performance and development discussions. The workshop will equip participants with the skills to plan and conduct effective career conversations by leveraging on the framework provided by the new HRMS Staff Appraisal Report and Individual Development Plan modules.,Ministry of Social and Family Development - Ministry Headquarter,40500,Awarded to Suppliers,SUCCESS STRATEGY (PTE) LTD
CDVHQ0ETT15000024,2015-06-19,Invitation to Tender for the Provision of Audit Services for MSF-funded Programmes for one year with option to extend for another year,Ministry of Social and Family Development - Ministry Headquarter,180600,Awarded to Suppliers,PROTIVITI PTE. LTD.
CDVHQ0ETT15000025,2015-08-26,"Appointment of Term Contractor for a Term of Two (2) years with an Option to Extend for a Further One (1) Year for Proposed Development Works at HDB Void Deck, Rental Units and MSF Premises in Singapore",Ministry of Social and Family Development - Ministry Headquarter,18.68,Awarded to Suppliers,SUCCESS FOREVER CONSTRUCTION & MAINTENANCE PTE LTD
CDVHQ0ETT15000026,2015-09-03,Invitation to tender for a public awareness campaign on problem gambling for the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,0,Awarded to No Suppliers,na
CDVHQ0ETT15000027,2015-07-01,"Invitation to Tender for the Provision of Group Sharing Mobile Broadband Subscriptions Plans for Social Service Office Division, Ministry of Social and Family Development",Ministry of Social and Family Development - Ministry Headquarter,63504,Awarded to Suppliers,BTW Technology Pte Ltd
CDVHQ0ETT15000034,2015-10-05,Invitation to tender for the appointment of a contractor for the proposed upgrading and alterations of offices in Singapore Girls' Home,Ministry of Social and Family Development - Ministry Headquarter,152810,Awarded to Suppliers,D'ASSOCIATES CONSTRUCTION PTE LTD
CDVHQ0ETT15000035,2015-10-28,Invitation to tender for the appointment of a Managing Contractor for the provision of facilities management services for MSF facilities at 141 Redhill Road Singapore 158828 for a period of two (2) years with an option to extend by a further one (1) year,Ministry of Social and Family Development - Ministry Headquarter,3580767,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.
CDVHQ0ETT15000036,2015-10-13,Invitation To Tender For The Proposed Design and Build Project For The Strengthening of Slope at Existing Registry of Marriage For Ministry of Social & Family Development,Ministry of Social and Family Development - Ministry Headquarter,335000,Awarded to Suppliers,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.
CDVHQ0ETT15000037,2015-07-16,Invitation to tender for the provision of healthcare and hygiene consumables,Ministry of Social and Family Development - Ministry Headquarter,0,Awarded to No Suppliers,na
CDVHQ0ETT15000038,2015-09-04,Proposed Development of EIPIC Centre at Blk 661 Hougang Avenue 4 / 660 Hougang Avenue 8 Singapore 530660 & 530661,Ministry of Social and Family Development - Ministry Headquarter,868000,Awarded to Suppliers,ASA CONTRACTS PTE. LTD.
CDVHQ0ETT15000039,2015-08-31,Invitation to tender for the provision of healthcare and hygiene consumables,Ministry of Social and Family Development - Ministry Headquarter,1584628,Awarded to Suppliers,ST Logistics Pte. Ltd.
CDVHQ0ETT15000040,2015-12-31,Invitation to Tender for the Provision of Services of Security Officers/Protection Officers During Hearing Sessions at the National Council on Problem Gambling,Ministry of Social and Family Development - Ministry Headquarter,0,Awarded to No Suppliers,na
CDVHQ0ETT15000041,2016-01-28,Tender for Additions & Alterations to Existing Unit #01-413 for Use as Social Service Office at 1st Storey of Block 662 Hougang Avenue 4 on Lot 09257P MK 22,Ministry of Social and Family Development - Ministry Headquarter,466800,Awarded to Suppliers,ROYAL 88 INTERIOR DESIGN PTE LTD
CDVHQ0ETT15000042,2015-10-06,Invitation to Tender for the Provision of Audit Services at Student Care Centres and Kindergartens Administering Government Subsidy Schemes,Ministry of Social and Family Development - Ministry Headquarter,38066.8,Awarded to Suppliers,AUDIT ALLIANCE LLP
CDVHQ0ETT15000043,2015-12-07,Invitation to Tender for the Provision of a Mass Fever Screening System,Ministry of Social and Family Development - Ministry Headquarter,95000,Awarded to Suppliers,OMNISENSE SYSTEMS PRIVATE LIMITED
CDVHQ0ETT15000046,2015-12-21,Invitation to Tender for Proposed New Erection of 4/5 Storey Adult Disability Home at Sembawang Walk on Lot 05739T PT MK13 (Sembawang Planning Area),Ministry of Social and Family Development - Ministry Headquarter,15944584,Awarded to Suppliers,H P CONSTRUCTION & ENGINEERING PTE LTD
CDVHQ0ETT15000047,2015-11-13,Invitation to Tender for the Management of ComCare Hotline Call Service (2-Year Contract),Ministry of Social and Family Development - Ministry Headquarter,3465600,Awarded to Suppliers,TELE-CENTRE SERVICES PTE LTD
CDVHQ0ETT15000048,2016-01-20,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,50000,Awarded to Suppliers,GOLDEN VILLAGE PICTURES PTE LTD
CDVHQ0ETT15000048,2016-01-20,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,529942.3,Awarded to Suppliers,I.M COMMUNICATIONS PTE. LTD.
CDVHQ0ETT15000048,2016-01-20,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,94768.69,Awarded to Suppliers,MEDIACORP PTE. LTD.
CDVHQ0ETT15000048,2016-01-20,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,84000,Awarded to Suppliers,SPH RADIO PRIVATE LIMITED
CDVHQ0ETT15000049,2015-12-18,Invitation to tender to provide Intrusion Detection System services for Social Service Offices,Ministry of Social and Family Development - Ministry Headquarter,154930,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.
CDVHQ0ETT15000053,2015-12-31,Invitation To Tender For The Provision Of The Supply Of Mail Management Services For A Period Of 2 Years With An Option To Extend For Another 1 Year,Ministry of Social and Family Development - Ministry Headquarter,222672,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.
CDVHQ0ETT15000057,2016-05-06,Invitation to tender for the provision of services as required by the Ministry of Social and Family Development (MSF) on behalf of the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,3368456,Awarded to Suppliers,HEALTHWAY MEDICAL GROUP PTE LTD
CDVHQ0ETT15000057,2016-05-06,Invitation to tender for the provision of services as required by the Ministry of Social and Family Development (MSF) on behalf of the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,1708260,Awarded to Suppliers,THE RESILIENZ CLINIC PTE. LTD.
