tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CDVRAPETT14000018,2015-01-02,Tender for the Provision of Professional Supervision Service for Management Staff of the Family and Child Protection and Welfare Branch (FCPW) and the Children in Care Branch (CIC),Ministry of Social and Family Development - Rehabilitation and Protection,153200,Awarded to Suppliers,LILIAN FLORENCE ELIZABETH ING
CDVRAPETT14000027,2015-02-24,Provision of Contact Services for clients of the Family and Child Protection and Welfare Branch (FCPW),Ministry of Social and Family Development - Rehabilitation and Protection,344160,Awarded to Suppliers,MCYC Community Services Society
CDVRAPETT14000027,2015-02-24,Provision of Contact Services for clients of the Family and Child Protection and Welfare Branch (FCPW),Ministry of Social and Family Development - Rehabilitation and Protection,1278840,Awarded to Suppliers,THYE HUA KWAN MORAL CHARITIES LIMITED
CDVRAPETT14000037,2015-01-02,"Provision of Social Assessment Interviews, marriage preparation Workshop and follow up",Ministry of Social and Family Development - Rehabilitation and Protection,107740,Awarded to Suppliers,SEMBAWANG FAMILY SERVICE CENTRE
CDVRAPETT14000037,2015-01-02,"Provision of Social Assessment Interviews, marriage preparation Workshop and follow up",Ministry of Social and Family Development - Rehabilitation and Protection,450540,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED
CDVRAPETT14000040,2015-02-09,"The Provision of Training for the Child Protection Service & Agencies on the Integration of Structured Decision Making (SDM) tools into their Practice approach for a period of 18 months, with an option to extend up to 30 months",Ministry of Social and Family Development - Rehabilitation and Protection,366500,Awarded to Suppliers,SP CONSULTANCY
CDVRAPETT14000041,2015-02-05,Cleaning Services to Singapore Boys' Home (Feb 15 to Jan 16 - with option to extend for 1 year),Ministry of Social and Family Development - Rehabilitation and Protection,246720,Awarded to Suppliers,TMK SERVICES PTE. LTD.
CDVRAPETT15000002,2015-06-04,Invitation to Tender for the Provision of Services for the Assessment of Prospective Foster Parents,Ministry of Social and Family Development - Rehabilitation and Protection,182000,Awarded to Suppliers,CANOSSAVILLE CHILDREN'S HOME
CDVRAPETT15000002,2015-06-04,Invitation to Tender for the Provision of Services for the Assessment of Prospective Foster Parents,Ministry of Social and Family Development - Rehabilitation and Protection,137200,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES
CDVRAPETT15000002,2015-06-04,Invitation to Tender for the Provision of Services for the Assessment of Prospective Foster Parents,Ministry of Social and Family Development - Rehabilitation and Protection,179300,Awarded to Suppliers,GOOD PATHWAYS PTE. LTD.
CDVRAPETT15000003,2015-08-13,Tender to call for proposals from research companies to provide the following to conduct a Family Violence Perceptions & Prevalence Study:Providing relevant personnel;Providing details of research methodology & design; Providing necessary logistics to conduct surveys & focus group discussions; Manage participant reimbursement; Collect & Manage data; Evaluate & provide recommendations following study results. This study is estimated to take place from Jun 15- Feb 16.,Ministry of Social and Family Development - Rehabilitation and Protection,264000,Awarded to Suppliers,NEXUS LINK PTE. LTD.
CDVRAPETT15000004,2015-11-26,Tender For Family Connection Sessions (FCS) For Families Of The Juvenile Homes For Nine Months With And Option To Extend For Two(2) Years,Ministry of Social and Family Development - Rehabilitation and Protection,95040,Awarded to Suppliers,ATMAN COUNSELLING & TRAINING CONSULTANCY
CDVRAPETT15000004,2015-11-26,Tender For Family Connection Sessions (FCS) For Families Of The Juvenile Homes For Nine Months With And Option To Extend For Two(2) Years,Ministry of Social and Family Development - Rehabilitation and Protection,99600,Awarded to Suppliers,BRIEF ACADEMY PTE. LTD.
CDVRAPETT15000004,2015-11-26,Tender For Family Connection Sessions (FCS) For Families Of The Juvenile Homes For Nine Months With And Option To Extend For Two(2) Years,Ministry of Social and Family Development - Rehabilitation and Protection,46200,Awarded to Suppliers,COMPASS LIFE
CDVRAPETT15000008,2016-01-12,Invitation to Tender for the Provision of the Delivery of Theft Intervention Programme (TIP) to Clients on Probation or Placed in Residential Homes,Ministry of Social and Family Development - Rehabilitation and Protection,74806,Awarded to Suppliers,MCYC Community Services Society
