tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
TRADOSETT14000002,2015-02-11,"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF A FULLY OPERATIONAL FIRM-LEVEL LONGITUDINAL ADMINISTRATIVE DATABASE SYSTEM WITH AN OPTION FOR MAINTENANCE FOR THE DEPARTMENT OF STATISTICS",Ministry of Trade & Industry-Department of Statistics,1911878.02,Awarded to Suppliers,TECH MAHINDRA LIMITED (SINGAPORE BRANCH)
TRADOSETT14000003,2015-01-26,Provision of Prepaid Training Credits For The Courses On Statistical Analysis Software (SAS),Ministry of Trade & Industry-Department of Statistics,67500,Awarded to Suppliers,AVANTUS TRAINING PRIVATE LIMITED
TRADOSETT14000004,2015-02-17,"SUPPLY AND DELIVERY OF BUSINESS ANALYTICS VISUALIZATION DESKTOP AND SERVER LICENSES WITH OPTION FOR TRAINING, ADDITIONAL LICENCES AND MAINTENANCE FOR THE DEPARTMENT OF STATISTICS",Ministry of Trade & Industry-Department of Statistics,3487828,Awarded to Suppliers,Knowledge Management Solutions Pte Ltd
TRADOSETT15000001,2016-04-14,"Design, supply, deliver, install, test and commission of an Application Virtualization, Security and High Performance Statistical Computing Platform",Ministry of Trade & Industry-Department of Statistics,2446120,Awarded to Suppliers,TECH MAHINDRA LIMITED (SINGAPORE BRANCH)
TRADOSETT16000001,2016-11-08,Provision for Hardware Maintenance and Software Support Services,Ministry of Trade & Industry-Department of Statistics,6205059,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
TRADOSETT16000002,2016-12-22,"SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL HOUSEHOLD EXPENDITURE SURVEY 2017/18 SYSTEM (HES) WITH AN OPTION FOR MAINTENANCE SERVICES",Ministry of Trade & Industry-Department of Statistics,3023715,Awarded to Suppliers,NCS PTE. LTD.
TRADOSETT16000003,2017-01-25,"Provision of Services for Printing, Enveloping and Mailing of Questionnaires, Requisition Letters, PIN letters, Reminder Letters, Explanatory Notes Booklets and E-survey Brochures",Ministry of Trade & Industry-Department of Statistics,62795.2,Awarded to Suppliers,LIVING CALENDARS PTE. LTD.
TRADOSETT17000001,2017-06-13,Provision of Application Development and Maintenance Services for the Producer Price Indices System (PPIS) for the Department of Statistics of the Ministry of Trade and Industry,Ministry of Trade & Industry-Department of Statistics,1516640,Awarded to Suppliers,OPENFEEL PTE. LTD.
TRADOSETT17000002,2017-09-27,"Supply, Delivery, Installation, Testing and Commissioning of A Statistical Processing System with An Option for Maintenance for Hardware and Software",Ministry of Trade & Industry-Department of Statistics,378387,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
TRADOSETT17000003,2017-09-12,THE PROVISION OF CUSTOMIZED STORED-VALUE CARDS,Ministry of Trade & Industry-Department of Statistics,132480,Awarded to Suppliers,NETWORK FOR ELECTRONIC TRANSFERS (SINGAPORE) PTE LTD
