tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
TRAHQ0ETT14000021,2015-01-29,Consultancy services to conduct Pro-Enterprise Ranking Survey [RED],Ministry of Trade & Industry-Ministry Headquarter,428630,Awarded to Suppliers,AADVANTAGE CONSULTING GROUP PTE. LTD.
TRAHQ0ETT14000023,2015-02-12,"For The Conduct Of Taxonomy-Based Automatic Tagging Proof-Of-Concept (POC), With Options For Configuration And Implementation Of Automatic Tagging Solution And Maintenance",Ministry of Trade & Industry-Ministry Headquarter,1050005,Awarded to Suppliers,HCL SINGAPORE PTE. LTD.
TRAHQ0ETT14000025,2015-02-05,Provision of Technical Consultancy Services [ED],Ministry of Trade & Industry-Ministry Headquarter,112000,Awarded to Suppliers,FIRST ECONOMICS PTE. LIMITED
TRAHQ0ETT14000026,2015-01-07,Engagement Of Movers For International Relocation (Moving & Shipping) Services For New And Returning Officers From Overseas Posting,Ministry of Trade & Industry-Ministry Headquarter,242450,Awarded to Suppliers,ALLIED MOVING SERVICES (S) PTE. LTD.
TRAHQ0ETT14000027,2015-06-12,"Supply, Delivery, Installation, Testing, Commissioning of A Fully Operational Event and Media Management System with an option for Maintenance",Ministry of Trade & Industry-Ministry Headquarter,1144098.53,Awarded to Suppliers,Commerce Online Pte Ltd
TRAHQ0ETT15000003,2015-03-24,Provision of Technical Consultancy Services [ED],Ministry of Trade & Industry-Ministry Headquarter,105000,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
TRAHQ0ETT15000004,2015-06-19,Provision of IT Security Services and Tools [CSD-ITS],Ministry of Trade & Industry-Ministry Headquarter,1488350,Awarded to Suppliers,QUANN ASIA PACIFIC PTE. LTD.
TRAHQ0ETT15000006,2015-06-19,Consultancy Services to Design & Develop Dynamic Computable General Equilibrium Model Tailored For Analysing Effects of Regional Economic Architectures On Singapore Economy (FEPD),Ministry of Trade & Industry-Ministry Headquarter,111000,Awarded to Suppliers,CIURIAK CONSULTING INC.
TRAHQ0ETT15000008,2015-06-02,Provision of Legal Services [ID],Ministry of Trade & Industry-Ministry Headquarter,30000,Awarded to Suppliers,LEE & LEE
TRAHQ0ETT15000009,2015-09-08,Conference Package and Related Services (ASEAN),Ministry of Trade & Industry-Ministry Headquarter,131816.33,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE
TRAHQ0ETT15000010,2015-11-13,"Supply, Delivery, Installation, Testing, Commissioning of a Fully Operational Finance And Procurement Management System With An Option For Maintenance [CSD-ITS]",Ministry of Trade & Industry-Ministry Headquarter,2293420,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.
TRAHQ0ETT15000011,2015-10-22,Event Management Services for the Singapore-India Economic Convention 2015,Ministry of Trade & Industry-Ministry Headquarter,282376.8,Awarded to Suppliers,THE AUDIENCE MOTIVATION COMPANY ASIA PTE LTD
TRAHQ0ETT15000012,2015-12-01,Daily Media Monitoring And Analysis Services For Ministry Of Trade And Industry,Ministry of Trade & Industry-Ministry Headquarter,156280,Awarded to Suppliers,ISENTIA BRANDTOLOGY PTE. LTD.
TRAHQ0ETT15000013,2016-04-07,Provision of Application Development and Maintenance Services of Assets Review Tracking System (ARTS) [CSD-ITS],Ministry of Trade & Industry-Ministry Headquarter,682543.44,Awarded to Suppliers,MYASSET PTE. LTD.
TRAHQ0ETT15000014,2016-02-29,Provision of design and maintenance services for the Economic Survey of Singapore microsite [ECD],Ministry of Trade & Industry-Ministry Headquarter,0,Awarded to No Suppliers,na
TRAHQ0ETT16000001,2016-09-26,Provision of Management and Operations Support at Resource Centre [ECD],Ministry of Trade & Industry-Ministry Headquarter,502140,Awarded to Suppliers,CIVICA PTE. LTD.
TRAHQ0ETT16000002,2016-10-04,"Conceptualisation, Management, Construction and Tear-Down of the Singapore Pavilion at the EXPO 2017 in the Republic of Kazakhstan",Ministry of Trade & Industry-Ministry Headquarter,2708378,Awarded to Suppliers,Pico Art International Pte Ltd
TRAHQ0ETT16000002,2016-10-04,"Conceptualisation, Management, Construction and Tear-Down of the Singapore Pavilion at the EXPO 2017 in the Republic of Kazakhstan",Ministry of Trade & Industry-Ministry Headquarter,1840860,Awarded to Suppliers,SUSTAINABLE ENERGY ASSOCIATION OF SINGAPORE (SEAS)
TRAHQ0ETT16000004,2016-09-20,Provision of Mobile Plan Subscriptions and Services [ITS],Ministry of Trade & Industry-Ministry Headquarter,134566.8,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED
TRAHQ0ETT16000006,2016-11-03,Consultancy services to conduct Pro-Enterprise Ranking Survey [RED],Ministry of Trade & Industry-Ministry Headquarter,918000,Awarded to Suppliers,NEXUS LINK PTE. LTD.
TRAHQ0ETT17000003,2017-12-27,"Invitation to Tender for the Gap Analysis Study, Design, Supply, Development, Delivery, Installation, Training, Testing and Commissioning and Warranty Support of a Fully Functional Corporate Website [CCD]",Ministry of Trade & Industry-Ministry Headquarter,976289,Awarded to Suppliers,Web Professional House Pte Ltd
TRAHQ0ETT17300001,2017-10-31,Provision of Minor Renovation Works in MTI Offices [Admin],Ministry of Trade & Industry-Ministry Headquarter,4372372,Awarded to Suppliers,SODEXO KIM YEW PTE. LTD.
TRAHQ0ETT17300002,2017-12-22,Provision of Event Management Services [ASEAN OS],Ministry of Trade & Industry-Ministry Headquarter,686466,Awarded to Suppliers,THE AUDIENCE MOTIVATION COMPANY ASIA PTE LTD
