tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
CITHQ0ETT14000045,2015-01-23,PROVISION OF SITE PERSONNELS FOR LAND PREPERATION WORKS FOR AIRPORT DEVELOPMENT,Ministry of Transport - Ministry Headquarter,22755,Awarded to Suppliers,GREENSAFE INTERNATIONAL PTE. LTD.
CITHQ0ETT14000068,2015-01-08,PROVISION OF ACCREDITED CHECKER ORGANISATION (ACO) SERVICES AND SPECIALIST ACCREDITED CHECKER (GEOTECHNICAL) FOR LAND PREPARATION WORKS FOR AIRPORT DEVELOPMENT,Ministry of Transport - Ministry Headquarter,93000,Awarded to Suppliers,CALIBRE CONSULTING (SINGAPORE) PTE. LTD.
CITHQ0ETT15000018,2015-05-25,Provision of Manpower for Pantry & Errand Services for Ministry of Transport,Ministry of Transport - Ministry Headquarter,81024,Awarded to Suppliers,Expertise Technologies Pte Ltd
CITHQ0ETT15000031,2015-08-13,PROCUREMENT OF SERVICES FOR THE DESIGN AND CONDUCT OF A PERCEPTION SURVEY ON CAREERS IN THE TRANSPORT SECTOR,Ministry of Transport - Ministry Headquarter,90000,Awarded to Suppliers,MEDIA RESEARCH CONSULTANTS PTE LTD
CITHQ0ETT16000005,2016-12-19,"PROPOSAL TO DESIGN, DEVELOP AND DEMONSTRATE THE TRUCK PLATOONING TECHNOLOGY",Ministry of Transport - Ministry Headquarter,610000,Awarded to Suppliers,SCANIA SINGAPORE PTE LTD
CITHQ0ETT16000005,2016-12-19,"PROPOSAL TO DESIGN, DEVELOP AND DEMONSTRATE THE TRUCK PLATOONING TECHNOLOGY",Ministry of Transport - Ministry Headquarter,4469000,Awarded to Suppliers,TOYOTA TSUSHO ASIA PACIFIC PTE. LTD.
CITHQ0ETT16000006,2016-10-11,"TENDER FOR THE PROVISION OF UNMANNED AIRCRAFT SYSTEMS (UAS) SERVICES TO GOVERNMENT MINISTRIES/DEPARTMENTS, STATUTORY BOARDS, AND ORGANS OF STATE",Ministry of Transport - Ministry Headquarter,0,Awarded to No Suppliers,na
CITHQ0ETT16000012,2016-07-11,PROCUREMENT OF CONSULTANCY SERVICES TO ASSIST MOT AND MOF TO CONDUCT A STUDY ON THE LONG-TERM OWNERSHIP AND OPERATING MODEL FOR SINGAPORE CHANGI AIRPORT,Ministry of Transport - Ministry Headquarter,1688000,Awarded to Suppliers,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.
CITHQ0ETT16000017,2016-09-15,PROVISION OF DESIGN AND DELIVERY OF THE MOT FAMILY LEADERSHIP DEVELOPMENT PROGRAMME (LDP),Ministry of Transport - Ministry Headquarter,1173750,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.
CITHQ0ETT16000036,2016-09-26,"General Cleaning and Sanitary Services, Cleaning/Decontamination Services and Provision of Personal Protection Equipment for Disease Outbreak",Ministry of Transport - Ministry Headquarter,197400,Awarded to Suppliers,CLEANMAGE PTE. LTD.
CITHQ0ETT16000039,2016-12-06,"Supply, Delivery and Installation of Smart Card Door Access Control System and Intrusion Detection System at #33-00 and #39-00 of Ministry of Transport",Ministry of Transport - Ministry Headquarter,42883,Awarded to Suppliers,IPS SECUREX PTE. LTD.
CITHQ0ETT16000045,2016-10-29,TENDER FOR DAILY MEDIA MONITORING SERVICES FOR THE MINISTRY OF TRANSPORT (MOT),Ministry of Transport - Ministry Headquarter,389400,Awarded to Suppliers,INSIGHTMATRIX
CITHQ0ETT17000004,2017-02-24,PROVISION OF EVENT MANAGEMENT SERVICES FOR ASEAN TRANSPORT SECTORAL MEETINGS IN MAY & OCTOBER 2017,Ministry of Transport - Ministry Headquarter,385427.5,Awarded to Suppliers,MP SINGAPORE PTE. LTD.
CITHQ0ETT17000022,2017-06-06,Pantry and Housekeeping Services for Ministry of Transport,Ministry of Transport - Ministry Headquarter,84960,Awarded to Suppliers,CSP MAINTENANCE PTE LTD
CITHQ0ETT17000029,2017-08-24,"REQUEST FOR PROPOSAL FOR APPOINTMENT OF AGENCY(S) TO CONDUCT MEDIA BUYING, CREATIVE, BRANDING AND EVENTS MANAGEMENT SERVICES FOR MRT 30TH ANNIVERSARY MARKETING COMMUNICATIONS",Ministry of Transport - Ministry Headquarter,67000,Awarded to Suppliers,PROTOCOL PTE. LTD.
CITHQ0ETT17300001,2017-11-29,PROCUREMENT OF SERVICES FOR THE REVIEW AND CONDUCT OF A PERCEPTION SURVEY ON CAREERS IN THE TRANSPORT SECTOR,Ministry of Transport - Ministry Headquarter,83000,Awarded to Suppliers,ANTZWORKZ CONSULTANTS PTE. LTD.
