tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
ENV000ETT14000024,2015-01-15,REPLACEMENT COMPUTER ROOM AIR-CON (CRAC) UNIT TO STOREY 5th & 16th AT THE ENVIRONMENT BUILDING,Ministry of the Environment and Water Resources,181888,Awarded to Suppliers,Pro-Matrix Pte Ltd
ENV000ETT14000025,2015-02-12,TENDER FOR CONSUTLANCY SERVICES FOR COMPREHENSIVE BUILDING CONDITION AUDIT AT THE ENVIRONMENT BUILDING,Ministry of the Environment and Water Resources,450000,Awarded to Suppliers,BECA CARTER HOLLINGS & FERNER (S.E.ASIA) PTE LTD
ENV000ETT15000002,2015-07-09,TENDER FOR TERM CONTRACT FOR BUILDING MAINTENANCE WORKS AND OTHER BUILDING WORKS AND SERVICES FOR THE ENVIRONMENT BUILDING,Ministry of the Environment and Water Resources,1196676,Awarded to Suppliers,TOH KIM BOCK C-E CONTRACTOR PTE LTD
ENV000ETT15000004,2015-07-02,TENDER FOR BRANDING OF THE SUSTAINABLE SINGAPORE BLUEPRINT (SSB) FOR THE MINISTRY OF THE ENVIRONMENT AND WATER RESOURCES,Ministry of the Environment and Water Resources,165800,Awarded to Suppliers,ARETESE PTE. LTD.
ENV000ETT15000008,2015-08-27,TENDER FOR PROVISION OF EVENT MANAGEMENT SERVICES FOR THE PRESIDENTS AWARD FOR THE ENVIRONMENT (PAE) AWARDS CEREMONY 2015,Ministry of the Environment and Water Resources,114643,Awarded to Suppliers,TWIST MEDIA PTE. LTD.
ENV000ETT15000011,2016-01-05,TENDER FOR CONVERSION OF 4TH STOREY MEETING ROOM SPACE TO OFFICE AREA AT THE ENVIRONMENT BUILDING,Ministry of the Environment and Water Resources,383800,Awarded to Suppliers,Aspacio Design Associates Pte Ltd
ENV000ETT15000012,2016-01-20,Provision Of Multi-Disciplinary Consultancy Services To Conduct Further Studies And Design Engineering For The Repairs And Refurbishment Works At The Environment Building,Ministry of the Environment and Water Resources,2465000,Awarded to Suppliers,LAUD ARCHITECTS PTE LTD
ENV000ETT16000003,2016-06-02,TENDER FOR PROVISION OF SERVICES FOR THE DIGITIZATION OF HARDCOPY FILES AND DOCUMENTS FOR THE MINISTRY OF THE ENVIRONMENT AND WATER RESOURCES (MEWR),Ministry of the Environment and Water Resources,194350,Awarded to Suppliers,KONICA MINOLTA BUSINESS SOLUTIONS ASIA PTE. LTD.
ENV000ETT16000008,2016-04-21,TENDER FOR PROVISION OF EVENT MANAGEMENT SERVICES FOR WORKING GROUP AND STEERING COMMITTEE MEETINGS FROM 3 to 4 MAY 2016 FOR THE MINISTRY OF ENVIRONMENT AND WATER RESOURCES,Ministry of the Environment and Water Resources,90072,Awarded to Suppliers,LINEAR DOTS PRODUCTION PTE. LTD.
ENV000ETT16000010,2016-06-14,Provision Of Consultancy Services To Conduct A Feasibility Study On Policy Tools For Greenhouse Gas Mitigation In Singapore for MEWR,Ministry of the Environment and Water Resources,266000,Awarded to Suppliers,ECOFYS NETHERLANDS B.V.
ENV000ETT16000011,2016-05-27,TENDER FOR PREVENTIVE AND CORRECTIVE MAINTENANCE WORKS FOR THE ENVISION GALLERY IN THE MINISTRY OF THE ENVIRONMENT AND WATER RESOURCES,Ministry of the Environment and Water Resources,120000,Awarded to Suppliers,Pico Art International Pte Ltd
ENV000ETT16000017,2016-06-24,TENDER FOR PROVISION OF EVENT MANAGEMENT SERVICES FOR THE PRESIDENTS AWARD FOR THE ENVIRONMENT (PAE) AWARDS CEREMONY 2016 THE ENVIRONMENT BUILDING 40 SCOTTS,Ministry of the Environment and Water Resources,95781,Awarded to Suppliers,TWIST MEDIA PTE. LTD.
ENV000ETT16000019,2016-06-03,Invitation To Tender For Event Management Services For The Sustainable Singapore Blueprint (SSB) Event For The Ministry Of The Environment And Water Resources,Ministry of the Environment and Water Resources,160725,Awarded to Suppliers,TWIST MEDIA PTE. LTD.
ENV000ETT16000020,2016-10-31,TENDER FOR THE PROVISION OF SECURITY SERVICES TO THE MINISTRY OF THE ENVIRONMENT AND WATER RESOURCES FOR A PERIOD OF 2 YEARS WITH AN OPTION TO EXTEND FOR ANOTHER 2 YEARS,Ministry of the Environment and Water Resources,2460000,Awarded to Suppliers,Excellent Security & Safety Pte Ltd
ENV000ETT16000026,2016-11-04,"TENDER FOR THE PROPOSED ADDITION & ALTERATION TO EXISTING ENVIRONMENT BUILDING AND ANNEX ON LOTS 01280M PT, 00578A, 99725L & 99726C TS 27 AT 40 SCOTTS ROAD (NEWTON PLANNING AREA)",Ministry of the Environment and Water Resources,19837672.7,Awarded to Suppliers,GENNAL INDUSTRIES PTE LTD
ENV000ETT16000028,2016-12-30,TENDER FOR REPLACEMENT OF CARD ACCESS SYSTEM AND COMPREHENSIVE MAINTENANCE SERVICES AT THE ENVIRONMENT BUILDING,Ministry of the Environment and Water Resources,308040,Awarded to Suppliers,ROBERT BOSCH SECURITY SOLUTIONS PTE. LTD.
ENV000ETT16000030,2017-02-01,"TENDER FOR PERIOD CONTRACT FOR THE CONTEXTUALIZATION, PROVISION AND EVALUATION OF ADAPTABILITY TRAINING PROGRAMME",Ministry of the Environment and Water Resources,0,Awarded to No Suppliers,na
ENV000ETT17000009,2017-05-15,"TENDER FOR PERIOD CONTRACT FOR THE CONTEXTUALIZATION, PROVISION AND EVALUATION OF ADAPTABILITY TRAINING PROGRAMME (2017) TO THE MINISTRY OF THE ENVIRONMENT AND WATER RESOURCES",Ministry of the Environment and Water Resources,107000,Awarded to Suppliers,ROHEI CORPORATION PTE. LTD.
ENV000ETT17000011,2017-05-08,TENDER FOR THE SUPPLY AND DELIVERY OF CUSTOMIZED SUN VISORS TO THE MINISTRY OF THE ENVIRONMENT AND WATER RESOURCES,Ministry of the Environment and Water Resources,130600,Awarded to Suppliers,CINDI CLASSIQUE PTE LTD
ENV000ETT17000014,2017-09-15,PROVISION OF PROFESSIONAL SERVICES FOR SOCIAL MEDIA MANAGEMENT FOR THE MINISTRY OF THE ENVIRONMENT AND WATER RESOURCES (MEWR,Ministry of the Environment and Water Resources,338400,Awarded to Suppliers,HASHTAG INTERACTIVE PTE. LTD.
ENV000ETT17300001,2017-10-11,Provision of events management services to the Ministry of the Environment & Water Resources for organizing the PAE Awards Ceremony 2017.,Ministry of the Environment and Water Resources,96433,Awarded to Suppliers,TWIST MEDIA PTE. LTD.
