tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
MAS000ETT14000058,2015-02-09,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF MASNET AUTHENTICATION AND EMAIL SYSTEMS WITH AN OPTION FOR FIVE (5) YEARS OF MAINTENANCE",Monetary Authority of Singapore,2042600,Awarded to Suppliers,ADNOVUM SINGAPORE PTE. LTD.
MAS000ETT14000065,2015-04-01,REQUEST FOR PROPOSAL FOR THE PROVISION OF CONSULTANCY SERVICES ON ISSUES PERTAINING TO AN OPEN-ENDED INVESTMENT COMPANIES FRAMEWORK (1100001016),Monetary Authority of Singapore,805000,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP
MAS000ETT14000066,2015-01-09,REQUEST FOR PROPOSAL FOR THE PROVISION OF CONSULTANCY SERVICES TO STUDY RIGHT-SITING OF CAPITAL FOR INFRASTRUCTURE PROJECTS,Monetary Authority of Singapore,700000,Awarded to Suppliers,OLIVER WYMAN PTE. LTD.
MAS000ETT14000075,2015-01-14,INVITATION TO TENDER FOR THE PROVISION OF A MANAGER RESEARCH DATABASE FOR TWO YEARS,Monetary Authority of Singapore,296000,Awarded to Suppliers,MERCER (SINGAPORE) PTE. LTD.
MAS000ETT14000076,2015-04-22,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY AND INSTALLATION OF LOOSE FURNITURE FOR THE MONETARY AUTHORITY OF SINGAPORE (PR1100001364PBS)",Monetary Authority of Singapore,87768,Awarded to Suppliers,BW FURNITURE PTE. LTD.
MAS000ETT14000076,2015-04-22,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY AND INSTALLATION OF LOOSE FURNITURE FOR THE MONETARY AUTHORITY OF SINGAPORE (PR1100001364PBS)",Monetary Authority of Singapore,23100,Awarded to Suppliers,ERGOWORLD PTE LTD
MAS000ETT14000076,2015-04-22,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY AND INSTALLATION OF LOOSE FURNITURE FOR THE MONETARY AUTHORITY OF SINGAPORE (PR1100001364PBS)",Monetary Authority of Singapore,24758,Awarded to Suppliers,SICO ASIA PTE LTD
MAS000ETT14000076,2015-04-22,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY AND INSTALLATION OF LOOSE FURNITURE FOR THE MONETARY AUTHORITY OF SINGAPORE (PR1100001364PBS)",Monetary Authority of Singapore,39900,Awarded to Suppliers,XTRA DESIGNS PTE. LTD.
MAS000ETT14000078,2015-01-26,INVITATION TO TENDER FOR THE PROVISION OF RETILING WORKS AT MAS BUILDING (PR1344),Monetary Authority of Singapore,45000,Awarded to Suppliers,FUTURE INTERIOR ASIA PTE. LTD.
MAS000ETT14000079,2015-04-22,INVITATION TO TENDER FOR APPOINTMENT TO A PANEL FOR THE PROVISION OF LEGAL SERVICES FOR A PERIOD OF THREE (3) YEARS(PR1100000569LD),Monetary Authority of Singapore,680,Awarded to Suppliers,ALLEN & GLEDHILL LLP
MAS000ETT14000079,2015-04-22,INVITATION TO TENDER FOR APPOINTMENT TO A PANEL FOR THE PROVISION OF LEGAL SERVICES FOR A PERIOD OF THREE (3) YEARS(PR1100000569LD),Monetary Authority of Singapore,1020,Awarded to Suppliers,Baker & Mckenzie.Wong & Leow
MAS000ETT14000079,2015-04-22,INVITATION TO TENDER FOR APPOINTMENT TO A PANEL FOR THE PROVISION OF LEGAL SERVICES FOR A PERIOD OF THREE (3) YEARS(PR1100000569LD),Monetary Authority of Singapore,800,Awarded to Suppliers,DENTONS RODYK & DAVIDSON LLP
MAS000ETT14000079,2015-04-22,INVITATION TO TENDER FOR APPOINTMENT TO A PANEL FOR THE PROVISION OF LEGAL SERVICES FOR A PERIOD OF THREE (3) YEARS(PR1100000569LD),Monetary Authority of Singapore,850,Awarded to Suppliers,DREW & NAPIER LLC
MAS000ETT14000079,2015-04-22,INVITATION TO TENDER FOR APPOINTMENT TO A PANEL FOR THE PROVISION OF LEGAL SERVICES FOR A PERIOD OF THREE (3) YEARS(PR1100000569LD),Monetary Authority of Singapore,810,Awarded to Suppliers,SHOOK LIN & BOK LLP
MAS000ETT14000080,2015-01-20,INVITATION TO TENDER FOR THE PROVISION OF AN INVESTMENT RESEARCH DATABASE FOR TWO YEARS (PR1410),Monetary Authority of Singapore,99000,Awarded to Suppliers,GREENWICH ASSOCIATES SINGAPORE PTE. LTD.
MAS000ETT14000082,2015-01-30,INVITATION TO TENDER FOR PROCESSING OF CURRENCY NOTES,Monetary Authority of Singapore,294760,Awarded to Suppliers,CERTIS CISCO SECURE LOGISTICS PTE. LTD.
MAS000ETT14000083,2015-01-20,INVITATION TO TENDER FOR THE REPLACEMENT OF SECURITY PERIMETER FENCING AT GOMBAK (PR1477),Monetary Authority of Singapore,187000,Awarded to Suppliers,GLASS@WORX PTE. LTD.
MAS000ETT14000085,2015-02-04,INVITATION TO TENDER FOR THE DEVELOPMENT AND IMPLEMENTATION OF A NEW SGS BOND APPLICATION WITH AN OPTION FOR POST-WARRANTY MAINTENANCE SERVICES,Monetary Authority of Singapore,426000,Awarded to Suppliers,CRIMSONLOGIC PTE LTD
MAS000ETT14000086,2015-01-02,"INVITATION TO TENDER FOR (I) RENEWAL OF XCEEDIUM LICENCES AND ON-SITE SUPPORT, AND (II) PURCHASE OF XNODE LICENCES",Monetary Authority of Singapore,84036,Awarded to Suppliers,NCS PTE. LTD.
