tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NUSHS_ETT15900001,2015-06-29,NETWORK HARDWARE MAINTAINANCE,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,106080,Awarded to Suppliers,IBM SINGAPORE PTE LTD
NUSHS_ETT15900003,2015-09-17,ONE UNIT OF NUCLEAR MAGNETIC RESONANCE SPECTROMETER,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,0,Awarded to No Suppliers,na
NUSHS_ETT15900004,2015-11-30,"SUPPLY, DELIVER, INSTALL, TEST AND COMMISSION 13 SETS OF SCHOOL TYPE FUME CUPBOARDS TO CHEMISTRY DEPARTMENT, NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE",NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,330820,Awarded to Suppliers,LABQUIP (S) PTE LTD
NUSHS_ETT15900005,2015-11-09,"PROVISION OF (1) TABLET/ TRANSFORMER/DOCKABLE PC, AND (2) MAINSTREAM NOTEBOOK FOR NUS HIGH SCHOOL",NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,28184,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
NUSHS_ETT15900005,2015-11-09,"PROVISION OF (1) TABLET/ TRANSFORMER/DOCKABLE PC, AND (2) MAINSTREAM NOTEBOOK FOR NUS HIGH SCHOOL",NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,111696.75,Awarded to Suppliers,DATA TERMINATOR PTE. LTD.
NUSHS_ETT15900006,2015-11-30,NUCLEAR MAGNETIC RESONANCE SPECTROMETER,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,646227,Awarded to Suppliers,JEOL ASIA PTE. LTD.
NUSHS_ETT16900001,2016-04-11,SUPPLY OF HOUSEKEEPING SERVICES FOR NUS HIGH SCHOOL MAIN CAMPUS & BOARDING SCHOOL,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,1435200,Awarded to Suppliers,CSP MAINTENANCE PTE LTD
NUSHS_ETT16900002,2016-05-09,PROVISION OF SECURITY AND GUARD SERVICES FOR NUS HIGH SCHOOL,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,1310400,Awarded to Suppliers,FRONTLINE SECURITY PTE. LTD.
NUSHS_ETT16900003,2016-07-14,NETWORK WI-FI REFRESH PROJECT FOR NUS HIGH SCHOOL,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,732787.8,Awarded to Suppliers,IBM SINGAPORE PTE LTD
NUSHS_ETT16900004,2016-08-22,PROVISION OF 2 FULL TIME MANPOWER SUPPORT & MAINTENANCE FOR SCHOOL MANAGEMENT SYSTEM WITH THE OPTION OF DEVELOPMENT OF NEW SYSTEM,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,327600,Awarded to Suppliers,WIZLEARN TECHNOLOGIES PTE. LTD.
NUSHS_ETT16900005,2016-11-30,MAINTENANCE AND GRASS CUTTING FOR SPORTS FIELD AT NUS HIGH SCHOOL,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,120000,Awarded to Suppliers,TURF & IRRIGATION SERVICES PTE LTD
NUSHS_ETT16900006,2016-11-30,PROVISION OF LAUNDRY SERVICE TO BOARDERS IN NUS HIGH BOARDING SCHOOL,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,312000,Awarded to Suppliers,UNITED LAUNDRY PTE. LTD.
NUSHS_ETT16900007,2016-12-06,BUS TRANSPORTATION SERVICE,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,451647,Awarded to Suppliers,CHAN BUS SERVICES
NUSHS_ETT16900008,2017-02-07,TRAVEL AGENT FOR CORPORATE TRAVEL ARRANGEMENT FOR NUS HIGH SCHOOL OF MATHEMATICS & SCIENCE,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,1,Awarded to Suppliers,CITYSTATE ARDENT TRAVEL PTE LTD
