tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NYP000ETT14000046,2015-02-11,"Supply, Delivery, Installation and Commissioning of New Modular Automation System Training Workstations and Accessories",Nanyang Polytechnic,249790,Awarded to Suppliers,FESTO PRIVATE LIMITED
NYP000ETT14000053,2015-02-26,"Supply, Delivery, Installation and Commissioning of Info.Port System",Nanyang Polytechnic,330147,Awarded to Suppliers,SPECTRUM AUDIO VISUAL PTE. LTD.
NYP000ETT14000054,2015-03-10,Refurbishment of Nanyang Polytechnic Apartment Units at Block 170,Nanyang Polytechnic,0,Awarded to No Suppliers,na
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,LIFE TECHNOLOGIES HOLDINGS PTE. LTD.
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,MERCK PTE. LTD.
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,MP BIOMEDICALS ASIA PACIFIC PTE. LTD.
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,PRACTICAL MEDISCIENCE PTE LTD
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,SPD SCIENTIFIC PTE LTD
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,THERMO SCIENTIFIC MICROBIOLOGY PTE. LTD.
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,Tritech Scientific Pte Ltd
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,United Scientific Equipment Pte Ltd
NYP000ETT14000055,2015-03-02,Term Contract for the Supply and Delivery of Laboratory Chemicals & Supplies,Nanyang Polytechnic,60000,Awarded to Suppliers,VWR SINGAPORE PTE. LTD.
NYP000ETT14000057,2015-01-29,Delivery of Character Development Module: Pillars of Life,Nanyang Polytechnic,142800,Awarded to Suppliers,OIA PTE LTD
NYP000ETT14000058,2015-04-02,"Leasing and Supply, Delivery, Installation and Commissioning of Fitness Equipment at New Student Gym",Nanyang Polytechnic,260000,Awarded to Suppliers,F1 RECREATION PTE. LTD.
NYP000ETT14000059,2015-02-02,Delivery of Academic Modules (Achieving Success in work & Life and Effective Communications for Better Relationship),Nanyang Polytechnic,118400,Awarded to Suppliers,LIFEMAGIC WORKS LLP
NYP000ETT14000059,2015-02-02,Delivery of Academic Modules (Achieving Success in work & Life and Effective Communications for Better Relationship),Nanyang Polytechnic,49600,Awarded to Suppliers,Trust Management Centre
NYP000ETT14000060,2015-02-25,"Supply, Delivery, Installation and Commissioning of 5 units of 3-Axis CNC Lathes and 1 unit of 4-Axis CNC Lathe and Peripherals",Nanyang Polytechnic,908100,Awarded to Suppliers,DMG MORI SINGAPORE PTE. LTD.
NYP000ETT14000061,2015-04-09,"Supply, Delivery, Installation and Commissioning of 1 Unit CNC Coordinate Measuring Machine and Peripherals",Nanyang Polytechnic,430000,Awarded to Suppliers,CARL ZEISS PTE. LTD.
NYP000ETT14000062,2015-04-21,"Supply, Delivery, Installation, Testing and Commissioning of High Definition Multi-Cam Production Training Studio Facilities",Nanyang Polytechnic,1004520,Awarded to Suppliers,AVLITE PTE. LTD.
NYP000ETT14000062,2015-04-21,"Supply, Delivery, Installation, Testing and Commissioning of High Definition Multi-Cam Production Training Studio Facilities",Nanyang Polytechnic,938230,Awarded to Suppliers,ECAST TECHNOLOGIES PTE LTD
NYP000ETT14000063,2015-04-02,Design and Build of A Lifestyle Retail Concept Store and Furnishing of Telco & Gadget Store Storage Room,Nanyang Polytechnic,334173,Awarded to Suppliers,Image Creative Design Pte Ltd
NYP000ETT14000064,2015-03-09,"Supply, Delivery, Installation and Commissioning of Permanent Measurement and Verification (M&V) Instrumentation for Central Chiller Plant",Nanyang Polytechnic,410000,Awarded to Suppliers,CNA GROUP LTD.
NYP000ETT14000066,2015-07-01,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF AN INTEGRATED CUSTOMER EXPERIENCE MANAGEMENT SYSTEM FOR ONE-STOP SERVICE CENTRE",Nanyang Polytechnic,0,Awarded to No Suppliers,na
NYP000ETT15000001,2015-05-08,"Design, Supply, Installation and Maintenance of QR Code Readers",Nanyang Polytechnic,66673.5,Awarded to Suppliers,APHESYS NETWORKS PTE. LTD.
NYP000ETT15000004,2015-06-29,"Supply, Delivery, Installation and Commissioning of Dual Source X-Ray 3D Computed Tomography Scanning System",Nanyang Polytechnic,1805626.5,Awarded to Suppliers,Intec Precision Equipment Pte Ltd
