tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NCS000ETT14000018,2015-01-27,"The Presidents Challenge Secretariat at the National Council of Social Service (NCSS) invites proposals for project management services, to conceptualise, develop, plan and execute the Presidents Challenge Volunteer Drive (PCVD) 2015 campaign.",National Council of Social Service,0,Awarded to No Suppliers,na
NCS000ETT15000001,2015-03-13,INVITATION TO TENDER FOR PERCEPTION STUDY OF PUBLIC TOWARDS PERSONS WITH DISABILITIES,National Council of Social Service,91500,Awarded to Suppliers,NEXUS LINK PTE. LTD.
NCS000ETT15000002,2015-04-06,INVITATION TO TENDER FOR PROJECT MANAGEMENT SERVICES FOR PRESIDENTS CHALLENGE VOLUNTEER DRIVE 2015,National Council of Social Service,93224,Awarded to Suppliers,ADRENALIN GROUP PTE. LTD.
NCS000ETT15000008,2015-06-29,IMPLEMENTATION OF KEY ELEMENTS UNDER THE NATIONAL SOCIAL WORK COMPETENCY FRAMEWORK,National Council of Social Service,360000,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
NCS000ETT15000010,2015-04-17,INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR COMCHEST HEARTSTRINGS WALK 2015 @ MARINA BAY,National Council of Social Service,130730,Awarded to Suppliers,OYEZ COMMUNICATIONS PTE. LTD.
NCS000ETT15000012,2015-05-06,INVITATION TO TENDER FOR APPOINTMENT OF VENDOR FOR VENUE RENTAL AND FOOD & BEVERAGES FOR NCSS MEMBERS CONFERENCE AND ANNUAL GENERAL MEETING 2015,National Council of Social Service,44400,Awarded to Suppliers,MARINA BAY SANDS PTE. LTD.
NCS000ETT15000013,2015-07-15,INVITATION TO TENDER FOR 360 DEGREE LEADERSHIP FEEDBACK & EXECUTIVE COACHING FOR 15 SENIOR MANAGEMENT (PHASE I) AND 360 DEGREE LEADERSHIP FEEDBACK FOR 35 - 45 MIDDLE MANAGEMENT (PHASE II),National Council of Social Service,73965,Awarded to Suppliers,Pacific Century Consulting Pte Ltd
NCS000ETT15000014,2015-08-11,VWOD pilot Social-Design Project Series,National Council of Social Service,197000,Awarded to Suppliers,FUELFOR PTE. LTD.
NCS000ETT15000015,2015-06-22,"REQUEST FOR PROPOSAL TO CONCEPTUALISE, PLAN AND IMPLEMENT CARE & SHARE AND DISABILITY AWARENESS PUBLIC EDUCATION CAMPAIGNS (SPDG, Ryan)",National Council of Social Service,75000,Awarded to Suppliers,STORIES WORTH TELLING LLP
NCS000ETT15000015,2015-06-22,"REQUEST FOR PROPOSAL TO CONCEPTUALISE, PLAN AND IMPLEMENT CARE & SHARE AND DISABILITY AWARENESS PUBLIC EDUCATION CAMPAIGNS (SPDG, Ryan)",National Council of Social Service,175000,Awarded to Suppliers,XOD BOX PTE. LTD.
NCS000ETT15000016,2015-07-06,"INVITATION TO TENDER FOR THE CONCEPTUALISATION, PLANNING AND CONDUCT OF AN INTERACTIVE SKIT/MUSICAL ON CARE & SHARE (",National Council of Social Service,81200,Awarded to Suppliers,ARTISTIC EXPRESSIONS PRIVATE LIMITED
NCS000ETT15000017,2015-08-06,THE PROVISION OF REFRESHMENTS TO THE NATIONAL COUNCIL OF SOCIAL SERVICE FOR SOCIAL SERVICE INSTITUTE (SSI),National Council of Social Service,254400,Awarded to Suppliers,Cafe Galilee Pte Ltd
NCS000ETT15000018,2016-07-04,"INVITATION TO TENDER FOR THE DEVELOPMENT, DELIVERY AND ASSESSMENT OF TWO (2) LEARNING PROGRAMMES IN THE AREA OF MANAGEMENT OF FAMILY VIOLENCE",National Council of Social Service,0,Awarded to No Suppliers,na
NCS000ETT15000019,2015-06-11,"TO SUPPLY, INSTALL, MAINTAIN, AND REMOVE POSTERS AND LAMP POST BANNERS",National Council of Social Service,89981.5,Awarded to Suppliers,UNIVERSAL DISPLAYS PTE LTD
NCS000ETT15000020,2015-11-18,"FOR THE DEVELOPMENT AND PRODUCTION OF THREE (3) ISSUES OF RAPPORT, A PUBLICATION OF NCSS, FOR A PERIOD OF ONE (1) FINANCIAL YEAR (FY), AND WITH THE OPTION TO RENEW FOR ANOTHER ONE (1)",National Council of Social Service,0,Awarded to No Suppliers,na
NCS000ETT15000021,2015-11-05,INVITATION TO TENDER FOR ADVERTISING SERVICES (CREATIVE & COMMUNICATION) FOR SECTOR MANPOWER FY2015 WORKPLAN,National Council of Social Service,331891.63,Awarded to Suppliers,ACOUSTIC GROUP PTE. LTD.
NCS000ETT15000022,2016-01-21,"REQUEST FOR PROPOSAL FOR (1) RESEARCH FOR SECTOR VALUE PROPOSITION, AND (2) BRAND CONSULTANCY SERVICES TO DEVELOP A BRAND FOR THE SOCIAL SERVICE SECTOR",National Council of Social Service,328762,Awarded to Suppliers,CMG GROUP (SINGAPORE) PTE. LTD.
NCS000ETT15000022,2016-01-21,"REQUEST FOR PROPOSAL FOR (1) RESEARCH FOR SECTOR VALUE PROPOSITION, AND (2) BRAND CONSULTANCY SERVICES TO DEVELOP A BRAND FOR THE SOCIAL SERVICE SECTOR",National Council of Social Service,227500,Awarded to Suppliers,CONSULTING GROUP - ASIA INSIGHT PTE. LTD.
NCS000ETT15000023,2015-12-16,INVITATION TO TENDER FOR PRODUCTION OF SPEAK UP! VIDEOS,National Council of Social Service,93296.5,Awarded to Suppliers,ZHAO WEI FILMS PTE LTD
NCS000ETT15000025,2015-12-09,"INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR CARE & SHARE THANK-YOU SHOW (Comchest, Ruby)",National Council of Social Service,374500,Awarded to Suppliers,MUSIC & MOVEMENT (S) PTE. LTD.
NCS000ETT15000025,2015-12-09,"INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR CARE & SHARE THANK-YOU SHOW (Comchest, Ruby)",National Council of Social Service,229455,Awarded to Suppliers,Unusual Productions Pte Ltd
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,44000,Awarded to Suppliers,CAPELLE CONSULTING PTE. LTD.
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,210000,Awarded to Suppliers,D-CATALYST PTE. LTD.
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,97800,Awarded to Suppliers,DESIGN SOJOURN PTE. LTD.
