tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NHB000ETT14000015,2015-01-12,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL VISITOR COUNTING SYSTEM (VCS) WITH AN OPTION FOR MAINTENANCE SERVICES",National Heritage Board,486540,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD
NHB000ETT14000029,2015-01-05,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",National Heritage Board,24.28,Awarded to Suppliers,DOMINIE PRESS PTE. LTD.
NHB000ETT14000029,2015-01-05,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",National Heritage Board,66,Awarded to Suppliers,GEOFFREY ALLEN KAPLAN
NHB000ETT14000029,2015-01-05,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",National Heritage Board,17000,Awarded to Suppliers,H Fifty Five
NHB000ETT14000029,2015-01-05,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",National Heritage Board,1,Awarded to Suppliers,INFINITY PRESS SDN. BHD.
NHB000ETT14000029,2015-01-05,"INVITATION TO TENDER FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR BOOK DESIGN AND/OR BOOK PRINTING, UNDER A PERIOD CONTRACT OF 2 YEARS WITH THE OPTION TO RENEW FOR ANOTHER 1 YEAR",National Heritage Board,1800,Awarded to Suppliers,SARAH AND SCHOOLING PTE. LTD.
NHB000ETT14000031,2015-01-30,INVITATION TO TENDER FOR TERM CONTRACT FOR SECURITY GUARD SERVICES TO THE NATIONAL HERITAGE BOARD FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO CONTINUE FOR ANOTHER ONE (1) YEAR,National Heritage Board,3205200,Awarded to Suppliers,REACHFIELD SECURITY & SAFETY MANAGEMENT PTE. LTD.
NHB000ETT14000034,2015-01-22,"The brand audit will take stock of existing branding and visitor communication efforts, internal and external perceptions of each museum, identify the different audiences and their needs or expectations of each museum.",National Heritage Board,203000,Awarded to Suppliers,ACTIVISTE PTE. LTD.
NHB000ETT14000036,2015-01-16,"The Preservation of Sites and Monuments (PSM) of the National Heritage Board (NHB) would like to invite Tenderers to quote for the provision of technical and design specifications, removal of existing markers, fabrication and installation of new markers, and maintenance of the markers for a period of 3 years, with an option to be extended by another 3 years based on service delivery standards.",National Heritage Board,322665,Awarded to Suppliers,FUJI SIGNCRAFTS INDUSTRIES PTE LTD
NHB000ETT14000037,2015-02-16,A RETAINER CONTRACT TO OFFER PUBLIC RELATIONS SERVICES TO THE NATIONAL MUSEUM OF SINGAPORE FOR A PERIOD OF ONE YEAR FROM JANUARY 2015 TO DECEMBER 2016.WITH AN OPTION TO EXTEND FOR ANOTHER 2 YEARS,National Heritage Board,126000,Awarded to Suppliers,OGILVY & MATHER (SINGAPORE) PRIVATE LIMITED
NHB000ETT14000038,2015-02-10,INVITATION TO TENDER FOR CREATIVE / DESIGN CONSULTANCY SERVICE FOR MUSEUM LABEL,National Heritage Board,159500,Awarded to Suppliers,DIA Brand Consultants Pte. Ltd.
NHB000ETT14000039,2015-05-06,"Invitation to Tender for the Supply, Delivery, Installation, Testing, Commissioning of a Fully Operational System (Heritage Resource Portal) with an option for maintenance.",National Heritage Board,1296385,Awarded to Suppliers,ADELPHI DIGITAL CONSULTING GROUP PTE. LTD.
NHB000ETT14000040,2015-03-23,INVITATION TO TENDER FOR PRIVATE CLOUD AND DATA CENTRE HOSTING WITH FACILITY MANAGEMENT SERVICES,National Heritage Board,1424657.04,Awarded to Suppliers,1-NET SINGAPORE PTE LTD
NHB000ETT14000041,2015-03-04,INVITATION TO TENDER FOR PROPOSED PILING AND DEMOLITION WORKS TO ASIAN CIVILISATIONS MUSEUM ON LOT 00277P TS10 AT 1 EMPRESS PLACE SINGAPORE 179555,National Heritage Board,743360,Awarded to Suppliers,ABV SYSTEMS PTE LTD
NHB000ETT14000042,2015-05-19,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL SYSTEM (MUSEUM COLLECTION SYSTEM UPGRADE).",National Heritage Board,864158,Awarded to Suppliers,IGINE PTE LTD
NHB000ETT14000043,2015-03-17,"The National Heritage Board (NHB) will be curating an exhibition featuring 50 signature Singaporean dishes tentatively titled Delicious Singapore. The exhibition will be launched at the 2nd World Street Food Congress in April 2015 at the Singapore Expo, before travelling to at least 5 public venues up to 31 December 2015.",National Heritage Board,162356,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd
NHB000ETT14000044,2015-02-10,INVITATION TO TENDER FOR THE PROVISION OF CURATORIAL AND RESEARCH SERVICES FOR SINGAPORE HERITAGEFEST 2015,National Heritage Board,94200,Awarded to Suppliers,ART LOGICA
NHB000ETT14000045,2015-03-27,"INVITATION TO TENDER FOR EXHIBITION DESIGN, FABRICATION AND INSTALLATION FOR SINGAPORE HERITAGEFEST 2015",National Heritage Board,299235,Awarded to Suppliers,Pico Art International Pte Ltd
