tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NIE000ETT14000018,2015-01-20,Tender for the supply and delivery of H/P Cosmos Saturn 300/100 or its equivalent,National Institute of Education,222888,Awarded to Suppliers,United BMEC Pte Ltd
NIE000ETT14000019,2015-02-11,"Tender for the supply, delivery, installation and commissioning of upgrading work for existing customised large seamless motorized projection screen, DLP projector and LED stage lightings system for designated Lecture Theatres at National Institute of Education",National Institute of Education,341143,Awarded to Suppliers,ELECTRO-ACOUSTICS SYSTEMS PTE LTD
NIE000ETT15000001,2015-03-10,Tender for the maintenance of computer hardware and software for National Institute of Education from 1 April 2015 to 31 March 2016,National Institute of Education,929672,Awarded to Suppliers,FUJITSU ASIA PTE LTD
NIE000ETT15000003,2015-03-27,"Tender for the provision of Oracle Software maintenance service from 31 May 2015 to 30 May 2016, with an option to extend to 30 May 2017",National Institute of Education,724895.92,Awarded to Suppliers,FUJITSU ASIA PTE LTD
NIE000ETT15000004,2015-04-10,Comprehensive maintenance contract for 10 sets of Thyssen lifts inclusive of lift supervisory panels at National Institute of Education for a period of thirty six (36) months from 1 April 2015 to 31 March 2018,National Institute of Education,0,Awarded to No Suppliers,na
NIE000ETT15000005,2015-07-06,Provision of the Meranti Project for all student teachers in NIE's initial teacher preparation programme for July 2015 intake for AY2015-2016,National Institute of Education,88720,Awarded to Suppliers,ADAM KHOO LIFE SKILLS COMPANY PTE. LTD.
NIE000ETT15000005,2015-07-06,Provision of the Meranti Project for all student teachers in NIE's initial teacher preparation programme for July 2015 intake for AY2015-2016,National Institute of Education,106050,Awarded to Suppliers,ITHACA PTE. LTD.
NIE000ETT15000007,2015-06-29,Provision of contract developers and tester/technical writer for the Integrated Student and Academic Administration Computing (ISAAC) project for six (6) months,National Institute of Education,159600,Awarded to Suppliers,FUTURA SOLUTIONS PTE. LTD.
NIE000ETT15000007,2015-06-29,Provision of contract developers and tester/technical writer for the Integrated Student and Academic Administration Computing (ISAAC) project for six (6) months,National Institute of Education,132000,Awarded to Suppliers,ITCAN PTE. LIMITED
NIE000ETT15000008,2015-07-09,"Tender for the Provision of SPSS Term License Contract, Software Subscription & Support to National Institute of Education for 3 years from 1 August 2015 to 31 July 2018",National Institute of Education,491341.2,Awarded to Suppliers,SIFT ANALYTICS GROUP PTE. LTD.
NIE000ETT15000010,2015-07-30,Tender for the supply and delivery of Microsoft Campus Enrollment for Education Solutions (EES) Licensing Agreement to National Institute of Education for a period of three years from 1 October 2015 to 30 September 2018,National Institute of Education,310626.94,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd
NIE000ETT15000011,2015-07-30,Tender for the Provision of Maintenance Services of Collecting & Shelving of Library Materials at the NIE Library & Information Services Centre (LIBRIS) from 1 Sep 2015 to 31 Aug 2018 with an option to extend for three years on an annual renewal basis,National Institute of Education,584136,Awarded to Suppliers,ML Consulting Pte Ltd
