tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NLB000ETT14000044,2015-01-26,"TENDER FOR THE APPOINTMENT OF A CONTRACTOR TO SUPPLY, DEVELOP, TEST, COMMISSION AND MAINTAIN A GEOSPATIAL INFORMATION SYSTEM (GIS) AND MAP PORTAL, FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,404250.01,Awarded to Suppliers,GEOICON PTE. LTD.
NLB000ETT14000049,2015-05-04,"TENDER FOR THE APPOINTMENT OF CONTRACTOR FOR THE PROPOSED RENOVATION WORKS TO SELECTED SPACES AT 1 CANNING RISE, NATIONAL ARCHIVES OF SINGAPORE (NAS), FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,0,Awarded to No Suppliers,na
NLB000ETT14000053,2015-02-23,"TENDER FOR THE APPOINTMENT OF A CREATIVE AGENCY CONTRACTOR TO PROVIDE MARKETING STRATEGY AND CREATIVE SERVICES FOR THE OURTREASURES.SG PROJECT FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,0,Awarded to No Suppliers,na
NLB000ETT14000055,2015-03-25,"TENDER FOR THE APPOINTMENT OF CONTRACTOR(S) TO PROVIDE PRINT AND ELECTRONIC LOCAL NEWSPAPERS FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,240075.15,Awarded to Suppliers,SINGAPORE PRESS HOLDINGS LIMITED
NLB000ETT14000058,2015-01-26,"TENDER FOR APPOINTMENT OF CONTRACTOR TO REPLACE TEMPERED GLASS BALUSTRADES TO LAMINATED HEAT STRENGTHENED GLASS AT THE VOID AREA NEAR THE ESCALATOR AT ALL FLOORS (B2 TO L14) OF THE NATIONAL LIBRARY BUILDING AT 100 VICTORIA STREET, FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,298888,Awarded to Suppliers,GLEN-BROMAC (S) PTE LTD
NLB000ETT14000059,2015-03-31,"TENDER FOR THE APPOINTMENT OF A CONTRACTOR TO PROVIDE SURVEY AND RESEARCH SERVICES FOR THE NATIONAL LIBRARY BOARDS REACH INDEX SURVEYS FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,268600,Awarded to Suppliers,CONSULTING GROUP - ASIA INSIGHT PTE. LTD.
NLB000ETT14000060,2015-01-27,"TENDER TO APPOINT CONTRACTOR TO DESIGN, PRODUCE AND PRINT OF BIBLIOASIA FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,285750,Awarded to Suppliers,OXYGEN STUDIO DESIGNS PTE. LTD.
NLB000ETT14000062,2015-02-10,"TENDER FOR THE APPOINTMENT OF A CONTRACTOR TO UNDERTAKE THE MAINTENANCE AND SUPPORT SERVICES FOR THE THESAURUS AND TAXONOMY EDITOR (TTE) SYSTEM, FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,363514,Awarded to Suppliers,Straits Knowledge
NLB000ETT14000063,2015-03-28,"TENDER FOR THE APPOINTMENT OF CONTRACTOR(S) TO PROVIDE ELECTRONIC RESOURCES AND ELECTRONIC LIBRARY MATERIALS, FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,6465.97,Awarded to Suppliers,ADVANCE LIBRARY SERVICES PTE LTD
NLB000ETT14000063,2015-03-28,"TENDER FOR THE APPOINTMENT OF CONTRACTOR(S) TO PROVIDE ELECTRONIC RESOURCES AND ELECTRONIC LIBRARY MATERIALS, FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,72000,Awarded to Suppliers,DP INFORMATION NETWORK PTE LTD
