tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NPB000ETT14000122,2015-01-20,"TERM CONTRACT FOR THE REPLACEMENT, INSTALLATION AND MAINTENANCE OF FITNESS EQUIPMENT IN PARKS",National Parks Board,2416500,Awarded to Suppliers,SWAN-LI (SINGAPORE) PTE LTD
NPB000ETT14000127,2015-01-09,"PROVISION OF LANDSCAPE DEVELOPMENT SERVICES FOR BUKIT BATOK, SEMBAWANG, JURONG, PASIR PANJANG, CITY & TANGLIN SECTIONS OF STREETSCAPE WEST FOR A PERIOD OF THREE (3) YEARS",National Parks Board,5448120,Awarded to Suppliers,PRINCE'S LANDSCAPE AND CONSTRUCTION PTE LTD
NPB000ETT14000135,2015-01-09,Provision of Grasscutting Works and related services for Community Parks for a period of Three (3) years,National Parks Board,2723760,Awarded to Suppliers,YONG AIK CONSTRUCTION PTE LTD
NPB000ETT14000138,2015-01-16,"TERM CONTRACT FOR REPAIRS TO DECKS, RAILING, BEAMS OF FOOTBRIDGES, OVERHEAD BRIDGES, BOARDWALKS, ELEVATED WALKWAY, RAMPS, JETTY AND PONTOON WITHIN PARKS DIVISION FOR A PERIOD OF THREE (3) YEARS",National Parks Board,9200000,Awarded to Suppliers,LANDSCAPE ENGINEERING PTE LTD
NPB000ETT14000139,2015-01-23,"PURCHASE OF STAGE, LIGHTING AND SOUND EQUIPMENT WITH TECHNICAL SUPPORT SERVICE, AND LOGISTICS SUPPORT SERVICES FOR PARKS MANAGED AND MAINTAINED BY THE NATIONAL PARKS BOARD OF SINGAPORE",National Parks Board,725590,Awarded to Suppliers,TOTAL SOLUTION MARKETING PTE. LTD.
NPB000ETT14000140,2015-01-15,TERM CONTRACT FOR THE MAINTENANCE AND UPGRADING WORKS OF PARK FACILITIES IN PARKS DIVISION FOR A PERIOD OF THREE (3) YEARS,National Parks Board,7901100,Awarded to Suppliers,SUCCESS FOREVER CONSTRUCTION & MAINTENANCE PTE LTD
NPB000ETT14000142,2015-02-02,"TERM CONTRACT FOR DEVELOPMENT AND UPGRADING WORKS IN PARKS, OPEN SPACES AND PARK CONNECTORS DEVELOPED BY NATIONAL PARKS BOARD FOR A PERIOD OF THREE YEARS",National Parks Board,17560000,Awarded to Suppliers,TOH KIM BOCK C-E CONTRACTOR PTE LTD
NPB000ETT14000143,2015-02-13,TENDER FOR THE PROVISION OF MEDICAL OUTPATIENT SERVICES FOR NATIONAL PARKS BOARD FOR A PERIOD OF THREE (3) YEARS,National Parks Board,1163,Awarded to Suppliers,ADVANTAGE HEALTH BENEFITS PTE. LTD.
NPB000ETT14000144,2015-03-13,Proposed Design & Construction of Interpretative Signage for the Learning Forest at Singapore Botanic Gardens,National Parks Board,0,Awarded to No Suppliers,na
NPB000ETT14000146,2015-03-03,CONTRACT FOR COLLECTION OF COMPOSITION SUMS VIA KIOSK SERVICES FOR A PERIOD OF THREE (3) YEARS,National Parks Board,108000,Awarded to Suppliers,AXS PTE. LTD.
NPB000ETT14000147,2015-02-03,SUPPLY AND DELIVERY OF TREES TO INCREASE PLANT STOCK IN NPARKS,National Parks Board,50000,Awarded to Suppliers,LIAN MONG INTERNATIONAL SDN. BHD.
NPB000ETT14000147,2015-02-03,SUPPLY AND DELIVERY OF TREES TO INCREASE PLANT STOCK IN NPARKS,National Parks Board,85230,Awarded to Suppliers,PERNIAGAAN TUNAS HARAPAN
NPB000ETT14000147,2015-02-03,SUPPLY AND DELIVERY OF TREES TO INCREASE PLANT STOCK IN NPARKS,National Parks Board,63040,Awarded to Suppliers,REGIONAL QS-COMP PTE LTD
NPB000ETT14000148,2015-03-11,PROVISION OF RE-ROOFING WORKS FOR STRUCTURES MAINTAINED BY NATIONAL PARKS BOARD FOR A PERIOD OF 3 YEARS,National Parks Board,3816000,Awarded to Suppliers,ACES SYSTEM DEVELOPMENT PTE LTD
NPB000ETT14000149,2015-01-13,EVENT MANAGEMENT SERVICES FOR SG50 CONCERT SERIES IN THE PARK,National Parks Board,210800,Awarded to Suppliers,AUX MEDIA GROUP PTE. LTD.
NPB000ETT14000150,2015-01-06,"PROVISION OF ARBORICULTURAL, HORTICULTURE AND TURF MANAGEMENT SERVICES FOR URA OFF STREET VEHICLES PARK AND ARBORICULTURAL SERVICES WITHIN CITY UNIT FOR A PERIOD OF THREE (3) YEARS",National Parks Board,10178250,Awarded to Suppliers,TOH KIM BOCK C-E CONTRACTOR PTE LTD
NPB000ETT14000154,2015-02-27,"TENDER FOR PROVISION OF PEST CONTROL SERVICES FOR THE INSPECTION, EXTERMINATION AND ERADICATION OF RODENTS, WHITE ANTS, BEES HIVES, HORNET NESTS AND OTHER PESTS, FOR STREETSCAPE DIVISION FOR A PERIOD OF TWO (2) YEARS",National Parks Board,309400,Awarded to Suppliers,VERMINATOR PTE. LTD.
NPB000ETT14000156,2015-03-10,TERM CONTRACT FOR THE MAINTENANCE AND UPGRADING WORKS OF PARK FACILITIES IN ARTS AND HERITAGE PARKS FOR A PERIOD OF THREE (3) YEARS,National Parks Board,1800000,Awarded to Suppliers,KINDLY CONSTRUCTION & SERVICES PTE. LTD.
NPB000ETT14000157,2015-02-23,"ADDITIONG AND ALTERATION, AND INTERIOR FURNISHING OF SINGAPORE BOTANIC GARDENS(SBG) LABORATORIES",National Parks Board,999888,Awarded to Suppliers,SC ENGINEERING PRIVATE LIMITED
NPB000ETT14000158,2015-04-10,"FOR THE DESIGN, DEVELOPMENT, SUPPLY, DELIVERY, INSTALLATION, TESTING, TRAINING AND COMMISSIONING OF A FULLY OPERATIONAL WEBBASED VENUE BOOKING SYSTEM FOR THE NATIONAL PARKS BOARD WITH AN OPTION FOR SUPPORT AND MAINTENANCE OF THE SYSTEM.",National Parks Board,404000,Awarded to Suppliers,ANACLE SYSTEMS LIMITED
NPB000ETT14000160,2015-04-06,"NOMINATED SUB-CONTRACT FOR CHILDREN PLAYGROUND EQUIPMENT FOR PROPOSED ADDITION & ALTERATION WORKS TO EXISTING BUILDING, BLOCK C, TOILETS, ESS/BC, SURFACE CAR PARK & OPEN SPACE WITH NEW COVERED LINKWAY ON LOT 06250K, 06251N & 09172XPT MK26 AT 1000 EAST COAST PARKWAY MARINE COVE (MARINE PARADE)",National Parks Board,2833000,Awarded to Suppliers,SUNCITY CONTRACTS PTE LTD
NPB000ETT14000161,2015-03-03,PROVISION OF ARBORICULTURAL SERVICES IN BUKIT BATOK AND SEMBAWANG SECTION FOR A PERIOD OF THREE (3) YEARS,National Parks Board,10510500,Awarded to Suppliers,TOH KIM BOCK C-E CONTRACTOR PTE LTD
NPB000ETT14000162,2015-03-12,TENDER FOR THE PROVISION TO SUPPLY AND DELIVERY OF TREES FOR SG50 MASS TREE PLANTING.,National Parks Board,9075,Awarded to Suppliers,BU SENG CHONG HOLDINGS SDN. BHD.
NPB000ETT14000162,2015-03-12,TENDER FOR THE PROVISION TO SUPPLY AND DELIVERY OF TREES FOR SG50 MASS TREE PLANTING.,National Parks Board,6380.7,Awarded to Suppliers,HUA HNG TRADING CO PTE. LTD.
NPB000ETT14000162,2015-03-12,TENDER FOR THE PROVISION TO SUPPLY AND DELIVERY OF TREES FOR SG50 MASS TREE PLANTING.,National Parks Board,36628.35,Awarded to Suppliers,MERRY HORTICULTURAL DEVELOPMENT SDN. BHD.
NPB000ETT14000162,2015-03-12,TENDER FOR THE PROVISION TO SUPPLY AND DELIVERY OF TREES FOR SG50 MASS TREE PLANTING.,National Parks Board,74790,Awarded to Suppliers,PERNIAGAAN TUNAS HARAPAN
NPB000ETT14000163,2015-03-09,"SUPPLY, INSTALL & MAINTENANCE OF INCLUSIVE PLAYGROUND",National Parks Board,281017.5,Awarded to Suppliers,CT-ART CREATION PTE. LTD.
NPB000ETT14000164,2015-05-06,"PROPOSED UPGRADING OF TOILETS AND SHELTERS AT PULAU UBIN, SINGAPORE",National Parks Board,3091737,Awarded to Suppliers,LANDSCAPE ENGINEERING PTE LTD
NPB000ETT14000165,2015-04-14,FEASIBILITY STUDY FOR SHORELINE PROTECTION AND RESTORATION AT PULAU UBIN,National Parks Board,1063000,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.
NPB000ETT14000166,2015-04-08,TENDER FOR THE PROVISION OF SERVICE CONTRACT FOR THE MANAGEMENT OF BOOKING AND PAYMENT SERVICES OF BARBEQUE BIT (BBQ) AND CAMPING PERMITS IN PARKS.,National Parks Board,742000,Awarded to Suppliers,AXS PTE. LTD.
NPB000ETT14000167,2015-05-22,"TENDER FOR PURCHASE OF BUGGIES AND MAINTENANCE OF BUGGIES, DUMPERS, SKID LOADERS, TRACTORS AND FORKLIFTS",National Parks Board,262825,Awarded to Suppliers,SOLAR-DRIVEN ASIA (PRIVATE) LTD.
NPB000ETT15000001,2015-04-16,FEASIBILITY STUDIES AT THREE (3) COASTAL AND MARINE SITES,National Parks Board,1295000,Awarded to Suppliers,DHI WATER & ENVIRONMENT (S) PTE. LTD.
NPB000ETT15000003,2015-04-28,"PROVISION OF HORTICULTURE, ARBORICULTURE, CLEANSING & TURF MANAGEMENT SERVICES FOR THE SOUTHERN RIDGES FOR A PERIOD OF THREE (3) YEARS",National Parks Board,3498028.8,Awarded to Suppliers,SUMMER POND & LANDSCAPING PTE. LTD.
NPB000ETT15000005,2015-06-15,PROVISION OF LANDSCAPE DEVELOPMENT SERVICES FOR KALLANG AND THOMSON SECTIONS OF STREETSCAPE EAST FOR A PERIOD OF THREE (3) YEARS,National Parks Board,4146688,Awarded to Suppliers,TOH KIM BOCK C-E CONTRACTOR PTE LTD
NPB000ETT15000006,2015-05-15,"PROVISION OF LANDSCAPE DEVELOPMENT SERVICES FOR ANG MO KIO, TAMPINES, CHANGI, KATONG AND EAST COAST PARK SECTIONS OF STREETSCAPE EAST FOR A PERIOD OF THREE (3) YEARS",National Parks Board,6077517,Awarded to Suppliers,Swee Bee Contractor Pte Ltd
NPB000ETT15000007,2015-05-18,SUPPLY AND DELIVERY OF GLOBAL POSITIONING SYSTEM TRACKING COLLARS AND ACCESSORY EQUIPMENT (FOR LONG-TAILED MACAQUES),National Parks Board,88643.53,Awarded to Suppliers,LOTEK WIRELESS INC.
NPB000ETT15000008,2015-03-31,"PROVISION OF ARBORICULTURAL, HORTICULTURE AND CLEANSING SERVICES FOR THE SOUTHERN SECTOR OF COMMUNITY PARKS FOR A PERIOD OF THREE (3) YEARS",National Parks Board,3748680,Awarded to Suppliers,MAO SHENG QUANJI CONSTRUCTION PTE LTD
NPB000ETT15000009,2015-04-17,"PROPOSED DEMOLITION, DISPOSAL AND REINSTATEMENT WORKS FOR SEAFOOD CENTRE BLOCK 1204, EAST COAST PARK",National Parks Board,50000,Awarded to Suppliers,HWA AIK ENGINEERING PTE. LTD.
NPB000ETT15000010,2015-05-29,PROVISION OF SURVEYING SERVICES FOR DEVELOPMENT OF PARKS AND PARK CONNECTORS FOR A PERIOD OF TWO (2) YEARS,National Parks Board,1330020,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.
NPB000ETT15000013,2015-06-22,"PROVISION OF GRASS CUTTING SERVICES TO BUKIT BATOK, SEMBAWANG AND TANGLIN UNITS FOR A PERIOD OF THREE (3) YEARS",National Parks Board,6025000,Awarded to Suppliers,MAO SHENG QUANJI CONSTRUCTION PTE LTD
NPB000ETT15000014,2015-06-30,PROPOSED DEVELOPMENT OF WINDSOR NATURE PARK,National Parks Board,7160199,Awarded to Suppliers,LANDSCAPE ENGINEERING PTE LTD
NPB000ETT15000015,2015-05-29,PROVISION OF RESIDENT TECHNICAL OFFICER (RTO) SERVICES FOR PARK DEVELOPMENTS,National Parks Board,243240,Awarded to Suppliers,IMCOMP INTERNATIONAL PTE LTD
NPB000ETT15000017,2015-06-23,"PROPOSED DEVELOPMENT OF PUNGGOL PARK (POND AREA), GREEN LANE PARK AND REALTY PARK",National Parks Board,2235000,Awarded to Suppliers,HOCKLIM ENGINEERING PTE. LTD.
NPB000ETT15000019,2015-05-22,"DESIGN, PRODUCTION AND DELIVERY OF COFFEE TABLE BOOK FOR SINGAPORE GARDEN PHOTOGRAPHER OF THE YEAR",National Parks Board,48860,Awarded to Suppliers,NEWBASE CONTENT PTE. LTD.
NPB000ETT15000021,2015-06-11,"MANAGEMENT & MAINTENANCE OF ELECTRONIC CARPARK SYSTEM AT BUKIT TIMAH NATURE RESERVE, EAST COAST PARK (CARPARK C2 & C3), HORTPARK, NATIONAL UNIVERSITY OF SINGAPORE (BUKIT TIMAH CAMPUS) AND SINGAPORE BOTANIC GARDENS FOR A PERIOD OF THREE (3) YEARS",National Parks Board,981055.72,Awarded to Suppliers,WILSON PARKING (SINGAPORE) PTE. LTD.
NPB000ETT15000022,2015-06-05,EVENT MANAGEMENT SERVICES FOR CONCERTS & CARNIVAL AT SINGAPORE BOTANIC GARDENS,National Parks Board,416886,Awarded to Suppliers,FREEMAN PTE. LTD.
NPB000ETT15000023,2015-05-18,PROVISION OF GRASS CUTTING SERVICES FOR MUNICIPAL LANDSCAPES DIVISION (EAST SECTOR-1),National Parks Board,5391654.29,Awarded to Suppliers,BSG LANDSCAPE & CONSTRUCTION PTE. LTD.
