tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NPO000ETT14000095,2015-02-03,"(Tender Ref: NP/EM/64/14, GRF EM/14/0075) Replacement of Water Tanks at Blocks 52/53 & 72",Ngee Ann Polytechnic,230000,Awarded to Suppliers,CHERN SENG ENGINEERING PTE LTD
NPO000ETT14000101,2015-02-13,"(Tender: NP/TLC/56/14, GRF: TLC/14/0036) Joint IHL Student Notebook Computers Bulk Tender",Ngee Ann Polytechnic,4862880,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
NPO000ETT14000101,2015-02-13,"(Tender: NP/TLC/56/14, GRF: TLC/14/0036) Joint IHL Student Notebook Computers Bulk Tender",Ngee Ann Polytechnic,4352040,Awarded to Suppliers,DELL GLOBAL B.V. (SINGAPORE BRANCH)
NPO000ETT14000101,2015-02-13,"(Tender: NP/TLC/56/14, GRF: TLC/14/0036) Joint IHL Student Notebook Computers Bulk Tender",Ngee Ann Polytechnic,6139861.2,Awarded to Suppliers,SAPURA SYNERGY SINGAPORE PTE. LTD.
NPO000ETT14000101,2015-02-13,"(Tender: NP/TLC/56/14, GRF: TLC/14/0036) Joint IHL Student Notebook Computers Bulk Tender",Ngee Ann Polytechnic,5211360,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd
NPO000ETT14000104,2015-01-26,"(Tender: NP/ED/67C/14, GRF: ED/14/0018) Direct Contract for Supply & Delivery Loose Furniture for Foodcourt, Student Services Office & Student Lounge at Blk 22",Ngee Ann Polytechnic,199800,Awarded to Suppliers,CHATEAU ITALIA PTE LTD
NPO000ETT14000107,2015-02-24,"(Tender Ref: NP/CC/41/14, GRF CC/14/0081) Provision of Facility Management Support Service to Ngee Ann Polytechnic",Ngee Ann Polytechnic,978456,Awarded to Suppliers,JARDINE ONESOLUTION (2001) PTE LTD
NPO000ETT14000108,2015-02-13,"(Tender Ref: NP/EM/51/14, GRF EM/14/0093) Re-Roofing at Blk 18",Ngee Ann Polytechnic,0,Awarded to No Suppliers,na
NPO000ETT14000109,2015-01-05,"(Tender: NP/ED/21C/14, GRF: ED/14/0023) Conversion of Block 82 Level 4 to LSCT Labs",Ngee Ann Polytechnic,837175,Awarded to Suppliers,D'ASSOCIATES CONSTRUCTION PTE LTD
NPO000ETT14000111,2015-01-13,"(Tender: NP/ED/86C/14, GRF: ED/14/0024) Renovation of Staff & Alumni House (Annex) at Blk 75",Ngee Ann Polytechnic,165600,Awarded to Suppliers,CLD CONSTRUCTION PTE. LTD.
NPO000ETT14000112,2015-02-04,"(Tender: NP/ED/87C/14, GRF: ED/14/0026) Renovation of Toilets at Block 81",Ngee Ann Polytechnic,152650,Awarded to Suppliers,ROYAL 88 INTERIOR DESIGN PTE LTD
NPO000ETT14000114,2015-02-04,(Tender Ref: NP/HS/75/14 & GRF: HS/14/0073) Tender to purchase medical equipment for new operating theatre and nursing skills laboratories,Ngee Ann Polytechnic,86676,Awarded to Suppliers,DRAEGER SINGAPORE PTE. LTD.
NPO000ETT14000114,2015-02-04,(Tender Ref: NP/HS/75/14 & GRF: HS/14/0073) Tender to purchase medical equipment for new operating theatre and nursing skills laboratories,Ngee Ann Polytechnic,6170,Awarded to Suppliers,EQUIP MEDICAL PTE LTD
NPO000ETT14000114,2015-02-04,(Tender Ref: NP/HS/75/14 & GRF: HS/14/0073) Tender to purchase medical equipment for new operating theatre and nursing skills laboratories,Ngee Ann Polytechnic,27200,Awarded to Suppliers,JUNNIMED SERVICES PTE. LTD.
NPO000ETT14000114,2015-02-04,(Tender Ref: NP/HS/75/14 & GRF: HS/14/0073) Tender to purchase medical equipment for new operating theatre and nursing skills laboratories,Ngee Ann Polytechnic,21000,Awarded to Suppliers,KCI MEDICAL ASIA PTE. LTD.
NPO000ETT14000114,2015-02-04,(Tender Ref: NP/HS/75/14 & GRF: HS/14/0073) Tender to purchase medical equipment for new operating theatre and nursing skills laboratories,Ngee Ann Polytechnic,60214.4,Awarded to Suppliers,Laerdal Singapore Pte Ltd
NPO000ETT14000116,2015-02-12,"(Tender: NP/LSCT/91/14, GRF: LSCT/14/G0158) Tender for Additional Laboratory Equipment",Ngee Ann Polytechnic,86000,Awarded to Suppliers,ADVANCELAB (S) PTE. LTD.
