tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
INDNLSETT15000001,2015-08-06,Provision of Cleaning Services to NorthLight School from 16 Jun 2015 to 15 Jun 2017,Northlight School,450720,Awarded to Suppliers,ECLAT SERVICES PTE. LTD.
INDNLSETT15000002,2015-07-20,PROVISION OF SECURITY SERVICES TO NORTHLIGHT SCHOOL FROM 16 JUNE 2015 TO 15 JUNE 2017,Northlight School,632328,Awarded to Suppliers,G4S SECURE SOLUTIONS (SINGAPORE) PTE. LTD.
INDNLSETT15000003,2015-07-07,Bus Services for CCA and adhoc school activities,Northlight School,240000,Awarded to Suppliers,Choon Ying Transport Services
INDNLSETT15000004,2015-09-28,"TO SUPPLY, DELIVER, INSTALL AND COMMISSIONING OF LAPTOPS@NORTHLIGHT SCHOOL",Northlight School,73200,Awarded to Suppliers,Acer Computer (Singapore) Pte Ltd
INDNLSETT16000001,2016-06-02,"Supply, deliver, install and commissioning of laptop",Northlight School,137080,Awarded to Suppliers,Acer Computer (Singapore) Pte Ltd
INDNLSETT16000002,2016-10-05,Provide 1 full-time Numeracy Coach and 2 part-time Numeracy Coaches,Northlight School,101750,Awarded to Suppliers,CHAN POH GEOK
INDNLSETT16000002,2016-10-05,Provide 1 full-time Numeracy Coach and 2 part-time Numeracy Coaches,Northlight School,46250,Awarded to Suppliers,MY SPECIAL CORNER
INDNLSETT17000001,2017-06-27,Hire of Bus for Adhoc Activities,Northlight School,240000,Awarded to Suppliers,Choon Ying Transport Services
INDNLSETT17000002,2017-07-25,Provision of Security Services to NorthLight School from 16 Aug 2017 to 15 Aug 2018,Northlight School,228000,Awarded to Suppliers,AEDGE SERVICES PTE. LTD.
INDNLSETT17000003,2017-07-25,Provision of Cleaning Services to NorthLight School,Northlight School,232800,Awarded to Suppliers,CLEANMAGE PTE. LTD.
INDNLSETT17000004,2017-10-23,Store & Asset Management (System & Service),Northlight School,160250,Awarded to Suppliers,DNR PROCESS SOLUTIONS PTE. LTD.
